sum
1744
1441
1314
1322
1392
1527
1538
1559
1384
1242
1239
1092
1050
1011
899
838
685
672
558
2215
430
350
278
210
205
166
137
111
93
87
66
56
48
38
30
40
23
21
41
23
20
22
16
12
12
8
9
11
7
6
5
13
8
5
4
5
4
3
2
2
1
2
0
1
2
0
0
2
1
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
1
