pos,title,artist,last_pos,peak_pos,streak
1,Rude Boy,Rihanna,4,1,5
2,Need You Now,Lady Antebellum,2,2,31
3,Break Your Heart,Taio Cruz Featuring Ludacris,1,1,3
4,Imma Be,The Black Eyed Peas,5,1,15
5,Nothin' On You,B.o.B Featuring Bruno Mars,16,5,7
6,"Hey, Soul Sister",Train,7,6,24
7,BedRock,Young Money Featuring Lloyd,3,2,16
8,TiK ToK,Ke$ha,6,1,23
9,Telephone,Lady Gaga Featuring Beyonce,11,9,16
10,In My Head,Jason Derulo,8,8,14
11,Carry Out,Timbaland Featuring Justin Timberlake,15,11,15
12,Baby,Justin Bieber Featuring Ludacris,14,5,8
13,Say Aah,Trey Songz Featuring Fabolous,12,9,18
14,How Low,Ludacris,10,6,14
15,Bad Romance,Lady Gaga,9,2,20
16,Blah Blah Blah,Ke$ha Featuring 3OH!3,13,7,10
17,Breakeven,The Script,19,17,15
18,According To You,Orianthi,18,17,15
19,Live Like We're Dying,Kris Allen,20,18,20
20,Sexy Chick,David Guetta Featuring Akon,17,5,32
21,All The Right Moves,OneRepublic,23,21,23
22,Whataya Want From Me,Adam Lambert,25,22,13
23,Say Something,Timbaland Featuring Drake,27,23,10
24,Tie Me Down,New Boyz Featuring Ray J,22,22,22
25,Replay,Iyaz,24,2,30
26,I Gotta Feeling,The Black Eyed Peas,26,1,40
27,My Chick Bad,Ludacris Featuring Nicki Minaj,44,27,3
28,Haven't Met You Yet,Michael Buble,29,25,24
29,Empire State Of Mind,Jay-Z + Alicia Keys,28,1,27
30,Today Was A Fairytale,Taylor Swift,30,2,8
31,Hey Daddy (Daddy's Home),Usher Featuring Plies,34,31,9
32,Down,Jay Sean Featuring Lil Wayne,32,1,37
33,American Honey,Lady Antebellum,47,33,9
34,Heartbreak Warfare,John Mayer,37,34,14
35,Over,Drake,-1,35,1
36,Life After You,Daughtry,39,36,15
37,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",53,37,6
38,Fireflies,Owl City,38,1,30
39,You Belong With Me,Taylor Swift,36,2,47
40,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,41,40,12
41,Young Forever, Jay-Z + Mr. Hudson,59,41,9
42,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,31,10,19
43,A Little More Country Than That,Easton Corbin,49,43,10
44,Temporary Home,Carrie Underwood,48,44,12
45,Highway 20 Ride,Zac Brown Band,55,45,9
46,Whatcha Say,Jason Derulo,42,1,31
47,On To The Next One,Jay-Z + Swizz Beatz,40,37,9
48,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,35,18,21
49,Why Don't We Just Dance,Josh Turner,45,35,18
50,Naturally,Selena Gomez & The Scene,54,29,12
51,Halfway Gone,Lifehouse,50,50,14
52,Try Sleeping With A Broken Heart,Alicia Keys,52,27,17
53,All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,46,46,7
54,Hard,Rihanna Featuring Jeezy,51,8,17
55,Sex Therapy,Robin Thicke,56,54,13
56,Everything To Me,Monica,63,56,5
57,When I Look At You,Miley Cyrus,81,57,5
58,Lemonade,Gucci Mane,60,58,6
59,'Til Summer Comes Around,Keith Urban,64,59,9
60,I Am,Mary J. Blige,61,55,14
61,That's How Country Boys Roll,Billy Currington,57,57,15
62,Steady Mobbin',Young Money Featuring Gucci Mane,67,48,10
63,Neighbors Know My Name,Trey Songz,72,63,3
64,Lil Freak,Usher Featuring Nicki Minaj,43,43,2
65,Solo,Iyaz,65,43,5
66,Ridin' Solo,Jason Derulo,33,33,2
67,It Kills Me,Melanie Fiona,58,43,17
68,If You Only Knew,Shinedown,69,42,20
69,The Truth,Jason Aldean,62,40,19
70,Unstoppable,Rascal Flatts,68,52,6
71,Alice,Avril Lavigne,71,71,2
72,Someday,Rob Thomas,76,72,19
73,Drop The World,Lil Wayne Featuring Eminem,86,18,11
74,Ain't Back Yet,Kenny Chesney,73,73,2
75,Gimmie That Girl,Joe Nichols,84,75,3
76,O Let's Do It,Waka Flocka Flame,80,76,5
77,Fearless,Taylor Swift,87,9,10
78,Just Breathe,Pearl Jam,94,78,9
79,Soldier Of Love,Sade,77,52,9
80,Bulletproof,La Roux,92,80,2
81,"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne,88,81,3
82,American Saturday Night,Brad Paisley,79,67,14
83,History In The Making,Darius Rucker,75,61,20
84,The Man I Want To Be,Chris Young,98,84,2
85,Hell On The Heart,Eric Church,100,85,2
86,Backwoods,Justin Moore,96,86,3
87,Shots,LMFAO Featuring Lil Jon,83,68,14
88,Keep On Lovin' You,Steel Magnolia,99,88,2
89,One Day,Matisyahu ,93,89,3
90,Driving Me Crazy,Sam Adams,-1,90,1
91,Cryin' Like A Bitch!,Godsmack,74,74,2
92,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,-1,76,3
93,Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,78,78,2
94,Never Let You Go,Justin Bieber,21,21,2
95,Ooh Baby,Mario,-1,95,1
96,We Are The World 25: For Haiti,Artists For Haiti,66,2,5
97,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",91,64,4
98,Vanilla Twilight,Owl City,-1,72,5
99,1901,Phoenix,-1,84,12
100,I Wanna Rock,Snoop Dogg,90,41,14
