pos,title,artist,last_pos,peak_pos,streak
1,Bad Girls,Donna Summer,2,1,8
2,Ring My Bell,Anita Ward,1,1,10
3,Hot Stuff,Donna Summer,3,1,13
4,Chuck E.'s In Love,Rickie Lee Jones,4,4,12
5,She Believes In Me,Kenny Rogers,5,5,12
6,Boogie Wonderland,"Earth, Wind & Fire with The Emotions",7,6,10
7,Makin' It,David Naughton,9,7,16
8,I Want You To Want Me,Cheap Trick,10,8,12
9,Shine A Little Love,Electric Light Orchestra,13,9,9
10,Gold,John Stewart,11,10,9
11,The Logical Song,Supertramp,6,6,17
12,We Are Family,Sister Sledge,8,2,12
13,Good Times,Chic,25,13,5
14,When You're In Love With A Beautiful Woman,Dr. Hook,17,14,14
15,Dance The Night Away,Van Halen,16,15,12
16,Ain't No Stoppin' Us Now,McFadden & Whitehead,18,16,12
17,I Can't Stand It No More,Peter Frampton,19,17,8
18,Days Gone Down (Still Got The Light In Your Eyes),Gerry Rafferty,20,18,7
19,You Can't Change That,Raydio,21,19,12
20,Does Your Mother Know,ABBA,22,20,9
21,Heart Of The Night,Poco,23,21,10
22,I Was Made For Lovin' You,KISS,24,22,8
23,Mama Can't Buy You Love,Elton John,27,23,6
24,Do It Or Die,Atlanta Rhythm Section,26,24,8
25,Getting Closer,Wings,31,25,5
26,The Main Event/Fight,Barbra Streisand,33,26,5
27,Shadows In The Moonlight,Anne Murray,29,27,8
28,People Of The South Wind,Kansas,30,28,7
29,Love You Inside Out,Bee Gees,12,1,13
30,Up On The Roof,James Taylor,32,30,7
31,Lead Me On,Maxine Nightingale,37,31,8
32,Just When I Needed You Most,Randy VanWarmer,14,4,17
33,Weekend,Wet Willie,35,33,8
34,Sad Eyes,Robert John,36,34,9
35,Is She Really Going Out With Him?,Joe Jackson,39,35,6
36,You Take My Breath Away,Rex Smith,15,10,13
37,Minute By Minute,The Doobie Brothers ,28,14,11
38,Suspicions,Eddie Rabbitt,46,38,6
39,If I Said You Have A Beautiful Body Would You Hold It Against Me,Bellamy Brothers,43,39,8
40,Married Men,Bette Midler,40,40,7
41,One Way Or Another,Blondie,34,34,7
42,Reunited,Peaches & Herb,38,1,18
43,Kiss In The Dark,Pink Lady,48,43,7
44,Shakedown Cruise,Jay Ferguson,44,31,11
45,My Sharona,The Knack,52,45,4
46,The Devil Went Down To Georgia,The Charlie Daniels Band,55,46,4
47,I'll Never Love This Way Again,Dionne Warwick,54,47,4
48,Vengeance,Carly Simon,51,48,6
49,Morning Dance,Spyro Gyra,58,49,5
50,Do You Wanna Go Party,KC And The Sunshine Band,50,50,9
51,Let's Go,The Cars,69,51,3
52,Heaven Must Have Sent You,Bonnie Pointer,60,52,5
53,Since I Don't Have You,Art Garfunkel,57,53,6
54,Amanda,Waylon,56,54,6
55,Highway Song,Blackfoot,62,55,4
56,Hot Summer Nights,Night,65,56,4
57,Rock Me,Nick Gilder,59,57,5
58,You Angel You,Manfred Mann's Earth Band,61,58,5
59,You Gonna Make Me Love Somebody Else,The Jones Girls,66,59,4
60,Born To Be Alive,Patrick Hernandez,67,60,4
61,Long Live Rock,The Who,68,61,3
62,You're The Only One,Dolly Parton,71,62,3
63,Hold On,Triumph,64,63,5
64,Last Of The Singing Cowboys,The Marshall Tucker Band,70,64,3
65,We've Got Love,Peaches & Herb,72,65,3
66,I Do Love You,GQ,74,66,3
67,Motown Review,Philly Cream,75,67,3
68,After The Love Has Gone,"Earth, Wind & Fire",77,68,2
69,Goodbye Stranger,Supertramp,78,69,2
70,Light My Fire/137 Disco Heaven,Amii Stewart,73,70,4
71,I Know A Heartache When I See One,Jennifer Warnes,79,71,3
72,Girl Of My Dreams,Bram Tchaikovsky,81,72,2
73,Rock 'n' Roll Fantasy,Bad Company,41,13,18
74,Oh Well,Rockets,84,74,2
75,Sweets For My Sweet,Tony Orlando,85,75,2
76,Here I Go (Fallin' In Love Again),Frannie Golde,87,76,2
77,Get Used To It,Roger Voudouris,42,21,18
78,Different Worlds,Maureen McGovern,89,78,2
79,I'll Know Her When I See Her,Cooper Brothers Band,82,79,3
80,The Boss,Diana Ross,-1,80,1
81,Cuba,The Gibson Brothers,83,81,4
82,Go West,Village People,45,45,8
83,Keep On Running Away,Lazy Racer,88,83,2
84,When I Dream,Crystal Gayle,86,84,2
85,Going Through The Motions,Hot Chocolate,-1,85,1
86,Shake Your Body (Down To The Ground),The Jacksons,47,7,22
87,Saturdaynight,Herman Brood,-1,87,1
88,Baby I Want You,Funky Communication Committee,-1,88,1
89,Make Love To Me,Helen Reddy,91,60,9
90,You've Got Another Thing Coming,Hotel,-1,90,1
91,Don't Ever Wanna Lose Ya,New England,95,40,11
92,In The Navy,Village People,92,3,18
93,Disco Nights (Rock-Freak),G.Q.,93,12,18
94,Wasn't It Good,Cher,49,49,7
95,If You Can't Give Me Love,Suzi Quatro,53,45,8
96,(Wish I Could Fly Like) Superman,The Kinks,99,41,12
97,Renegade,Styx,63,16,18
98,Feel That You're Feelin',Maze Featuring Frankie Beverly,100,67,5
99,Goodnight Tonight,Wings,80,5,16
100,You're My Weakness, Faith Band,76,76,4
