pos,title,artist,last_pos,peak_pos,streak
1,All About That Bass,Meghan Trainor,1,1,15
2,Shake It Off,Taylor Swift,2,1,9
3,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",5,3,12
4,Black Widow,Iggy Azalea Featuring Rita Ora,3,3,16
5,Habits (Stay High),Tove Lo,4,4,21
6,Don't Tell 'Em,Jeremih Featuring YG,6,6,17
7,Animals,Maroon 5,7,7,9
8,Stay With Me,Sam Smith,9,2,28
9,Hot Boy,Bobby Shmurda,10,9,12
10,Don't,Ed Sheeran,13,10,19
11,Anaconda,Nicki Minaj,8,2,11
12,Rather Be,Clean Bandit Featuring Jess Glynne,12,10,19
13,Cool Kids,Echosmith,16,13,15
14,Chandelier,Sia,14,8,24
15,Trumpets,Jason Derulo,18,15,21
16,Break Free,Ariana Grande Featuring Zedd,11,4,16
17,Rude,MAGIC!,15,1,26
18,Out Of The Woods,Taylor Swift,-1,18,1
19,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,23,19,14
20,I'm Not The Only One,Sam Smith,25,20,7
21,Boom Clap,Charli XCX,17,8,20
22,Maps,Maroon 5,19,6,18
23,Burnin' It Down,Jason Aldean,20,12,13
24,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,22,12,25
25,Am I Wrong,Nico & Vinz,21,4,27
26,Blame,Calvin Harris Featuring John Newman,31,26,6
27,Waves,Mr. Probz,32,27,9
28,All Of Me,John Legend,24,1,54
29,New Flame,Chris Brown Featuring Usher & Rick Ross,27,27,14
30,Jealous,Nick Jonas,28,28,6
31,Dirt,Florida Georgia Line,29,11,15
32,Fireball,Pitbull Featuring John Ryan,34,30,11
33,Take Me To Church,Hozier,49,33,10
34,Centuries,Fall Out Boy,42,22,6
35,Fancy,Iggy Azalea Featuring Charli XCX,33,1,33
36,0 To 100 / The Catch Up,Drake,37,35,13
37,A Sky Full Of Stars,Coldplay,30,10,25
38,Leave The Night On,Sam Hunt,41,38,17
39,Latch,Disclosure Featuring Sam Smith,38,7,31
40,Steal My Girl,One Direction,46,13,3
41,Happy,Pharrell Williams,35,1,42
42,Amnesia,5 Seconds Of Summer,39,16,16
43,2 On,Tinashe Featuring ScHoolboy Q,36,24,24
44,Problem,Ariana Grande Featuring Iggy Azalea,40,2,25
45,No Type,Rae Sremmurd,51,45,4
46,Neon Light,Blake Shelton,44,43,9
47,Riptide,Vance Joy,50,47,17
48,I Don't F**k With You,Big Sean Featuring E-40,68,48,4
49,Dark Horse,Katy Perry Featuring Juicy J,43,1,57
50,No Flex Zone,Rae Sremmurd,45,36,12
51,i, Kendrick Lamar,54,39,4
52,About The Money,T.I. Featuring Young Thug,58,52,11
53,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",59,53,7
54,Stolen Dance,Milky Chance,56,54,13
55,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,60,55,7
56,No Mediocre,T.I. Featuring Iggy Azalea,47,33,18
57,Love Me Harder,Ariana Grande & The Weeknd,79,57,2
58,Ready Set Roll,Chase Rice,57,54,21
59,Roller Coaster,Luke Bryan,53,43,14
60,This Is How We Do,Katy Perry,48,24,12
61,Shower,Becky G,55,16,20
62,Tuesday,I LOVE MAKONNEN Featuring Drake,73,62,4
63,Something In The Water,Carrie Underwood,52,24,3
64,Girl In A Country Song,Maddie & Tae,66,62,11
65,Sunshine & Whiskey,Frankie Ballard,67,61,15
66,V. 3005,Childish Gambino,64,64,20
67,Somewhere In My Car,Keith Urban,70,66,8
68,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,63,38,20
69,American Kids,Kenny Chesney,61,23,18
70,Day Drinking,Little Big Town,72,70,13
71,Secrets,Mary Lambert,75,71,7
72,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,71,67,19
73,Try,Colbie Caillat,65,55,9
74,Hope You Get Lonely Tonight,Cole Swindell,74,50,18
75,Superheroes,The Script,77,75,5
76,Shotgun Rider,Tim McGraw,84,76,3
77,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,76,76,8
78,Heroes (We Could Be),Alesso Featuring Tove Lo,80,78,3
79,Thinking Out Loud,Ed Sheeran,69,69,2
80,Handsome And Wealthy,Migos,83,80,4
81,L.A.LOVE (la la),Fergie,97,81,2
82,In Your Arms,Nico & Vinz,-1,82,1
83,Perfect Storm,Brad Paisley,85,83,2
84,Look At You,Big & Rich,82,82,7
85,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,81,18,5
86,Burnin' Up,Jessie J Featuring 2 Chainz,-1,86,1
87,Close Your Eyes,Parmalee,89,87,4
88,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,88,88,5
89,EW!,Jimmy Fallon Featuring will.i.am,26,26,2
90,I'm Not Gonna Miss You,Glen Campbell,-1,90,1
91,No Love,August Alsina,92,73,5
92,Fight Night,Migos,86,69,15
93,Feelin' It,Scotty McCreery,95,93,4
94,U Guessed It,OG Maco Featuring 2 Chainz,90,90,3
95,Hookah,Tyga Featuring Young Thug,93,85,10
96,Bobby Bitch,Bobby Shmurda,-1,96,1
97,Often,The Weeknd,-1,97,1
98,Bo$$,Fifth Harmony,91,43,15
99,Drinking Class,Lee Brice,-1,99,1
100,Body Language,Kid Ink Featuring Usher & Tinashe,100,100,2
