pos,title,artist,last_pos,peak_pos,streak
1,Money For Nothing,Dire Straits,1,1,13
2,Cherish,Kool & The Gang,2,2,14
3,Oh Sheila,Ready For The World,5,3,10
4,Take On Me,a-ha,7,4,13
5,Dress You Up,Madonna,6,5,8
6,Saving All My Love For You,Whitney Houston,9,6,8
7,Freedom,Wham!,3,3,11
8,Lonely Ol' Night,John Mellencamp,10,8,7
9,Dancing In The Street,David Bowie & Mick Jagger,11,9,6
10,Part-Time Lover,Stevie Wonder,15,10,5
11,Don't Lose My Number,Phil Collins,4,4,12
12,Fortress Around Your Heart,Sting,16,12,7
13,Miami Vice Theme,Jan Hammer ,22,13,5
14,I'm Goin' Down,Bruce Springsteen,20,14,5
15,St. Elmo's Fire (Man In Motion),John Parr,8,1,16
16,Cry,Godley & Creme,18,16,12
17,Dare Me,The Pointer Sisters,14,11,13
18,C-I-T-Y,John Cafferty & The Beaver Brown Band,19,18,9
19,Lovin' Every Minute Of It,Loverboy,24,19,7
20,Head Over Heels,Tears For Fears,28,20,4
21,Pop Life,Prince And The Revolution,13,7,11
22,We Don't Need Another Hero (Thunderdome),Tina Turner,12,2,14
23,Four In The Morning (I Can't Take Anymore),Night Ranger,30,23,7
24,The Way You Do The Things You Do/My Girl,Daryl Hall John Oates,29,24,6
25,Every Step Of The Way,John Waite,25,25,9
26,The Power Of Love,Huey Lewis & The News,17,1,15
27,I'm Gonna Tear Your Playhouse Down,Paul Young,31,27,5
28,Be Near Me,ABC,36,28,7
29,Sunset Grill,Don Henley,34,29,6
30,One Night Love Affair,Bryan Adams,37,30,4
31,We Built This City,Starship,40,31,5
32,You Belong To The City,Glenn Frey,39,32,4
33,And We Danced,Hooters,38,33,9
34,Lay Your Hands On Me,Thompson Twins,44,34,3
35,Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,21,10,14
36,You Are My Lady,Freddie Jackson,43,36,5
37,Communication,The Power Station,42,37,5
38,Never,Heart,46,38,4
39,Love Theme From St. Elmo's Fire (Instrumental),David Foster,48,39,7
40,Boy In The Box,Corey Hart,47,40,4
41,Who's Zoomin' Who,Aretha Franklin,51,41,2
42,I Got You Babe,UB40,32,28,11
43,Freeway Of Love,Aretha Franklin,23,3,16
44,So In Love,Orchestral Manoeuvres In The Dark,54,44,6
45,Separate Lives,Phil Collins and Marilyn Martin,-1,45,1
46,You're Only Human (Second Wind),Billy Joel,27,9,13
47,You Wear It Well,El DeBarge With DeBarge,49,47,6
48,Smokin' In The Boys Room,Motley Crue,26,16,13
49,Tonight It's You,Cheap Trick,52,49,11
50,Broken Wings,Mr. Mister,66,50,3
51,Weird Science,Oingo Boingo,56,51,6
52,One Of The Living,Tina Turner,-1,52,1
53,Summer Of '69,Bryan Adams,35,5,15
54,Born In East L.A.,Cheech & Chong,59,54,3
55,All Of Me For All Of You,9.9,57,55,7
56,I Miss You,Klymaxx,61,56,4
57,There Must Be An Angel,Eurythmics,33,22,10
58,Stand By Me, Maurice White,63,58,6
59,Perfect Way,Scritti Politti,64,59,5
60,Shout,Tears For Fears,45,1,17
61,Never Surrender,Corey Hart,53,3,18
62,After The Fire,Roger Daltrey,68,62,4
63,Soul Kiss,Olivia Newton-John,-1,63,1
64,Like To Get To Know You Well,Howard Jones,81,64,2
65,The Night Is Still Young,Billy Joel,-1,65,1
66,All Fall Down,Five Star,70,66,4
67,I Wonder If I Take You Home,Lisa Lisa And Clult Jam With Full Force,62,34,18
68,Screams Of Passion,The Family,75,68,2
69,Object Of My Desire,Starpoint,76,69,2
70,Running Up That Hill,Kate Bush,72,70,5
71,Shame,The Motels,41,21,12
72,Girls Are More Fun,Ray Parker Jr.,-1,72,1
73,Hard Times For Lovers,Jennifer Holliday ,78,73,3
74,Life In One Day,Howard Jones,55,19,14
75,Lover Come Back To Me,Dead Or Alive,79,75,3
76,I'll Be Good,Rene & Angela,82,76,2
77,No Lookin' Back,Michael McDonald,50,34,11
78,What About Love?,Heart,58,10,19
79,And She Was,Talking Heads,80,79,5
80,Eaten Alive,Diana Ross,83,80,3
81,Hurts To Be In Love,Gino Vannelli,89,81,3
82,Party All The Time,Eddie Murphy,-1,82,1
83,The Oak Tree,Morris Day,84,83,2
84,Everytime You Go Away,Paul Young,65,1,22
85,Blue Kiss,Jane Wiedlin,90,85,2
86,Eye To Eye,Go West,91,86,2
87,Mystery Lady,Billy Ocean,60,24,14
88,First Night,Survivor,67,53,8
89,Kayleigh,Marillion,-1,89,1
90,Remo's Theme (What If),Tommy Shaw,-1,90,1
91,You Look Marvelous,Billy Crystal,88,58,11
92,Janet,Commodores,87,87,3
93,Test Of Time,The Romantics,73,71,6
94,Wise Up,Amy Grant,71,66,8
95,Down On Love,Foreigner,86,54,8
96,If You Love Somebody Set Them Free,Sting,92,3,18
97,A Little Bit of Heaven,Natalie Cole,97,81,5
98,Forever,Kenny Loggins,96,40,20
99,Who's Holding Donna Now,Debarge,74,6,19
100,Spanish Eddie,Laura Branigan,77,40,11
