pos,title,artist,last_pos,peak_pos,streak
1,On My Own,Patti LaBelle & Michael McDonald,2,1,13
2,Live To Tell,Madonna,1,1,10
3,I Can't Wait,Nu Shooz,4,3,15
4,There'll Be Sad Songs (To Make You Cry),Billy Ocean,9,4,9
5,Crush On You,The Jets,8,5,10
6,Greatest Love Of All,Whitney Houston,3,1,12
7,A Different Corner,George Michael,10,7,8
8,No One Is To Blame,Howard Jones,14,8,10
9,All I Need Is A Miracle,Mike + The Mechanics,5,5,13
10,Something About You,Level 42,7,7,18
11,Holding Back The Years,Simply Red,16,11,11
12,Nothin' At All,Heart,15,12,9
13,If You Leave,Orchestral Manoeuvres In The Dark,6,4,15
14,"Who's Johnny (""Short Circuit"" Theme)",El DeBarge,18,14,8
15,I Wanna Be A Cowboy,Boys Don't Cry,17,15,11
16,Is It Love,Mr. Mister,13,8,12
17,Be Good To Yourself,Journey,11,9,10
18,Move Away,Culture Club,12,12,11
19,Vienna Calling,Falco,23,19,8
20,Tuff Enuff,The Fabulous Thunderbirds,24,20,9
21,Rain On The Scarecrow,John Mellencamp,22,21,8
22,Sledgehammer,Peter Gabriel,32,22,6
23,Like A Rock,Bob Seger,28,23,4
24,Nasty,Janet Jackson,33,24,5
25,Your Wildest Dreams,The Moody Blues,27,25,9
26,Like No Other Night,Thirty Eight Special,30,26,7
27,Invisible Touch,Genesis,37,27,3
28,Danger Zone,Kenny Loggins,34,28,6
29,When The Heart Rules The Mind,GTR,35,29,6
30,What Have You Done For Me Lately,Janet Jackson,19,4,17
31,West End Girls,Pet Shop Boys,20,1,16
32,Bad Boy,Miami Sound Machine,21,8,15
33,Mountains,Prince And The Revolution,44,33,4
34,One Hit (To The Body),The Rolling Stones,41,34,5
35,Dreams,Van Halen,43,35,4
36,The Love Parade,The Dream Academy,36,36,9
37,If She Knew What She Wants,The Bangles,42,37,6
38,Out Of Mind Out Of Sight,Models ,40,38,8
39,Digging Your Scene,The Blow Monkeys,45,39,7
40,"Love Touch (Theme From ""Legal Eagles"")",Rod Stewart,46,40,3
41,Your Love,The Outfield,25,6,18
42,Mad About You,Belinda Carlisle,49,42,5
43,Take Me Home,Phil Collins,26,7,14
44,Opportunities (Let's Make Lots Of Money),Pet Shop Boys,51,44,3
45,Addicted To Love,Robert Palmer,31,1,19
46,"Modern Woman (From ""Ruthless People"")",Billy Joel,54,46,2
47,The Finest,The S.O.S. Band,50,47,5
48,Why Can't This Be Love,Van Halen,29,3,14
49,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,62,49,2
50,Secret Separation,The Fixx,55,50,4
51,We Don't Have To Take Our Clothes Off,Jermaine Stewart,61,51,5
52,I Must Be Dreaming,Giuffria,52,52,7
53,All The Things She Said,Simple Minds,38,28,11
54,Listen Like Thieves,INXS,56,54,6
55,Mothers Talk,Tears For Fears,39,27,10
56,Don Quichotte,Magazine 60,57,56,6
57,You Should Be Mine (The Woo Woo Song),Jeffrey Osborne,64,57,4
58,Peter Gunn,The Art Of Noise Featuring Duane Eddy,67,58,5
59,Tomorrow Doesn't Matter Tonight,Starship,47,26,11
60,Pretty In Pink,Psychedelic Furs,48,41,10
61,Kiss,Prince And The Revolution,53,1,17
62,Headed For The Future,Neil Diamond,68,62,4
63,Living On Video,Trans-X,63,63,6
64,Take It Easy,Andy Taylor,74,64,3
65,One Step Closer To You,Gavin Christopher,69,65,4
66,Rough Boy,ZZ Top,58,22,12
67,All The Love In The World,The Outfield ,76,67,2
68,Hyperactive,Robert Palmer,80,68,2
69,The Heat Of Heat,Patti Austin,66,55,7
70,Has Anyone Ever Written Anything For You,Stevie Nicks,60,60,5
71,"Say It, Say It",E.G. Daily,70,70,8
72,If Your Heart Isn't In It,Atlantic Starr,72,57,9
73,Female Intuition,Mai Tai,78,73,4
74,School's Out,Krokus,85,74,2
75,Where Do The Children Go,Hooters,65,38,11
76,"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald,-1,76,1
77,Higher Love,Steve Winwood,-1,77,1
78,Chain Reaction,Diana Ross,77,66,10
79,Divided Hearts,Kim Carnes,79,79,4
80,Fire With Fire,Wild Blue,71,71,5
81,Rumors,Timex Social Club,-1,81,1
82,Jungle Boy,John Eddie,88,82,2
83,Voice Of America's Sons,John Cafferty & The Beaver Brown Band,-1,83,1
84,With You All The Way,New Edition,-1,84,1
85,In The Shape Of A Heart,Jackson Browne,95,85,2
86,One Way Love,TKA,86,86,2
87,I Still Want You,The Del Fuegos,87,87,3
88,Words Get In The Way,Miami Sound Machine,-1,88,1
89,The Best Of Me,David Foster And Olivia Newton-John,-1,89,1
90,Land Of La La,Stevie Wonder,-1,90,1
91,Feel It Again,Honeymoon Suite,91,34,15
92,Feel The Heat,Jean Beauvoir,-1,92,1
93,Hanging On A Heart Attack,Device,-1,93,1
94,Stay True,Sly Fox,94,94,2
95,Let's Go All The Way,Sly Fox,75,7,25
96,Headlines,Midnight Star,-1,96,1
97,Mutual Surrender (What A Wonderful World),Bourgeois Tagg,84,62,10
98,Stick Around,Julian Lennon,83,32,13
99,Never As Good As The First Time,Sade,59,20,12
100,American Storm,Bob Seger,73,13,14
