pos,title,artist,last_pos,peak_pos,streak
1,I'm Your Angel,R. Kelly & Celine Dion,1,1,6
2,Nobody's Supposed To Be Here,Deborah Cox,2,2,15
3,Have You Ever?,Brandy,9,3,6
4,...Baby One More Time,Britney Spears,4,4,8
5,Lately,Divine,3,1,18
6,Because Of You,98 Degrees,5,3,15
7,Trippin',Total Featuring Missy Elliott,8,7,10
8,Doo Wop (That Thing),Lauryn Hill,7,1,9
9,Love Like This,Faith Evans,10,7,9
10,From This Moment On,Shania Twain,6,4,6
11,Goodbye,Spice Girls,11,11,3
12,Lullaby,Shawn Mullins,12,8,6
13,Save Tonight,Eagle-Eye Cherry,13,12,6
14,This Kiss,Faith Hill,14,7,43
15,Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony,21,15,8
16,Hands,Jewel,15,15,6
17,Love Me,112 Featuring Mase,18,17,12
18,Slide,Goo Goo Dolls,16,16,6
19,Jumper,Third Eye Blind,17,15,6
20,I Don't Want To Miss A Thing,Mark Chesnutt,19,19,4
21,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,20,20,15
22,Take Me There,BLACKstreet & Mya Featuring Mase & Blinky Blink,24,22,6
23,The First Night,Monica,23,1,22
24,Angel,Sarah McLachlan,25,24,6
25,Iris,Goo Goo Dolls,22,9,6
26,Pushin' Weight,Ice Cube Featuring Mr. Short Khop,30,26,11
27,Miami,Will Smith,29,27,6
28,How Deep Is Your Love,Dru Hill Featuring Redman,28,3,14
29,I'll Be,Edwin McCain,26,5,16
30,My Favorite Mistake,Sheryl Crow,27,20,6
31,These Are The Times,Dru Hill,31,31,6
32,Inside Out,Eve 6,34,28,6
33,Angel Of Mine,Monica,36,33,6
34,Too Close,Next,39,1,48
35,Hold Me,Brian McKnight Featuring Tone & Kobe Bryant,40,35,6
36,(God Must Have Spent) A Little More Time On You,'N Sync,35,34,6
37,Touch It,Monifah,33,9,23
38,Hard Knock Life (Ghetto Anthem),JAY-Z,38,32,10
39,All The Places (I Will Kiss You),Aaron Hall,41,26,13
40,One Week,Barenaked Ladies,37,1,15
41,Are You That Somebody?,Aaliyah,47,21,6
42,Changes,2Pac,44,38,6
43,Thank U,Alanis Morissette,32,17,6
44,The Power Of Good-Bye,Madonna,43,11,13
45,Fly Away,Lenny Kravitz,52,45,6
46,You Get What You Give,New Radicals,50,46,6
47,Believe,Cher,58,47,4
48,You're Beginning To Get To Me,Clay Walker,42,39,6
49,There You Have It,BlackHawk,45,45,6
50,Wrong Again,Martina McBride,48,48,6
51,Come And Get With Me,Keith Sweat Featuring Snoop Dogg,56,12,12
52,Someone You Used To Know,Collin Raye,46,37,8
53,Right On The Money,Alan Jackson,51,48,6
54,No Place That Far,Sara Evans,54,54,5
55,Rosa Parks,OutKast,59,55,6
56,Pretty Fly (For A White Guy),The Offspring,57,56,6
57,For You I Will,Aaron Tippin,53,52,14
58,You're Easy On The Eyes,Terri Clark,49,40,6
59,"Spirit Of A Boy, Wisdom Of A Man",Randy Travis,55,55,6
60,When A Woman's Fed Up, R. Kelly,70,60,3
61,It's All Been Done,Barenaked Ladies,66,61,3
62,Fly (The Angel Song),The Wilkinsons,68,62,5
63,Sweetest Thing,U2,67,63,6
64,For A Little While,Tim McGraw,61,60,6
65,Wherever You Go,Voices Of Theory,69,36,13
66,Stand Beside Me,Jo Dee Messina,63,63,5
67,Hold On To Me,John Michael Montgomery,65,65,6
68,Let Me Let Go,Faith Hill,62,33,6
69,What It's Like,Everlast,75,69,4
70,It's The Things You Do,Five,74,53,9
71,Westside,TQ,73,12,15
72,When You Believe,Whitney Houston & Mariah Carey,64,51,6
73,Heartbreak Hotel,Whitney Houston Feat. Faith Evans & Kelly Price,77,73,3
74,Back 2 Good,matchbox 20,76,74,3
75,Every Morning,Sugar Ray,-1,75,1
76,Father Of Mine,Everclear,83,76,6
77,I Don't Want To Miss A Thing,Aerosmith,82,1,19
78,Angel In Disguise,Brandy,81,75,6
79,Never There,Cake,84,79,6
80,Husbands And Wives,Brooks & Dunn,60,36,6
81,"Luv Me, Luv Me",Shaggy Featuring Janet,79,76,4
82,Home Alone,R. Kelly Featuring Keith Murray,87,65,6
83,Faded Pictures,Case & Joe,86,83,3
84,Unbelievable,Diamond Rio,72,72,4
85,Wrong Night,Reba,71,71,5
86,Whatcha Wanna Do?,Mia X Featuring Charlie Wilson,-1,41,6
87,Ex-Factor,Lauryn Hill,-1,87,1
88,I Can Do That,Montell Jordan,-1,14,17
89,Wide Open Spaces,Dixie Chicks,78,41,19
90,Silly Ho,TLC,-1,90,1
91,It Must Be Love,Ty Herndon,85,38,6
92,Just The Two Of Us,Will Smith,-1,20,9
93,My Little Secret,Xscape,91,9,12
94,Can't Get Enough,Willie Max Featuring Raphael Saadiq,94,49,10
95,Celebrity Skin,Hole,93,85,6
96,Hooch,Everything,88,69,6
97,Fire Escape,Fastball,90,86,6
98,The Chanukah Song,Adam Sandler,80,80,2
99,Talk Show Shhh!,Shae Jones,95,95,2
100,A Bitter End,Deryl Dodd,97,97,2
