pos,title,artist,last_pos,peak_pos,streak
1,Johnny Angel,Shelley Fabares,1,1,7
2,Good Luck Charm,Elvis Presley With The Jordanaires,3,2,5
3,Slow Twistin',Chubby Checker (with Dee Dee Sharp),4,3,7
4,Mashed Potato Time,Dee Dee Sharp,10,4,7
5,Love Letters,Ketty Lester,9,5,8
6,Young World,Rick Nelson,8,6,7
7,Don't Break The Heart That Loves You,Connie Francis,2,1,10
8,Lover Please,Clyde McPhatter,16,8,7
9,Midnight In Moscow,Kenny Ball and his Jazzmen,7,2,11
10,Hey! Baby,Bruce Channel,6,1,12
11,Soldier Boy,The Shirelles,24,11,4
12,Love Me Warm And Tender,Paul Anka,12,12,8
13,Dream Baby (How Long Must I Dream),Roy Orbison,5,4,9
14,Shout - Part I,Joey Dee & the Starliters,26,14,4
15,Let Me In,The Sensations,13,4,15
16,Dear One,Larry Finnegan,25,16,8
17,Twistin' The Night Away,Sam Cooke,14,9,11
18,What's Your Name,Don & Juan,11,7,10
19,Stranger On The Shore,Mr. Acker Bilk,31,19,5
20,"Twist, Twist Senora",Gary U.S. Bonds,32,20,3
21,Cinderella,Jack Ross,40,21,5
22,She Cried,Jay & The Americans,34,22,5
23,Please Don't Ask About Barbara,Bobby Vee,15,15,8
24,She Can't Find Her Keys,Paul Petersen,30,24,7
25,You Better Move On,Arthur Alexander,27,25,8
26,Come Back Silly Girl,The Lettermen,17,17,9
27,Ginny Come Lately,Brian Hyland,37,27,6
28,(I've Got) Bonnie,Bobby Rydell,18,18,9
29,Nut Rocker,B. Bumble & The Stingers,23,23,7
30,She's Got You,Patsy Cline,19,14,12
31,Soul Twist,King Curtis And The Noble Knights,33,31,6
32,The Jam - Part 1,Bobby Gregg and His Friends,44,32,5
33,Anything That's Part Of You,Elvis Presley With The Jordanaires,36,33,5
34,Johnny Jingo,Hayley Mills,42,34,5
35,Where Have All The Flowers Gone,The Kingston Trio,21,21,13
36,You Win Again,Fats Domino,22,22,8
37,Something's Got A Hold On Me,Etta James,39,37,8
38,When My Little Girl Is Smiling,The Drifters,28,28,8
39,P.T. 109,Jimmy Dean,70,39,3
40,What'd I Say (Part 1),Bobby Darin,52,40,3
41,Funny Way Of Laughin',Burl Ives,65,41,2
42,Duke Of Earl,Gene Chandler,20,1,14
43,Shout! Shout! (Knock Yourself Out),Ernie Maresca,64,43,3
44,The Alvin Twist,The Chipmunks With David Seville,45,40,7
45,Tell Me,Dick and DeeDee,47,45,5
46,Cry Baby Cry,The Angels,38,38,9
47,Her Royal Majesty,James Darren,29,6,11
48,If A Woman Answers (Hang Up The Phone),Leroy Van Dyke,35,35,6
49,Hide 'Nor Hair,Ray Charles and his Orchestra,67,49,2
50,Two Of A Kind,Sue Thompson,55,50,5
51,Annie Get Your Yo-Yo,Little Junior Parker,56,51,6
52,At The Club,Ray Charles and his Orchestra,59,52,3
53,I Wish That We Were Married,Ronnie and The Hi-Lites,69,53,3
54,You Talk About Love,Barbara George,58,54,3
55,The One Who Really Loves You,Mary Wells,62,55,4
56,Uptown,The Crystals,68,56,3
57,Moments,Jennell Hawkins,57,57,4
58,Patti Ann,Johnny Crawford,43,43,7
59,Tra La La La La,Ike & Tina Turner,63,59,4
60,Caterina,Perry Como,71,60,3
61,Old Rivers,Walter Brennan,97,61,2
62,Jamie,Eddie Holland,41,30,13
63,You Are Mine,Frankie Avalon,76,63,4
64,Tuff,Ace Cannon,48,17,16
65,The Ballad Of Thunder Road,Robert Mitchum,75,62,19
66,Everybody Loves Me But You,Brenda Lee,-1,66,1
67,The Big Draft,The Four Preps,78,67,3
68,I Will,Vic Dana,81,68,3
69,Chapel By The Sea,Billy Vaughn And His Orchestra,72,69,5
70,"Midnight Special, Part 1",Jimmy Smith,73,69,7
71,Twistin' Matilda (and the channel),Jimmy Soul,89,71,3
72,Runaway,Lawrence Welk And His Orchestra,80,72,2
73,King Of Clowns,Neil Sedaka,90,73,3
74,The Rains Came,Big Sambo and The House Wreckers,86,74,6
75,Ev'rybody's Twistin',Frank Sinatra,85,75,2
76,Who Will The Next Fool Be,Bobby Bland,79,76,3
77,Lollipops And Roses,Jack Jones,66,66,7
78,Thou Shalt Not Steal,John D. Loudermilk,82,78,2
79,Patricia - Twist,Perez Prado And His Orchestra,84,79,2
80,The White Rose Of Athens,David Carroll And His Orchestra,61,61,6
81,Conscience,James Darren,-1,81,1
82,What Am I Supposed To Do,Ann-Margret,83,82,4
83,Itty Bitty Pieces,James Ray,91,83,2
84,(What A Sad Way) To Love Someone,Ral Donner,88,84,4
85,Count Every Star,Linda Scott,100,85,2
86,Blues (Stay Away From Me),Ace Cannon,-1,86,1
87,Memories Of Maria,Jerry Byrd,74,74,5
88,March Of The Siamese Children,Kenny Ball and his Jazzmen,-1,88,1
89,Night Train,James Brown And The Famous Flames,-1,89,1
90,I'm On My Way,The Highwaymen,-1,90,1
91,Lovesick Blues,Floyd Cramer,-1,91,1
92,Sugar Blues,Ace Cannon,-1,92,1
93,Doin' The Continental Walk,Danny & The Juniors,-1,93,1
94,Shout - Part 1,The Isley Brothers,95,47,12
95,Cookin',Al Casey Combo,92,92,2
96,I Found A Love,The Falcons & Band (Ohio Untouchables),-1,96,2
97,Operator,Gladys Knight And The Pips,-1,97,1
98,Meet Me At The Twistin' Place,Johnnie Morisette,-1,98,1
99,I'll Take You Home,"The Corsairs Featuring Jay ""Bird"" Uzzell",-1,99,1
100,So This Is Love,The Castells,-1,100,1
