pos,title,artist,last_pos,peak_pos,streak
1,Beautiful Girls,Sean Kingston,23,1,10
2,Hey There Delilah,Plain White T's,1,1,18
3,Big Girls Don't Cry,Fergie,2,2,15
4,Umbrella,Rihanna Featuring Jay-Z,3,1,16
5,The Way I Are,Timbaland Featuring Keri Hilson,4,4,9
6,Bartender,T-Pain Featuring Akon,10,6,9
7,Party Like A Rockstar,Shop Boyz,5,2,15
8,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,9,1,23
9,Make Me Better,Fabolous Featuring Ne-Yo,11,9,10
10,A Bay Bay,Hurricane Chris,8,7,8
11,"Sorry, Blame It On Me",Akon,7,7,2
12,Shawty,Plies Featuring T-Pain,12,12,7
13,Makes Me Wonder,Maroon 5,14,1,17
14,Wait For You,Elliott Yamin,20,14,15
15,Big Things Poppin' (Do It),T.I.,13,9,10
16,Shut Up And Drive,Rihanna,15,15,8
17,Home,Daughtry,27,5,22
18,Sexy Lady,Yung Berg Featuring Junior,30,18,14
19,Before He Cheats,Carrie Underwood,25,8,48
20,Same Girl,R. Kelly Duet With Usher,26,20,12
21,Rehab,Amy Winehouse,18,9,15
22,Girlfriend,Avril Lavigne,22,1,22
23,What Time Is It,High School Musical 2 Cast,6,6,2
24,Summer Love,Justin Timberlake,19,6,16
25,Crank That (Soulja Boy), Soulja Boy Tell'em,28,25,3
26,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,46,26,6
27,Thnks Fr Th Mmrs,Fall Out Boy,16,11,16
28,Rockstar,Nickelback,24,24,25
29,What I've Done,Linkin Park,21,7,17
30,Do You,Ne-Yo,42,30,9
31,The Sweet Escape,Gwen Stefani Featuring Akon,32,2,33
32,When I See U,Fantasia,48,32,17
33,Teardrops On My Guitar,Taylor Swift,39,33,21
34,Never Wanted Nothing More,Kenny Chesney,35,22,6
35,Whine Up,Kat DeLuna Featuring Elephant Man,29,29,9
36,Potential Breakup Song,Aly & AJ,17,17,5
37,First Time,Lifehouse,36,36,12
38,Get It Shawty,Lloyd,34,16,20
39,The Great Escape,Boys Like Girls,31,31,11
40,Who Knew,P!nk,51,40,8
41,When You're Gone,Avril Lavigne,43,41,6
42,U + Ur Hand,P!nk,40,9,31
43,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,45,1,25
44,Lost In This Moment,Big & Rich,44,36,19
45,Like This,Mims,37,32,12
46,"Pop, Lock & Drop It",Huey,33,6,23
47,Stronger,Kanye West,-1,47,1
48,I Told You So, Keith Urban,55,48,12
49,Glamorous,Fergie Featuring Ludacris,41,1,29
50,teachme,Musiq Soulchild,52,50,12
51,I Need You,Tim McGraw With Faith Hill,53,50,11
52,Because Of You,Reba McEntire Duet With Kelly Clarkson,66,52,5
53,Lean Like A Cholo,Down A.K.A. Kilo,38,34,13
54,LoveStoned,Justin Timberlake,61,54,4
55,These Are My People,Rodney Atkins,69,55,8
56,Wipe Me Down,Lil Boosie Featuring Foxx & Webbie,47,38,13
57,4 In The Morning,Gwen Stefani,54,54,10
58,How Do I Breathe,Mario,56,46,6
59,A Different World,Bucky Covington,73,59,15
60,Tambourine,Eve,49,37,12
61,Never Again,Kelly Clarkson,57,8,14
62,Lip Gloss,Lil Mama,50,10,9
63,Do You Know? (The Ping Pong Song)/Dimelo,Enrique Iglesias,60,21,11
64,Everything,Michael Buble,63,46,12
65,Cyclone,Baby Bash Featuring T-Pain,-1,65,1
66,Paralyzer,Finger Eleven,64,64,8
67,Like This,Kelly Rowland Featuring Eve,58,30,19
68,Johnny Cash,Jason Aldean,78,68,15
69,Get Me Bodied,Beyonce,68,68,12
70,Bed,J. Holiday,89,70,2
71,Can't Leave 'Em Alone,Ciara Featuring 50 Cent,90,71,2
72,Cupid Shuffle,Cupid,82,72,4
73,Everyday America,Sugarland,94,73,4
74,Icky Thump,The White Stripes,62,26,14
75,I Wonder,Kellie Pickler,86,75,8
76,Tough,Craig Morgan,91,76,4
77,Find Out Who Your Friends Are,Tracy Lawrence,84,61,17
78,Easy,Paula DeAnda Featuring Bow Wow,79,78,5
79,Lucky Man,Montgomery Gentry,83,65,15
80,Ticks,Brad Paisley,74,40,18
81,I Tried,Bone Thugs-N-Harmony Featuring Akon,59,6,18
82,You Know What It Is,T.I. Featuring Wyclef Jean,71,68,4
83,Love Me If You Can,Toby Keith,-1,83,1
84,Take Me There,Rascal Flatts,-1,84,1
85,Wrapped,George Strait,87,71,15
86,Online,Brad Paisley,99,86,2
87,Moments,Emerson Drive,100,56,19
88,(You Want To) Make A Memory,Bon Jovi,77,27,13
89,Proud Of The House We Built,Brooks & Dunn,-1,89,1
90,Wall To Wall,Chris Brown,-1,79,7
91,Teenagers,My Chemical Romance,67,67,7
92,Hold On,Jonas Brothers,-1,92,1
93,Until The End Of Time,Justin Timberlake Duet With Beyonce,98,93,4
94,Can't Tell Me Nothing,Kanye West,96,80,4
95,Anonymous,Bobby Valentino Featuring Timbaland,92,49,12
96,"Ready, Set, Don't Go",Billy Ray Cyrus With Miley Cyrus,85,85,2
97,Forever,Papa Roach,76,55,18
98,Startin' With Me,Jake Owen,95,83,9
99,You Can't Stop The Beat,Cast Of Hairspray,88,88,2
100,Hood Figga,Gorilla Zoe,-1,100,1
