pos,title,artist,last_pos,peak_pos,streak
1,What A Fool Believes,The Doobie Brothers,2,1,13
2,I Will Survive,Gloria Gaynor,1,1,18
3,Knock On Wood,Amii Stewart,7,3,12
4,Sultans Of Swing,Dire Straits,4,4,10
5,Music Box Dancer,Frank Mills,6,5,12
6,Tragedy,Bee Gees,3,1,10
7,Reunited,Peaches & Herb,15,7,5
8,Heart Of Glass,Blondie,9,8,9
9,Stumblin' In,Suzi Quatro & Chris Norman,11,9,12
10,Lady,Little River Band,10,10,15
11,I Want Your Love,Chic,13,11,10
12,I Just Fall In Love Again,Anne Murray,12,12,12
13,Goodnight Tonight,Wings,16,13,3
14,In The Navy,Village People,21,14,5
15,He's The Greatest Dancer,Sister Sledge,19,15,10
16,Livin' It Up (Friday Night),Bell & James,17,16,12
17,Take Me Home,Cher,20,17,10
18,Shake Your Groove Thing,Peaches & Herb,5,5,18
19,Da Ya Think I'm Sexy?,Rod Stewart,8,1,17
20,Shake Your Body (Down To The Ground),The Jacksons,30,20,9
21,Love Is The Answer,England Dan & John Ford Coley,32,21,6
22,Love Ballad,George Benson,24,22,8
23,Precious Love,Bob Welch,25,23,10
24,Blow Away,George Harrison,26,24,7
25,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,27,25,9
26,Heaven Knows,Donna Summer With Brooklyn Dreams,14,4,14
27,Superman,Herbie Mann,28,27,14
28,Love Takes Time,Orleans,35,28,4
29,What You Won't Do For Love,Bobby Caldwell,18,9,17
30,I Don't Know If It's Right,"Evelyn ""Champagne"" King",23,23,15
31,Maybe I'm A Fool,Eddie Money,22,22,12
32,Disco Nights (Rock-Freak),G.Q.,53,32,5
33,Renegade,Styx,38,33,5
34,Bustin' Loose,Chuck Brown & The Soul Searchers,34,34,11
35,Crazy Love,The Allman Brothers Band,39,35,4
36,Roxanne,The Police,40,36,8
37,Rubber Biscuit,Blues Brothers,37,37,7
38,Roller,April Wine,43,38,7
39,Happiness,The Pointer Sisters,49,39,5
40,Rock 'n' Roll Fantasy,Bad Company,47,40,5
41,Keep On Dancin',Gary's Gang,42,41,9
42,Bridge Over Troubled Water,Linda Clifford,48,42,4
43,Sweet Lui-Louise,Ironhorse,50,43,5
44,Here Comes The Night,The Beach Boys,44,44,7
45,Elena,The Marc Tanner Band,45,45,7
46,Oh Honey,Delegation,46,46,11
47,Such A Woman,Tycoon,52,47,5
48,Don't You Write Her Off,"McGuinn, Clark & Hillman",54,48,5
49,Good Times Roll,The Cars,57,49,5
50,Just When I Needed You Most,Randy VanWarmer,59,50,4
51,Feelin' Satisfied,Boston,58,51,4
52,Don't Cry Out Loud,Melissa Manchester,29,10,22
53,Can You Read My Mind,Maureen McGovern,60,53,8
54,Get Used To It,Roger Voudouris,61,54,5
55,The Logical Song,Supertramp,66,55,4
56,I Need Your Help Barry Manilow,Ray Stevens,62,56,4
57,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,63,57,5
58,Big Shot,Billy Joel,31,14,10
59,California Dreamin',America,68,59,4
60,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,72,60,2
61,Crazy Love,Poco,33,17,13
62,"Saturday Night, Sunday Morning",Thelma Houston,70,62,4
63,Rhumba Girl,Nicolette Larson,73,63,3
64,Diamonds,Chris Rea,75,64,2
65,I (Who Have Nothing),Sylvester,87,65,2
66,Heart To Heart,Errol Sober,74,66,3
67,Every Time I Think Of You,The Babys,36,13,15
68,I Don't Want Nobody Else (To Dance With You),Narada Michael Walden,76,68,3
69,It Must Be Love,Alton McClain & Destiny,77,69,2
70,Makin' It,David Naughton,80,70,3
71,Just The Same Way,Journey,81,71,2
72,Hot Number,Foxy,82,72,3
73,Little Bit Of Soap,Nigel Olsson,-1,73,1
74,You Says It All,Randy Brown,78,74,3
75,Give Me An Inch,Ian Matthews,85,75,2
76,Love Is Gonna Come At Last,Badfinger,89,76,2
77,There But For The Grace Of God Go I,Machine,79,77,5
78,Dancer,Gino Soccio,88,78,2
79,Deeper Than The Night,Olivia Newton-John,-1,79,1
80,(Sittin' On) The Dock Of The Bay,Sammy Hagar,90,80,2
81,I Need You,Euclid Beach Band,84,81,3
82,I'll Come Running,Livingston Taylor,83,82,3
83,High On Your Love Suite,Rick James,91,83,2
84,Gone Long Gone,Chicago,-1,84,1
85,Star Love,Cheryl Lynn,-1,85,1
86,Body Heat,Alicia Bridges,86,86,2
87,One Chain (Don't Make No Prison),Santana,-1,87,1
88,Dancin' Fool,Frank Zappa,-1,88,1
89,I Never Said I Love You,Orsa Lia,92,89,3
90,When You're In Love With A Beautiful Woman,Dr. Hook,-1,90,1
91,Boogie Woogie Dancin' Shoes,Claudja Barry,-1,91,1
92,Hard Times For Lovers,Judy Collins,97,66,5
93,One More Minute,Saint Tropez,-1,93,1
94,Walk On By,AWB,-1,94,1
95,Take It Back,The J. Geils Band,67,67,6
96,Souvenirs,Voyage,41,41,9
97,Fire,The Pointer Sisters,51,2,23
98,At Midnight,T-Connection,56,56,6
99,Le Freak,Chic,69,1,25
100,Y.M.C.A.,Village People,71,2,26
