pos,title,artist,last_pos,peak_pos,streak
1,Stayin' Alive,Bee Gees,3,1,9
2,Short People,Randy Newman,2,2,13
3,Baby Come Back,Player,1,1,19
4,We Will Rock You/We Are The Champions,Queen,6,4,16
5,(Love Is) Thicker Than Water,Andy Gibb,10,5,14
6,Just The Way You Are,Billy Joel,9,6,13
7,How Deep Is Your Love,Bee Gees,7,1,20
8,Sometimes When We Touch,Dan Hill,11,8,11
9,You're In My Heart (The Final Acclaim),Rod Stewart,4,4,15
10,Emotion,Samantha Sang,17,10,12
11,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,15,11,15
12,Hey Deanie,Shaun Cassidy,12,7,13
13,Turn To Stone,Electric Light Orchestra,14,13,12
14,Serpentine Fire,"Earth, Wind & Fire",16,14,15
15,Slip Slidin' Away,Paul Simon,5,5,17
16,I Go Crazy,Paul Davis,18,16,24
17,Desiree,Neil Diamond,19,17,10
18,Come Sail Away,Styx,8,8,20
19,Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez,21,19,14
20,Peg,Steely Dan,28,20,12
21,What's Your Name,Lynyrd Skynyrd,23,21,10
22,"Theme From ""Close Encounters Of The Third Kind""",John Williams,24,22,7
23,"Long, Long Way From Home",Foreigner,27,23,9
24,Native New Yorker,Odyssey,26,24,13
25,Here You Come Again, Dolly Parton,13,3,17
26,Too Hot Ta Trot,Commodores,29,26,8
27,Ffun,ConFunkShun,30,27,8
28,Lay Down Sally,Eric Clapton,45,28,5
29,Theme From Close Encounters,Meco,33,29,5
30,Lovely Day,Bill Withers,32,30,9
31,Happy Anniversary,Little River Band,34,31,8
32,You Light Up My Life,Debby Boone,22,1,23
33,Thunder Island,Jay Ferguson,37,33,8
34,Street Corner Serenade,Wet Willie,38,34,10
35,The Name Of The Game,ABBA,39,35,7
36,Easy To Love,Leo Sayer,36,36,9
37,I Love You,Donna Summer,40,37,8
38,The Way You Do The Things You Do,Rita Coolidge,58,38,4
39,Falling,LeBlanc & Carr,42,39,17
40,Always And Forever,Heatwave,43,40,5
41,(Every Time I Turn Around) Back In Love Again,LTD,20,4,17
42,"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers,46,42,7
43,Galaxy,War,47,43,5
44,Breakdown,Tom Petty And The Heartbreakers,48,44,14
45,Runaround Sue,Leif Garrett,25,13,13
46,Cocomotion,El Coco,50,46,11
47,Sentimental Lady,Bob Welch,31,8,17
48,Jack And Jill,Raydio,52,48,4
49,Goodbye Girl,David Gates,53,49,8
50,So Long,Firefall,60,50,4
51,Our Love,Natalie Cole,62,51,4
52,Mind Bender,Stillwater,54,52,10
53,(What A) Wonderful World,Art Garfunkel With James Taylor & Paul Simon,68,53,3
54,Reach For It,George Duke,56,54,5
55,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,35,12,21
56,Blue Bayou,Linda Ronstadt,41,3,22
57,Point Of Know Return,Kansas,49,28,13
58,Sweet Music Man,Kenny Rogers,44,44,8
58,Shout It Out Loud,KISS,69,31,13
60,Lady Love,Lou Rawls,71,60,3
61,Take Me To The Kaptin,Prism,65,61,5
62,Crazy On You,Heart,64,35,18
63,Can't Smile Without You,Barry Manilow,-1,63,1
64,Dust In The Wind,Kansas,81,64,2
65,Poor Poor Pitiful Me,Linda Ronstadt,78,65,2
66,Rockaway Beach,Ramones,66,66,10
67,"What's Your Name, What's Your Number",Andrea True Connection,76,67,4
68,Le Spank,Le Pamplemousse,74,68,11
69,"Let It Go, Let It Flow",Dave Mason,73,69,3
70,The Next Hundred Years,Al Martino,70,49,9
71,God Only Knows,Marilyn Scott,61,61,9
72,Everybody Loves A Rain Song,B.J. Thomas,82,72,3
73,Touch And Gone,Gary Wright,80,73,3
74,Supernature,Cerrone,79,74,3
75,As,Stevie Wonder,55,36,14
76,Night Fever,Bee Gees,-1,76,1
77,Ebony Eyes,Bob Welch,88,77,2
78,If I Can't Have You,Yvonne Elliman,89,78,2
79,Home Bound,Ted Nugent,-1,79,1
80,You Really Got Me,Van Halen,91,80,2
81,It's You That I Need,Enchantment,-1,81,1
82,Until Now,Bobby Arvon,84,82,10
83,Storybook Children (Daybreak),Bette Midler,85,83,4
84,"Theme Song From ""Which Way Is Up""",Stargard,97,84,2
85,Silver Dreams,The Babys,-1,85,1
86,Before My Heart Finds Out,Gene Cotton,-1,86,1
87,Hollywood,Boz Scaggs,-1,87,1
88,Come Go With Me,Pockets,90,88,5
89,"Sweet, Sweet Smile",Carpenters,-1,89,1
90,You Brought The Woman Out Of Me,Hot,-1,90,1
91,Love Me Right,Denise LaSalle,92,91,4
92,"1,000 Laughs",Eloise Laws,93,92,4
93,Ain't Gonna' Hurt Nobody,Brick,96,93,2
94,Never Had A Love,Pablo Cruise,94,94,2
95,Don't It Make My Brown Eyes Blue,Crystal Gayle,51,2,26
96,The Way I Feel Tonight,Bay City Rollers,57,24,17
97,It's So Easy,Linda Ronstadt,59,5,18
98,Ooh Boy,Rose Royce,72,72,11
99,"If It Don't Fit, Don't Force It",Kellee Patterson,75,75,8
100,Belle,Al Green,83,83,5
