pos,title,artist,last_pos,peak_pos,streak
1,To Sir With Love,Lulu,1,1,9
2,Soul Man,Sam & Dave,7,2,9
3,It Must Be Him,Vikki Carr,6,3,10
4,Expressway (To Your Heart),Soul Survivors,5,4,10
5,Your Precious Love,Marvin Gaye & Tammi Terrell,8,5,9
6,Never My Love,The Association,3,2,11
7,Incense And Peppermints,Strawberry Alarm Clock,10,7,6
8,A Natural Woman (You Make Me Feel Like),Aretha Franklin,9,8,6
9,"The Rain, The Park & Other Things",The Cowsills,19,9,6
10,Please Love Me Forever,Bobby Vinton,15,10,6
11,Get On Up,The Esquires,11,11,12
12,I'm Wondering,Stevie Wonder,17,12,5
13,How Can I Be Sure,The Young Rascals,4,4,9
14,People Are Strange,The Doors,12,12,7
15,(Loneliness Made Me Realize) It's You That I Need,The Temptations,20,15,4
16,Let It Out (Let It All Hang Out),The Hombres,16,16,8
17,The Letter,The Box Tops,2,1,13
18,Love Is Strange,Peaches & Herb,24,18,6
19,Gimme Little Sign,Brenton Wood,13,9,13
20,Hey Baby (They're Playing Our Song),The Buckinghams,14,12,9
21,Holiday,Bee Gees,26,21,6
22,The Look Of Love,Dusty Springfield,25,22,13
23,I Can See For Miles,The Who,38,23,4
24,Everlasting Love,Robert Knight,35,24,6
25,The Last Waltz,Engelbert Humperdinck,28,25,7
26,Pata Pata,Miriam Makeba,36,26,5
27,I Say A Little Prayer,Dionne Warwick,42,27,3
28,Kentucky Woman,Neil Diamond,34,28,4
29,Lazy Day,Spanky And Our Gang,40,29,4
30,Lady Bird,Nancy Sinatra & Lee Hazlewood,46,30,3
31,Child Of Clay, Jimmie Rodgers,31,31,7
32,I Heard It Through The Grapevine,Gladys Knight And The Pips,54,32,3
33,Let Love Come Between Us,James & Bobby Purify,23,23,9
34,Come Back When You Grow Up,Bobby Vee And The Strangers,21,3,16
35,Little Ole Man (Uptight-Everything's Alright),Bill Cosby,18,4,10
36,Even The Bad Times Are Good,The Tremeloes,37,36,6
37,Glad To Be Unhappy,The Mamas & The Papas,62,37,2
38,Big Boss Man,Elvis Presley,48,38,4
39,You've Made Me So Very Happy,Brenda Holloway,43,39,9
40,Boogaloo Down Broadway,The Fantastic Johnny C,50,40,5
41,Like An Old Time Movie,Scott McKenzie,59,41,3
42,She Is Still A Mystery,The Lovin' Spoonful,63,42,2
43,Ode To Billie Joe,Bobbie Gentry,29,1,14
44,Just One Look,The Hollies,47,44,7
45,You Don't Know Me,Elvis Presley With The Jordanaires,56,45,4
46,Keep The Ball Rollin',Jay And The Techniques,57,46,3
47,Homburg,Procol Harum,66,47,2
48,"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,27,6,17
49,Lightning's Girl,Nancy Sinatra,32,24,7
50,You Keep Running Away,Four Tops,22,19,8
51,Karate-Boo-Ga-Loo,Jerryo,53,51,6
52,Hush,Billy Joe Royal,52,52,6
53,Get It Together (Part 1),James Brown And The Famous Flames,65,53,2
54,Back On The Street Again,The Sunshine Company,64,54,3
55,Mr. Dream Merchant,Jerry Butler,69,55,3
56,Shout Bamalama,Mickey Murray,58,56,5
57,Stag-O-Lee,Wilson Pickett,-1,57,1
58,"Beg, Borrow And Steal",Ohio Express,72,58,5
59,Are You Never Coming Home,Sandy Posey,70,59,3
60,If This Is Love (I'd Rather Be Lonely),The Precisions,60,60,5
61,Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",76,61,2
62,You Better Sit Down Kids,Cher,79,62,2
63,This Town,Frank Sinatra,78,63,2
64,King Midas In Reverse,The Hollies,51,51,5
65,Go-Go Girl,Lee Dorsey,80,65,3
66,Rock 'N' Roll Woman,The Buffalo Springfield,44,44,6
67,Wild Honey,The Beach Boys,-1,67,1
68,Out Of The Blue,Tommy James And The Shondells,85,68,2
69,Skinny Legs And All,Joe Tex,93,69,2
70,Suzanne,Noel Harrison,86,70,2
71,Nine Pound Steel,Joe Simon,71,71,7
72,"Wake Up, Wake Up",The Grass Roots,75,72,2
73,Spreadin' Honey,The Watts 103rd Street Rhythm Band,73,73,9
74,What've I Done (To Make You Mad),Linda Jones,61,61,6
75,Next Plane To London,The Rose Garden,90,75,3
76,By The Time I Get To Phoenix,Glen Campbell,87,76,2
77,You Mean The World To Me,David Houston,77,77,5
78,Dirty Man,Laura Lee,68,68,7
79,Can't Stop Loving You,The Last Word,81,79,3
80,Go With Me,Gene And Debbe,83,80,4
81,Get Down,Harvey Scales,84,81,4
82,Brink Of Disaster,Lesley Gore,82,82,3
83,Whole Lotta Woman,Arthur Conley,-1,83,1
84,When You're Gone,Brenda & The Tabulations,-1,84,1
85,I Second That Emotion,Smokey Robinson & The Miracles,-1,85,1
86,Lovey Dovey/You're So Fine,Bunny Sigler,88,86,4
87,Shame On Me,Chuck Jackson,97,87,4
88,All Your Goodies Are Gone (The Loser's Seat),The Parliaments,89,88,4
89,Birds Of Britain,Bob Crewe Generation,95,89,2
90,Paper Cup,The 5th Dimension,-1,90,1
91,Give Everybody Some,The Bar-Kays,91,91,4
92,For Once In My Life,Tony Bennett,92,92,2
93,You Are My Sunshine,Mitch Ryder,94,93,2
94,"Sweet, Sweet Lovin'",The Platters,96,94,3
95,"O-O, I Love You",The Dells,-1,95,1
96,Lapland,The Baltimore And Ohio Marching Band,98,96,2
97,On A Saturday Night,Eddie Floyd,100,97,2
98,Desiree',The Left Banke,99,98,2
99,Alligator Bogaloo,Lou Donaldson,-1,99,1
100,Piece Of My Heart,Erma Franklin,-1,100,1
