pos,title,artist,last_pos,peak_pos,streak
1,Nice & Slow,Usher,2,1,4
2,Together Again,Janet,1,1,9
3,How Do I Live,LeAnn Rimes,3,2,35
4,Truly Madly Deeply,Savage Garden,4,1,11
5,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),5,2,11
6,I Don't Ever Want To See You Again,Uncle Sam,6,6,15
7,A Song For Mama,Boyz II Men,8,7,10
8,"No, No, No",Destiny's Child,16,8,12
9,How's It Going To Be,Third Eye Blind,12,9,11
10,Dangerous,Busta Rhymes,9,9,6
11,Tubthumping,Chumbawamba,7,6,23
12,You Make Me Wanna...,Usher,10,2,26
13,I Don't Want To Wait,Paula Cole,15,11,16
14,Show Me Love,Robyn,11,7,14
15,Gone Till November,Wyclef Jean,22,15,2
16,What You Want,Mase Featuring Total,24,16,3
17,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,13,1,19
18,Kiss The Rain,Billie Myers,20,18,15
19,Father,LL Cool J,19,19,3
20,My Body,LSG,14,4,16
21,We're Not Making Love No More,Dru Hill,18,13,10
22,Too Much,Spice Girls,-1,22,1
23,Swing My Way,K.P. & Envyi,23,23,8
24,I Do,Lisa Loeb,17,17,16
25,Feel So Good,Mase,21,5,16
26,Love You Down,INOJ/LATHUN,26,26,2
27,Heaven,Nu Flavor,27,27,19
28,Sweet Surrender,Sarah McLachlan,-1,28,1
29,They Don't Know,Jon B,29,29,3
30,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,40,30,10
31,Semi-Charmed Life,Third Eye Blind,28,4,33
32,Am I Dreaming,Ol Skool [Featuring Keith Sweat & Xscape],72,32,2
33,Quit Playing Games (With My Heart),Backstreet Boys,30,2,34
34,All My Love,Queen Pen Featuring Eric Williams,41,34,2
35,All For You,Sister Hazel,34,11,32
36,If You Think I'm Jiggy,The Lox,47,36,2
37,Spice Up Your Life,Spice Girls,25,18,15
38,Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",39,38,3
39,I Will Come To You,Hanson,33,9,12
40,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,31,4,25
41,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,36,1,29
42,Foolish Games/You Were Meant For Me,Jewel,38,2,64
43,Given To Fly,Pearl Jam,32,21,4
44,I Know Where It's At,All Saints,46,44,3
45,Too Close,Next,-1,45,1
46,32 Flavors,Alana Davis,37,37,11
47,All Cried Out,Allure Featuring 112,35,4,25
48,Light In Your Eyes,Blessid Union Of Souls,-1,48,1
49,No Tengo Dinero,Los Umbrellos,42,42,25
50,Sunny Came Home,Shawn Colvin,45,7,32
51,You're Still The One,Shania Twain,-1,51,1
52,Breaking All The Rules,She Moves,48,32,15
53,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",49,12,18
54,Burn,Militia,54,54,6
55,Going Back To Cali,The Notorious B.I.G.,52,26,11
56,At The Beginning,Richard Marx & Donna Lewis,53,45,15
57,Criminal,Fiona Apple,51,21,20
58,The One I Gave My Heart To,Aaliyah,55,9,20
59,Say You'll Stay,KAI,59,59,9
60,Just Clownin',WC From Westside Connection,56,56,10
61,If I Could Teach The World,Bone Thugs-N-Harmony ,60,27,18
62,One More Night,Amber,62,62,18
63,The Memory Remains,Metallica,57,28,12
64,Don't Be Stupid (You Know I Love You),Shania Twain,58,40,11
65,What If I Said,Anita Cochran (Duet With Steve Wariner),65,65,7
66,So Help Me Girl,Gary Barlow,64,44,18
67,I'm Not A Player,Big Punisher,63,57,16
68,Brian Wilson,Barenaked Ladies,68,68,13
69,Lollipop (Candyman),Aqua,61,23,10
70,What If,Reba McEntire,70,50,10
71,Ain't That Just The Way,Lutricia McNeal,71,64,7
72,They Like It Slow,H-Town,66,35,19
73,Roxanne `97 - Puff Daddy Remix,Sting & The Police,67,59,8
74,So Good,Davina,73,60,16
75,You're Not Alone,Olive,74,56,17
76,Send My Love/Send One Your Love,Born Jamericans,86,76,2
77,I Can Love You Better,Dixie Chicks,85,77,3
78,Valentine,Martina McBride With Jim Brickman,81,50,20
79,I Wonder If Heaven Got A Ghetto,2Pac,76,67,10
80,Tuck Me In,Kimberly Scott,75,58,10
81,"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",84,75,8
82,If I Never Stop Loving You,David Kersh,-1,82,1
83,I'm Afraid Of Americans,David Bowie,78,66,13
84,Tic Tic Tac,Fruit De La Passion,92,84,2
85,"Young, Sad And Blue",Lysette,82,75,6
86,You Know My Steez,Gang Starr,79,76,11
87,Romeo And Juliet,Sylk-E. Fyne Featuring Chill,-1,87,1
88,The City Is Mine,Jay-Z Featuring BLACKstreet,80,80,3
89,In A Dream,Rockell,-1,89,4
90,Last Night's Letter,K-Ci & JoJo,91,46,20
91,The Day That She Left Tulsa (In A Chevy),Wade Hayes,-1,91,1
92,Life In Mono,Mono ,-1,92,1
93,L-L-Lies,Diana King,83,71,13
94,Sugar Cane,Spacemonkeyz,77,58,4
95,Then What?,Clay Walker,95,95,2
96,Jealousy,Kim Sanders,89,89,3
97,Tubthumping,Chucklebutt,87,87,3
98,Don't Stop The Music,Playa,93,73,14
99,Tha Hop,Kinsu,88,88,4
100,Love Gets Me Every Time,Shania Twain,94,25,19
