pos,title,artist,last_pos,peak_pos,streak
1,Got To Give It Up (Pt. I),Marvin Gaye,2,1,11
2,Gonna Fly Now,Bill Conti,3,2,10
3,Undercover Angel,Alan O'Day,6,3,13
4,Feels Like The First Time,Foreigner,4,4,14
5,Lucille,Kenny Rogers,5,5,14
6,Dreams,Fleetwood Mac,1,1,11
7,Lonely Boy,Andrew Gold,7,7,15
8,Da Doo Ron Ron,Shaun Cassidy,16,8,7
9,Angel In Your Arms,Hot,10,9,19
10,Jet Airliner,The Steve Miller Band,11,10,9
11,Life In The Fast Lane,Eagles,13,11,7
12,Margaritaville,Jimmy Buffett,17,12,13
13,Looks Like We Made It,Barry Manilow,15,13,8
14,My Heart Belongs To Me,Barbra Streisand,18,14,6
15,I Just Want To Be Your Everything,Andy Gibb,21,15,10
16,Do You Wanna Make Love,Peter Mccann,19,16,10
17,Heard It In A Love Song,The Marshall Tucker Band,14,14,16
18,I'm In You,Peter Frampton,25,18,5
19,I'm Your Boogie Man,KC And The Sunshine Band,8,1,18
20,Slow Dancin' Don't Turn Me On,Addrisi Brothers,20,20,12
21,High School Dance,The Sylvers,23,21,10
22,Love's Grown Deep,Kenny Nolan,22,22,13
23,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,33,23,8
24,Whatcha Gonna Do?,Pablo Cruise,35,24,11
25,Sir Duke,Stevie Wonder,9,1,13
26,Ariel,Dean Friedman,27,26,11
27,"Knowing Me, Knowing You",ABBA,31,27,7
28,"Gonna Fly Now (Theme From ""Rocky"")",Maynard Ferguson,29,28,10
29,You And Me,Alice Cooper,37,29,9
30,Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,12,12,13
31,You're My World,Helen Reddy,34,31,9
32,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,36,32,8
33,When I Need You,Leo Sayer,26,1,18
34,You Made Me Believe In Magic,Bay City Rollers,42,34,4
35,It's Sad To Belong,England Dan & John Ford Coley,39,35,8
36,All You Get From Love Is A Love Song,Carpenters,40,36,6
37,Couldn't Get It Right,Climax Blues Band,24,3,19
38,Peace Of Mind,Boston,38,38,7
39,Easy,Commodores,47,39,4
40,People In Love,10cc,41,40,6
41,Barracuda,Heart,48,41,5
42,You're Movin' Out Today,Bette Midler,43,42,12
43,Just A Song Before I Go,"Crosby, Stills & Nash",51,43,5
44,Amarillo,Neil Sedaka,50,44,5
45,Uptown Festival (Part 1),Shalamar,45,25,16
46,The Killing Of Georgie (Part I And II),Rod Stewart,59,46,4
47,Devil's Gun,C.J. & Company,60,47,6
48,Neon Nites,Atlanta Rhythm Section,55,48,4
49,Telephone Man,Meri Wilson,62,49,4
50,Best Of My Love,The Emotions,70,50,3
51,I Don't Love You Anymore,Teddy Pendergrass,61,51,6
52,Do What You Wanna Do,T-Connection,46,46,16
53,Give A Little Bit,Supertramp,63,53,4
54,Telephone Line,Electric Light Orchestra,65,54,3
55,If It's The Last Thing I Do,Thelma Houston,57,55,4
56,Back Together Again,Daryl Hall John Oates,28,28,8
57,Watch Closely Now,Kris Kristofferson,52,52,6
58,Hotel California,Eagles,30,1,18
59,Don't Turn The Light Out,Cliff Richard,71,59,4
60,Handy Man, James Taylor,80,60,2
61,Superman,Celi Bee & The Buzzy Bunch,73,61,3
62,Runaway,Bonnie Raitt,64,62,6
63,Hollywood,Rufus Featuring Chaka Khan,32,32,8
64,Come In From The Rain,Captain & Tennille,69,64,3
65,Slowdown,John Miles,44,34,14
66,Baby Don't Change Your Mind,Gladys Knight And The Pips,76,66,3
67,Save Me,Merrilee Rush,78,67,3
68,Lido Shuffle,Boz Scaggs,58,11,16
69,Smoke From A Distant Fire,The Sanford/Townsend Band,82,69,2
70,Way Down,Elvis Presley,-1,70,1
71,Black Betty,Ram Jam,81,71,3
72,Seaside Woman,Suzy And The Red Stripes,83,72,2
73,Here Comes Summer,Wildfire,84,73,2
74,On And On,Stephen Bishop ,75,74,7
75,Slide,Slave,85,75,2
76,Lose Again,Linda Ronstadt,79,76,4
77,Hello Stranger,Yvonne Elliman,49,15,15
78,Livin' In The Life,The Isley Brothers,-1,78,1
79,I'm Going Down,Rose Royce,87,79,4
80,It Was Almost Like A Song,Ronnie Milsap,90,80,2
81,Lady (put The Light On Me),Brownsville Station,91,81,4
82,(Remember The Days Of The) Old Schoolyard,Cat Stevens,-1,82,1
83,"Sing It, Shout It",Starz,-1,83,1
84,Walk Right In,Dr. Hook,-1,84,1
85,Break It To Me Gently,Aretha Franklin,88,85,2
86,The Doodle Song,Frankie Miller,-1,86,1
87,Making A Good Thing Better,Olivia Newton-John,89,87,2
88,Swayin' To The Music (slow Dancin'),Johnny Rivers,-1,88,1
89,Only The Lucky,Walter Egan,96,89,3
90,This Will Be A Night To Remember,Eddie Holman,-1,90,1
91,It Feels So Good To Be Loved So Bad,The Manhattans,94,66,14
92,Light Of A Clear Blue Morning,Dolly Parton,92,92,2
93,While I'm Alone,Maze Featuring Frankie Beverly,93,93,5
94,Good Thing Man,Frank Lucas,-1,94,1
95,Land Of Make Believe,Chuck Mangione With The Hamilton Philharmonic Orchestra,86,86,3
96,Southern Nights,Glen Campbell,53,1,20
97,Whodunit,Tavares,56,22,14
98,I Can't Help Myself,Eddie Rabbitt,-1,98,1
99,Right Time Of The Night,Jennifer Warnes,68,6,22
100,Mainstreet,Bob Seger,54,24,10
