pos,title,artist,last_pos,peak_pos,streak
1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,1,19
2,Roar,Katy Perry,2,2,3
3,We Can't Stop,Miley Cyrus,3,2,12
4,Applause,Lady Gaga,6,4,2
5,Radioactive,Imagine Dragons,4,3,52
6,Holy Grail,Jay Z Featuring Justin Timberlake,5,5,7
7,Wake Me Up!,Avicii,11,7,9
8,Safe And Sound,Capital Cities,10,8,17
9,Summertime Sadness,Lana Del Rey & Cedric Gervais,15,9,7
10,Get Lucky,Daft Punk Featuring Pharrell Williams,7,2,19
11,Treasure,Bruno Mars,8,5,15
12,Royals,Lorde,17,12,8
13,Clarity,Zedd Featuring Foxes,12,8,23
14,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,9,6,35
15,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,14,11,24
16,Love Somebody,Maroon 5,13,10,14
17,"Hold On, We're Going Home",Drake Featuring Majid Jordan,24,17,3
18,Best Song Ever,One Direction,21,2,5
19,That's My Kind Of Night,Luke Bryan,16,16,2
20,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,18,1,29
21,Mirrors,Justin Timberlake,20,2,28
22,I Need Your Love,Calvin Harris Featuring Ellie Goulding,23,16,19
23,Cruise,Florida Georgia Line Featuring Nelly,19,4,47
24,"Gone, Gone, Gone",Phillip Phillips,26,24,25
25,Sail,AWOLNATION,29,25,51
26,The Way,Ariana Grande Featuring Mac Miller,27,9,22
27,Just Give Me A Reason,P!nk Featuring Nate Ruess,28,1,28
28,The Other Side,Jason Derulo,25,18,19
29,Gas Pedal,Sage The Gemini Featuring IamSu!,35,29,5
30,Round Here,Florida Georgia Line,36,30,11
31,Brave,Sara Bareilles,46,31,11
32,Come & Get It,Selena Gomez,31,6,20
33,Night Train,Jason Aldean,42,33,8
34,Don't Ya,Brett Eldredge,32,30,14
35,Little Bit Of Everything,Keith Urban,33,33,14
36,It Goes Like This,Thomas Rhett,40,36,11
37,See You Again,Carrie Underwood,34,34,17
38,Crash My Party,Luke Bryan,22,18,20
39,Stay,Rihanna Featuring Mikky Ekko,44,3,29
40,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,39,1,47
41,I Want Crazy,Hunter Hayes,30,19,20
42,Power Trip,J. Cole Featuring Miguel,38,19,28
43,Redneck Crazy,Tyler Farr,47,42,13
44,Take Back The Night,Justin Timberlake,43,33,7
45,Runnin' Outta Moonlight, Randy Houser,37,24,16
46,Body Party,Ciara,41,22,18
47,Crooked Smile,J. Cole Featuring TLC,50,47,10
48,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,59,48,5
49,Still Into You,Paramore,45,45,7
50,Wrecking Ball,Miley Cyrus,-1,50,1
51,Everything Has Changed,Taylor Swift Featuring Ed Sheeran,56,41,8
52,Love More,Chris Brown Featuring Nicki Minaj,73,52,5
53,All Over The Road,Easton Corbin,54,52,16
54,Counting Stars,OneRepublic,57,32,10
55,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,53,20,20
56,Hey Girl,Billy Currington,55,53,14
57,Type Of Way,Rich Homie Quan,63,57,6
58,Don't Drop That Thun Thun!,The FiNATTiCZ,52,35,7
59,True Love,P!nk Featuring Lily Allen,60,59,4
60,Mine Would Be You,Blake Shelton,65,60,4
61,Turn The Night Up,Enrique Iglesias,72,61,4
62,Let Her Go,Passenger,74,62,4
63,Point At You,Justin Moore,62,62,13
64,Southern Girl,Tim McGraw,64,64,5
65,Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",58,44,16
66,Red Nose,Sage The Gemini,61,54,6
67,Feds Watching,2 Chainz Featuring Pharrell,70,67,8
68,Parking Lot Party,Lee Brice,67,67,9
69,Beneath Your Beautiful,Labrinth Featuring Emeli Sande,66,34,11
70,Aw Naw,Chris Young,71,70,6
71,HeadBand,B.o.B Featuring 2 Chainz,68,64,11
72,Sweater Weather,The Neighbourhood,75,72,11
73,Ain't Worried About Nothin,French Montana,69,63,10
74,How Many Drinks?,Miguel,76,69,19
75,Tom Ford,JAY-Z,77,39,7
76,Miss Movin' On,Fifth Harmony,78,76,4
77,Replay,Zendaya,-1,77,1
78,Darte Un Beso,Prince Royce,-1,78,1
79,Bruises,Train Featuring Ashley Monroe,97,79,2
80,Young And Beautiful,Lana Del Rey,88,22,16
81,Goodbye Town,Lady Antebellum,82,81,9
82,Acapella,Karmin,80,72,7
83,Give It 2 U,Robin Thicke Featuring Kendrick Lamar,-1,83,1
84,Almost Is Never Enough,Ariana Grande & Nathan Sykes,-1,84,1
85,Wildfire,John Mayer,98,85,3
86,Red,Taylor Swift,85,6,8
87,Pompeii,Bastille,95,87,2
88,No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",79,37,18
89,Hail To The King,Avenged Sevenfold,-1,83,2
90,When I See This Bar,Kenny Chesney,89,89,5
91,Wop,J. Dash,83,51,12
92,F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,91,64,7
93,Easy,Sheryl Crow,84,84,5
94,Slow Down,Selena Gomez,-1,66,3
95,#Beautiful,Mariah Carey Featuring Miguel,86,15,16
96,Helluva Night,Ludacris,-1,96,1
97,Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,81,40,13
98,LoveHate Thing,Wale Featuring Sam Dew,93,89,8
99,Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,92,52,18
100,American Girl,Bonnie McKee,-1,100,1
