pos,title,artist,last_pos,peak_pos,streak
1,Take A Bow,Rihanna,53,1,5
2,Bleeding Love,Leona Lewis,1,1,13
3,Lollipop,Lil Wayne Featuring Static Major,2,1,9
4,No Air,Jordin Sparks Duet With Chris Brown,3,3,19
5,Love In This Club,Usher Featuring Young Jeezy,4,1,13
6,Sexy Can I,Ray J & Yung Berg,5,3,15
7,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,6,3,8
8,Touch My Body,Mariah Carey,7,1,13
9,Pocketful Of Sunshine,Natasha Bedingfield,8,8,13
10,Damaged,Danity Kane,11,10,9
11,Love Song,Sara Bareilles,9,4,28
12,Leavin',Jesse McCartney,10,10,3
13,Low,Flo Rida Featuring T-Pain,12,1,29
14,Say,John Mayer,13,12,18
15,Viva La Vida,Coldplay,-1,15,1
16,Bust It Baby Part 2,Plies Featuring Ne-Yo,19,16,7
17,What You Got,Colby O'Donis Featuring Akon,21,17,11
18,With You,Chris Brown,16,2,24
19,See You Again,Miley Cyrus,14,10,23
20,Stop And Stare,OneRepublic,17,12,22
21,The Boss,Rick Ross Featuring T-Pain,22,17,13
22,Don't Stop The Music,Rihanna,18,3,25
23,Realize,Colbie Caillat,20,20,14
24,In Love With A Girl,Gavin DeGraw,34,24,10
25,Forever,Chris Brown,15,9,3
26,It's Not My Time,3 Doors Down,30,26,12
27,Bye Bye,Mariah Carey,38,23,4
28,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,25,24,13
29,No One,Alicia Keys,26,1,36
30,Shake It,Metro Station,36,30,6
31,Sorry,Buckcherry,23,9,23
32,Just Got Started Lovin' You,James Otto,27,27,12
33,Apologize,Timbaland Featuring OneRepublic,24,2,41
34,Our Song,Taylor Swift,29,16,33
35,You're Gonna Miss This,Trace Adkins,32,12,15
36,Picture To Burn,Taylor Swift,28,28,13
37,Whatever It Takes,Lifehouse,33,33,17
38,Feels Like Tonight,Daughtry,35,24,16
39,I'm Still A Guy,Brad Paisley,40,39,9
40,Violet Hill,Coldplay,-1,40,1
41,Paralyzer,Finger Eleven,42,6,49
42,The Way That I Love You,Ashanti,37,37,10
43,Break The Ice,Britney Spears,45,43,11
44,A Milli,Lil Wayne,31,31,3
45,Every Day,Rascal Flatts,51,45,9
46,Bubbly,Colbie Caillat,41,5,46
47,All Around Me,Flyleaf,47,47,10
48,Last Name,Carrie Underwood,50,48,6
49,Party People,Nelly Featuring Fergie,46,40,7
50,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,39,9,25
51,I Saw God Today,George Strait,44,33,12
52,Love Is A Beautiful Thing,Phil Vassar,48,48,12
53,Take You Down,Chris Brown,58,53,4
54,Closer,Ne-Yo,54,54,4
55,Shut Up And Let Me Go,The Ting Tings ,93,55,2
56,Move Shake Drop,DJ Laz Featuring Flo Rida & Casely,-1,56,1
57,If I Never See Your Face Again,Maroon 5 Featuring Rihanna,-1,57,1
58,Love Don't Live Here,Lady Antebellum,55,53,11
59,Heaven Sent,Keyshia Cole,83,59,2
60,Better As A Memory,Kenny Chesney,56,56,5
61,I Luv Your Girl,The-Dream,76,61,3
62,Get Silly,V.I.C.,75,62,3
63,Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,59,59,3
64,American Boy,Estelle Featuring Kanye West,71,64,4
65,Home,Blake Shelton,66,65,5
66,Mercy,Duffy ,61,61,3
67,Killa,Cherish Featuring Yung Joc,52,39,14
68,Hollywood's Not America,Ferras,62,62,8
69,Last Time,Trey Songz,69,69,6
70,Handlebars,Flobots,64,64,5
71,I'm Yours,Jason Mraz,73,71,4
72,No Matter What,T.I.,-1,72,1
73,Trying To Stop Your Leaving,Dierks Bentley,85,73,6
74,All-American Girl,Carrie Underwood,60,27,19
75,She's A Hottie,Toby Keith,82,75,6
76,I Kissed A Girl,Katy Perry,-1,76,1
77,What Kinda Gone,Chris Cagle,63,54,17
78,Teenage Love Affair,Alicia Keys,-1,78,1
79,Customer,Raheem DeVaughn,77,76,6
80,I Will Possess Your Heart,Death Cab For Cutie,84,80,5
81,New Soul,Yael Naim,72,7,15
82,Nine In The Afternoon,Panic! At The Disco,68,51,15
83,Elevator,Flo Rida Featuring Timbaland,43,16,13
84,Back When I Knew It All,Montgomery Gentry,79,79,6
85,Psycho,Puddle Of Mudd,67,67,15
86,There's Nothin,Sean Kingston Featuring Elan & Juelz Santana,92,86,2
87,When You Look Me In The Eyes,Jonas Brothers,74,25,16
88,Falsetto,The-Dream,81,30,18
89,Inside The Fire,Disturbed,89,73,7
90,Boyfriend/Girlfriend,C-Side Featuring Keyshia Cole,78,72,6
91,Dangerous,Kardinal Offishall Featuring Akon,-1,91,1
92,Small Town Southern Man,Alan Jackson,86,42,19
93,Stronger Woman,Jewel,91,84,9
94,Pork And Beans,Weezer,90,84,3
95,Rise Above This,Seether,97,94,4
96,Beat It,Fall Out Boy Featuring John Mayer,95,19,7
97,Get Like Me,David Banner Featuring Chris Brown,-1,97,1
98,Te Quiero,Flex,98,90,9
99,Good Time,Alan Jackson,-1,99,1
100,Shawty Get Loose,Lil Mama Featuring Chris Brown & T-Pain,70,10,12
