pos,title,artist,last_pos,peak_pos,streak
1,Locked Out Of Heaven,Bruno Mars,1,1,12
2,Diamonds,Rihanna,2,1,13
3,Ho Hey,The Lumineers,3,3,29
4,I Knew You Were Trouble.,Taylor Swift,10,3,10
5,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,7,5,11
6,Die Young,Ke$ha,4,2,13
7,One More Night,Maroon 5,5,1,27
8,I Cry,Flo Rida,6,6,13
9,Home,Phillip Phillips,8,7,26
10,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,13,10,12
11,Don't You Worry Child,Swedish House Mafia Featuring John Martin,12,11,14
12,Scream & Shout,will.i.am & Britney Spears,15,12,4
13,Try,P!nk,14,13,9
14,Some Nights,fun.,9,3,44
15,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,11,6,21
16,Girl On Fire,Alicia Keys Featuring Nicki Minaj,16,11,16
17,The A Team,Ed Sheeran,17,17,24
18,It's Time,Imagine Dragons,19,18,29
19,Gangnam Style,PSY,18,2,16
20,Swimming Pools (Drank),Kendrick Lamar,21,17,19
21,All I Want For Christmas Is You,Mariah Carey,25,21,4
22,Cruise,Florida Georgia Line Featuring Nelly,20,16,19
23,Clique,"Kanye West, Jay-Z, Big Sean",22,12,16
24,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",32,24,8
25,Adorn,Miguel,23,17,21
26,Sweet Nothing,Calvin Harris Featuring Florence Welch,33,26,7
27,Don't Stop The Party,Pitbull Featuring TJR,30,27,10
28,Too Close,Alex Clare,24,7,39
29,We Are Never Ever Getting Back Together,Taylor Swift,27,1,20
30,Catch My Breath,Kelly Clarkson,49,30,9
31,Va Va Voom,Nicki Minaj,26,22,10
32,Little Talks,Of Monsters And Men,31,31,31
33,I'm Different,2 Chainz,42,33,6
34,No Worries,Lil Wayne Featuring Detail,39,34,16
35,As Long As You Love Me,Justin Bieber Featuring Big Sean,28,6,27
36,Wanted,Hunter Hayes,37,16,35
37,Hall Of Fame,The Script Featuring will.i.am,38,36,13
38,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,35,29,15
39,I Will Wait,Mumford & Sons,34,23,20
40,Thinkin Bout You,Frank Ocean,36,32,24
41,Little Things,One Direction,46,41,6
42,Don't Wake Me Up,Chris Brown,29,10,26
43,Call Me Maybe,Carly Rae Jepsen,45,1,44
44,Better Dig Two,The Band Perry,41,40,8
45,Lights,Ellie Goulding,43,2,53
46,Daylight,Maroon 5,58,46,3
47,Blow Me (One Last Kiss),P!nk,44,5,25
48,Anything Could Happen,Ellie Goulding,47,47,11
49,Somebody That I Used To Know,Gotye Featuring Kimbra,48,1,51
50,Every Storm (Runs Out Of Rain),Gary Allan,54,50,12
51,Goodbye In Her Eyes,Zac Brown Band,50,48,11
52,Radioactive,Imagine Dragons,55,52,17
53,Feel Again,OneRepublic,52,36,17
54,Til My Last Day,Justin Moore,53,51,15
55,How Country Feels, Randy Houser,57,55,12
56,Beer Money,Kip Moore,51,51,14
57,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,60,57,7
58,Wicked Games,The Weeknd,61,58,8
59,Birthday Song,2 Chainz Featuring Kanye West,62,47,20
60,Cry,Cassadee Pope,-1,60,1
61,Ball,T.I. Featuring Lil Wayne,64,50,10
62,When I Was Your Man,Bruno Mars,-1,62,2
63,Madness,Muse,65,60,18
64,Remember You,Wiz Khalifa Featuring The Weeknd,63,63,5
65,Kiss Tomorrow Goodbye,Luke Bryan,59,29,18
66,Tornado,Little Big Town,66,66,7
67,Don't Judge Me,Chris Brown,68,67,8
68,Creepin',Eric Church,56,56,18
69,Somebody's Heartbreak,Hunter Hayes,73,69,5
70,Love Sosa,Chief Keef,82,70,2
71,Southern Comfort Zone,Brad Paisley,69,68,12
72,Poetic Justice,Kendrick Lamar Featuring Drake,77,72,9
73,Skyfall,Adele,72,8,12
74,Live While We're Young,One Direction,78,3,12
75,One Of Those Nights,Tim McGraw,79,75,4
76,Begin Again,Taylor Swift,75,7,12
77,Diced Pineapples,Rick Ross Featuring Wale & Drake,76,71,12
78,Guap,Big Sean,89,78,2
79,Rest Of My Life,Ludacris Featuring Usher & David Guetta,80,72,5
80,El Cerrito Place,Kenny Chesney,74,72,11
81,All Gold Everything,Trinidad James,96,81,2
82,Neva End,Future,91,82,3
83,Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",85,82,7
84,Over You,Cassadee Pope,-1,25,2
85,Two Black Cadillacs,Carrie Underwood,90,85,2
86,Did It For The Girl,Greg Bates,67,66,14
87,Turn On The Lights,Future,83,50,20
88,Stubborn Love,The Lumineers,81,81,3
89,Merry Go 'round,Kacey Musgraves,88,88,2
90,The One That Got Away,Jake Owen,71,51,20
91,Who Booty,Jonn Hart Featuring IamSU!,93,91,2
92,Take A Walk,Passion Pit,86,85,17
93,Tip It On Back,Dierks Bentley,84,84,5
94,Ready Or Not,Bridgit Mendler,87,78,10
95,King Wizard,Kid Cudi,-1,95,1
96,Ice,Kelly Rowland Featuring Lil Wayne,94,88,10
97,Young & Gettin' It,Meek Mill Featuring Kirko Bangz,92,88,8
98,Representin',Ludacris Featuring Kelly Rowland,98,97,4
99,C'mon,Ke$ha,-1,99,1
100,Crying On A Suitcase,Casey James,-1,100,1
