pos,title,artist,last_pos,peak_pos,streak
1,To Be With You,Mr. Big,1,1,13
2,I'm Too Sexy,Right Said Fred,2,1,13
3,Remember The Time,Michael Jackson,3,3,8
4,Save The Best For Last,Vanessa Williams,5,4,7
5,Tears In Heaven,Eric Clapton,6,5,6
6,I Love Your Smile,Shanice,4,2,17
7,Masterpiece,Atlantic Starr,8,7,7
8,Tell Me What You Want Me To Do,Tevin Campbell,9,6,19
9,Diamonds And Pearls,Prince And The N.P.G.,7,3,15
10,Good For Me,Amy Grant,10,10,9
11,I Can't Dance,Genesis,15,11,7
12,Missing You Now,Michael Bolton,13,12,8
13,Justified And Ancient,The KLF Featuring Tammy Wynette,19,13,7
14,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,18,14,11
15,Beauty And The Beast,Celine Dion And Peabo Bryson,24,15,9
16,If You Go Away,NKOTB,36,16,4
17,Uhh Ahh,Boyz II Men,16,16,14
18,Don't Let The Sun Go Down On Me,George Michael/Elton John,11,1,15
19,Smells Like Teen Spirit!,Nirvana,12,6,15
20,Make It Happen,Mariah Carey,28,20,4
21,All 4 Love,Color Me Badd,14,1,19
22,Thinkin' Back,Color Me Badd,23,22,7
23,I'll Get By,Eddie Money,21,21,13
24,What Becomes Of The Brokenhearted,Paul Young,27,24,7
25,Finally,CeCe Peniston,17,5,25
26,Until Your Love Comes Back Around,RTZ,30,26,9
27,Oochie Coochie,M.C. Brains,31,27,9
28,Vibeology,Paula Abdul ,20,16,9
29,The Way I Feel About You,Karyn White,22,12,16
30,We Got A Love Thang,CeCe Peniston,34,30,7
31,Mysterious Ways,U2,25,9,17
32,I Can't Make You Love Me,Bonnie Raitt,33,18,17
33,Hazard,Richard Marx,38,33,5
34,Everything Changes,Kathy Troccoli,37,34,4
35,Can't Let Go,Mariah Carey,26,2,18
36,Romeo & Juliet,Stacy Earl (Featuring The Wild Pair),40,36,4
37,2 Legit 2 Quit,M.C. Hammer,29,5,19
38,Paper Doll,P.M. Dawn,35,28,9
39,Again Tonight,John Mellencamp,39,39,7
40,Too Much Passion,The Smithereens,46,40,6
41,Keep It Comin',Keith Sweat,32,17,16
42,"Mama, I'm Coming Home",Ozzy Osbourne,51,42,5
43,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),50,43,5
44,Stars,Simply Red,45,44,8
45,Stay,Jodeci,43,41,11
46,Move Any Mountain,The Shamen,41,38,14
47,Church Of Your Heart,Roxette,60,47,3
48,Ain't 2 Proud 2 Beg,TLC,66,48,4
49,A Deeper Love/Pride In The Name Of Love,Clivilles & Cole,44,44,10
50,Is It Good To You,Heavy D & The Boyz,42,32,17
51,You Showed Me,Salt-N-Pepa,53,51,7
52,Can't Cry Hard Enough,The Williams Brothers,57,52,6
53,Kiss You Back,Digital Underground,49,40,18
54,Too Blind To See It,Kym Sims,48,38,18
55,On A Sunday Afternoon,Lighter Shade Of Brown,47,39,16
56,What Goes Around Comes Around,Giggles,59,56,8
57,I'm The One You Need,Jody Watley,73,57,2
58,Right Now,Van Halen,63,58,6
59,No Son Of Mine,Genesis,56,12,20
60,Everything's Gonna Be Alright,Naughty By Nature,62,60,6
61,Black Or White,Michael Jackson,52,1,17
62,You Are The One,Chris Cuevas,58,58,7
63,Live And Learn,Joe Public,-1,63,1
64,I Need Money,Marky Mark & The Funky Bunch,61,61,5
65,Addams Groove,M.C. Hammer,54,7,15
66,Live And Let Die,Guns N' Roses,55,33,13
67,The Choice Is Yours,Black Sheep,69,67,3
68,Boom! I Got Your Boyfriend,MC Luscious,86,68,6
69,Do Not Pass Me By,M.C. Hammer,-1,69,1
70,I Wanna Be Your Girl,Icy Blu,67,46,20
71,Take Time,Chris Walker,-1,71,1
72,The Globe,Big Audio,72,72,5
73,Thought I'd Died And Gone To Heaven,Bryan Adams,-1,73,1
74,There Will Never Be Another Tonight,Bryan Adams,64,31,13
75,In Paradise,Laissez Faire,71,64,15
76,One,U2,-1,76,1
77,Nu Nu,Lidell Townsell,74,74,3
78,All Woman,Lisa Stansfield,87,78,2
79,The Unforgiven,Metallica,70,35,15
80,Kissing The Wind,Nia Peeples,76,76,4
81,Don't Lose The Magic,Shawn Christopher,84,81,3
82,Caribbean Blue,Enya,80,80,3
83,Poor Georgie,MC Lyte,89,83,2
84,Wildside,Marky Mark & The Funky Bunch,68,10,19
85,Love Me All Up,Stacy Earl,75,26,18
86,Everlasting Love,Tony Terry,81,81,8
87,How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill,77,77,5
88,Ain't Gonna Hurt Nobody,Kid 'N Play,79,51,18
89,Hold On (Tighter To Love),Clubland,88,79,11
90,Don't Be Afraid,Aaron Hall,-1,90,1
91,You Think You Know Her,Cause And Effect,92,91,3
92,Keep Coming Back,Richard Marx,78,12,20
93,She's Got That Vibe,R. Kelly & Public Announcement,-1,93,1
94,Change,Lisa Stansfield,85,27,20
95,Peace Of Mind (Love Goes On),One 2 One,95,95,2
96,It's Over Now,L.A. Guns,-1,96,1
97,Do You Want It Right Now,Degrees Of Motion,94,94,2
98,Only Love Can Break Your Heart,St. Etienne,97,97,2
99,In My Dreams,The Party,93,34,18
100,Juice (Know The Ledge),Eric B. & Rakim,96,96,4
