pos,title,artist,last_pos,peak_pos,streak
1,I Don't Want To Miss A Thing,Aerosmith,-1,1,1
2,The First Night,Monica,3,2,4
3,Crush,Jennifer Paige,4,3,10
4,My Way,Usher,2,2,12
5,The Boy Is Mine,Brandy & Monica,1,1,15
6,You're Still The One,Shania Twain,7,2,30
7,Adia,Sarah McLachlan,6,3,15
8,Daydreamin',Tatyana Ali,8,8,5
9,Never Ever,All Saints,5,4,7
10,When The Lights Go Out,Five,11,10,14
11,Cruel Summer,Ace Of Base,10,10,8
12,Lookin' At Me,Mase Featuring Puff Daddy,12,12,7
13,Time After Time,Inoj,14,13,3
14,Too Close,Next,9,1,30
15,Make It Hot,"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",13,5,11
16,This Kiss,Faith Hill,16,16,25
17,I Still Love You,Next,18,17,5
18,Friend Of Mine,Kelly Price,15,12,8
19,Thinkin' Bout It,Gerald Levert,-1,19,1
20,Come With Me,Puff Daddy Featuring Jimmy Page,17,4,11
21,Say It,Voices Of Theory,19,10,23
22,All My Life,K-Ci & JoJo,21,1,24
23,Truly Madly Deeply,Savage Garden,22,1,40
24,Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,20,15,11
25,To The Moon And Back,Savage Garden,24,24,29
26,Still A G Thang,Snoop Dogg,-1,26,1
27,Goodbye To My Homies,"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick",27,27,4
28,Intergalactic,Beastie Boys,28,28,6
29,Still Not A Player,Big Punisher Featuring Joe,26,24,13
30,Gotta Be,Jagged Edge,25,23,4
31,Nobody Does It Better,Nate Dogg Featuring Warren G,23,18,9
32,Touch It,Monifah,48,32,5
33,So Into You,Tamia,30,30,8
34,Ray Of Light,Madonna,32,5,9
35,Looking Through Your Eyes,LeAnn Rimes,29,18,21
36,I Don't Want To Wait,Paula Cole,37,11,45
37,Sex And Candy,Marcy Playground,31,8,22
38,My All,Mariah Carey,33,1,18
39,Cleopatra's Theme,Cleopatra,35,26,10
40,How Do I Live,LeAnn Rimes,40,2,64
41,Stop,Spice Girls,38,16,12
42,Movin' On,Mya Featuring Silkk The Shocker,49,42,5
43,I'm Alright, Jo Dee Messina,45,43,24
44,Gettin' Jiggy Wit It,Will Smith,34,1,28
45,Everybody [Backstreet's Back],Backstreet Boys,36,4,21
46,Together Again,Janet,44,1,38
47,Ooh La La,Rod Stewart,43,39,10
48,Horse & Carriage,Cam'Ron Featuring Mase,41,41,8
49,How's It Going To Be,Third Eye Blind,39,9,40
50,Woof Woof,69 Boyz,46,31,8
51,Nobody Else,Tyrese,54,51,3
52,Money Ain't A Thang,JD Featuring Jay-Z,52,52,10
53,Paper,Queen Latifah Featuring Apache,51,50,4
54,Hey Now Now,Swirl 360,47,47,7
55,Splackavellie,Pressha,-1,55,1
56,What U See Is What U Get,Xzibit,50,50,6
57,Heaven's What I Feel,Gloria Estefan,53,27,16
58,26 Cents,The Wilkinsons,55,55,6
59,Landslide,Fleetwood Mac,57,51,8
60,Whatcha Gone Do?,Link,56,23,14
61,I Get Lonely,Janet Featuring BLACKstreet,58,3,16
62,Destiny,Myron,60,47,8
63,Shorty (You Keep Playin' With My Mind),Imajin Featuring Keith Murray,59,25,15
64,Black Ice (Sky High),Goodie Mob Featuring Outkast,63,50,11
65,Turn It Up [Remix]/Fire It Up,Busta Rhymes,62,10,18
66,Delicious,Pure Sugar,66,66,5
67,Definition,Mos Def & Kweli Are Black Star,67,67,3
68,How Do I Say I'm Sorry,Tami Davis,68,63,10
69,It's Alright,Memphis Bleek (& Jay-Z),61,61,5
70,Ava Adore,The Smashing Pumpkins,64,42,10
71,If You Could Read My Mind,"Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez",75,71,2
72,Here We Go,Funkmaster Flex Presents Khadejia Featuring Product,72,72,3
73,Can't We Try,Rockell [Duet With Collage],74,59,10
74,Cheated (To All The Girls),Wyclef Jean Featuring Queen Pen & The Product,69,61,5
75,Remember When,Color Me Badd,70,48,7
76,You Won't Forget Me,La Bouche,65,48,14
77,You Only Have To Say You Love Me,Hannah Jones,71,70,13
78,If You Ever Have Forever In Mind,Vince Gill,73,60,10
79,Stop Being Greedy,DMX,91,79,4
80,What I Didn't Know,Athenaeum,76,58,6
81,I Should Cheat On You,J'Son,-1,81,1
82,Stand By Me,4 The Cause,83,82,3
83,Stepping Stone,Lari White,87,73,9
84,Spark,Tori Amos,79,49,11
85,I Wasn't With It,Jesse Powell,88,85,3
86,The Rockafeller Skank,Fatboy Slim,86,86,5
87,The Arms Of The One Who Loves You,Xscape,78,7,19
88,Here We Go Again,Aretha Franklin,84,76,8
89,"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin,77,60,11
90,One Heart At A Time,Various Artists,85,56,15
91,Ninety Nine [Flash The Message],John Forte,80,59,15
92,Wishlist,Pearl Jam,90,47,16
93,Wide Open Spaces,Dixie Chicks,-1,93,1
94,I Can Do That,Montell Jordan,96,90,4
95,Cover You In Kisses,John Michael Montgomery,93,91,6
96,Ding-A-Ling,Hi-Town DJs,95,56,19
97,2 Way Street,Missjones,81,62,10
98,Push It,Garbage,89,52,18
99,Not About Romance,Inner Circle,98,92,6
100,There You Are,Sam Salter,94,57,12
