pos,title,artist,last_pos,peak_pos,streak
1,American Pie (Parts I & II),Don McLean,1,1,9
2,Brand New Key,Melanie,2,1,13
3,Let's Stay Together,Al Green,3,3,8
4,Sunshine,Jonathan Edwards,4,4,11
5,Day After Day,Badfinger,14,5,8
6,Scorpio,Dennis Coffey & The Detroit Guitar Band,6,6,13
7,I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers,7,7,8
8,Clean Up Woman,Betty Wright,10,8,9
9,You Are Everything,The Stylistics,11,9,12
10,Sugar Daddy,Jackson 5,12,10,7
11,Never Been To Spain,Three Dog Night,18,11,5
12,Drowning In The Sea Of Love,Joe Simon,16,12,9
13,I'd Like To Teach The World To Sing (In Perfect Harmony),The Hillside Singers,13,13,9
14,Family Affair,Sly & The Family Stone,5,1,12
15,Got To Be There,Michael Jackson,8,4,13
16,Hey Girl/I Knew You When,Donny Osmond,9,9,9
17,One Monkey Don't Stop No Show Part I,The Honey Cone,15,15,10
18,Anticipation,Carly Simon,22,18,7
19,Hey Big Brother,Rare Earth,20,19,9
20,It's One Of Those Nights (Yes Love),The Partridge Family Starring Shirley Jones Featuring David Cassidy,21,20,6
21,Without You,Nilsson,36,21,6
22,Kiss An Angel Good Mornin',Charley Pride,25,22,10
23,Once You Understand,Think,23,23,8
24,Cherish,David Cassidy,17,9,12
25,The Witch Queen Of New Orleans,Redbone,27,25,10
26,Stay With Me,Faces,35,26,4
27,Black Dog,Led Zeppelin,33,27,5
28,Levon,Elton John,30,28,6
29,That's The Way I Feel About Cha,Bobby Womack & Peace,31,29,7
30,Make Me The Woman That You Go Home To,Gladys Knight And The Pips,32,30,6
31,Have You Seen Her,The Chi-lites,26,3,14
32,Fire And Water,Wilson Pickett,37,32,5
33,All I Ever Need Is You,Sonny & Cher,24,7,15
34,Precious And Few,Climax,43,34,4
35,Joy,Apollo featuring Tom Parker,49,35,4
36,An Old Fashioned Love Song,Three Dog Night,19,4,11
37,Don't Say You Don't Remember,Beverly Bremers,46,37,6
38,Hurting Each Other,Carpenters,76,38,2
39,Looking For A Love,The J. Geils Band,39,39,8
40,"White Lies, Blue Eyes",Bullet,28,28,12
41,My Boy,Richard Harris,41,41,10
42,Daisy Mae,"Hamilton, Joe Frank & Reynolds",51,42,8
43,Feeling Alright,Joe Cocker,55,43,9
44,Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers),44,44,7
45,Together Let's Find Love,The 5th Dimension,57,45,4
46,Ain't Nobody Home,B.B. King,48,46,11
47,Me And Bobby McGee,Jerry Lee Lewis,40,40,9
48,Floy Joy,The Supremes,75,48,3
49,The Lion Sleeps Tonight,Robert John,73,49,4
50,Bang A Gong (Get It On),T. Rex,54,50,4
51,Do The Funky Penguin Part I,Rufus Thomas,82,51,5
52,Way Back Home,Jr. Walker & The All Stars,68,52,7
53,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,81,53,7
54,Sour Suite,The Guess Who,50,50,9
55,"You Want It, You Got It",Detroit Emeralds,84,55,3
56,The Harder I Try (The Bluer I Get),Free Movement,61,56,7
57,Son Of Shaft,The Bar-Kays,85,57,5
58,George Jackson,Bob Dylan,38,33,8
59,Show Me How,The Emotions,59,59,9
60,Everybody Knows About My Good Thing Pt. 1,Little Johnny Taylor,60,60,7
61,What Am I Living For,Ray Charles,66,61,5
62,Tupelo Honey,Van Morrison,70,62,4
63,Under My Wheels,Alice Cooper,71,63,5
64,Footstompin' Music,Grand Funk Railroad,90,64,3
65,No Sad Song,Helen Reddy,62,62,8
66,Take It Slow (Out In The Country),Lighthouse,64,64,7
67,Pain (Part I),Ohio Players,88,67,5
68,Down By The Lazy River,The Osmonds,-1,68,1
69,Baby Won't You Let Me Rock 'N Roll You,Ten Years After,74,69,2
70,Another Puff,Jerry Reed,80,70,3
71,Nothing To Hide,Tommy James,53,41,9
72,You Make Your Own Heaven And Hell Right Here On Earth,The Undisputed Truth,72,72,6
73,Jungle Fever, The Chakachas,91,73,2
74,Superstar/Bless The Beasts And Children,Carpenters,67,2,21
75,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,83,75,2
76,Pretty As You Feel,Jefferson Airplane,69,60,10
77,Softly Whispering I Love You,The English Congregation,-1,77,1
78,We've Got To Get It On Again,Addrisi Brothers,-1,78,1
79,If I Could See The Light,The 8th Day,89,79,3
80,Move 'Em Out,Delaney & Bonnie,-1,80,1
81,Love Gonna Pack Up (And Walk Out),The Persuaders,86,81,5
82,Five Hundred Miles,Heaven Bound with Tony Scotti,87,82,7
83,Ajax Airlines,Hudson and Landry,99,83,2
84,Will You Still Love Me Tomorrow,Roberta Flack,-1,84,1
85,Music From Across The Way,James Last,95,85,2
86,I Wrote A Simple Song,Billy Preston,-1,86,1
87,The Nickel Song,Melanie,-1,87,1
88,Keep On Keeping On,N.F. Porter,77,77,6
89,After All This Time,Merry Clayton,79,71,7
90,I Gotcha,Joe Tex,-1,90,1
91,Open The Door (Song For Judith),Judy Collins,93,91,6
92,Keep Playin' That Rock 'N' Roll,Edgar Winter's White Trash,94,92,6
93,Rock & Roll Stew...Part 1,Traffic,96,93,2
94,Love And Liberty,Laura Lee,-1,94,1
95,Gimme Some More,The JB's,-1,95,1
96,Sweet Baby,Donnie Elbert,-1,96,1
97,Get Up And Get Down,The Dramatics,97,78,7
98,You Really Got A Hold On Me,Gayle McCormick,-1,98,1
99,Slippin' Into Darkness,War,-1,99,1
100,Standing In For Jody,Johnnie Taylor (The Soul Philosopher),-1,100,1
