pos,title,artist,last_pos,peak_pos,streak
1,It's Too Late/I Feel The Earth Move,Carole King,1,1,11
2,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,2,2,15
3,You've Got A Friend,James Taylor,6,3,7
4,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",5,4,9
5,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,3,3,15
6,Mr. Big Stuff,Jean Knight,7,6,8
7,Rainy Days And Mondays,Carpenters,4,2,10
8,Draggin' The Line,Tommy James,14,8,6
9,How Can You Mend A Broken Heart,Bee Gees,16,9,4
10,That's The Way I've Always Heard It Should Be,Carly Simon,10,10,14
11,She's Not Just Another Woman,The 8th Day,11,11,10
12,"Take Me Home, Country Roads",John Denver,20,12,13
13,Sooner Or Later,The Grass Roots,15,13,7
14,"When You're Hot, You're Hot",Jerry Reed,9,9,11
15,Funky Nassau-Part I,The Beginning Of The End,17,15,11
16,Here Comes That Rainy Day Feeling Again,The Fortunes,19,16,10
17,I Don't Want To Do Wrong,Gladys Knight And The Pips,18,17,7
18,Never Ending Song Of Love,Delaney & Bonnie & Friends,22,18,9
19,Bring The Boys Home,Freda Payne,21,19,7
20,Want Ads,The Honey Cone,8,1,15
21,Signs,Five Man Electrical Band,33,21,8
22,High Time We Went/Black-Eyed Blues,Joe Cocker,25,22,9
23,Beginnings/Colour My World,Chicago,37,23,4
24,Double Barrel,Dave & Ansil Collins,28,24,6
25,Get It On,Chase,30,25,9
26,"Mercy, Mercy Me (The Ecology)",Marvin Gaye,46,26,3
27,Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1),James Brown,49,27,3
28,It Don't Come Easy,Ringo Starr,12,4,12
29,Love The One You're With,The Isley Brothers,34,29,5
30,Wild Horses,The Rolling Stones,32,30,5
31,Brown Sugar,The Rolling Stones,13,1,12
32,You've Got A Friend,Roberta Flack & Donny Hathaway,36,32,6
33,Rings,Cymarron,45,33,6
34,Summer Sand,Dawn,38,34,5
35,Moon Shadow,Cat Stevens,40,35,4
36,Chicago,Graham Nash,39,36,7
37,If Not For You,Olivia Newton-John,48,37,8
38,Puppet Man/Resurrection Shuffle,Tom Jones,29,26,9
39,"Stop, Look, Listen (To Your Heart)",The Stylistics,41,39,7
40,Liar,Three Dog Night,72,40,2
41,Escape-ism (Part 1),James Brown,35,35,6
42,Resurrection Shuffle,"Ashton, Gardner & Dyke",50,42,5
43,Ajax Liquor Store,Hudson and Landry,43,43,13
44,Change Partners,Stephen Stills,44,44,6
45,Love Means (You Never Have To Say You're Sorry),Sounds Of Sunshine,47,45,8
46,Maybe Tomorrow,Jackson 5,75,46,2
47,Watching The River Flow,Bob Dylan,52,47,4
48,She Didn't Do Magic/I'm The Only One,Lobo,57,48,4
49,"What The World Needs Now Is Love/Abraham, Martin and John",Tom Clay,84,49,2
50,Riders On The Storm,The Doors,64,50,3
51,Smiling Faces Sometimes,The Undisputed Truth,69,51,4
52,Hey! Love/Over And Over,The Delfonics,53,52,5
53,Mighty Clouds Of Joy,B.J. Thomas,61,53,3
54,Walk Away,The James Gang,56,54,8
55,Rainy Jane,Davy Jones,58,55,5
56,I'm A Believer,Neil Diamond,66,56,4
57,Follow Me,Mary Travers,60,57,9
