pos,title,artist,last_pos,peak_pos,streak
1,Maneater,Daryl Hall John Oates,1,1,11
2,Mickey,Toni Basil,2,1,17
3,The Girl Is Mine,Michael Jackson And Paul McCartney,4,3,8
4,Dirty Laundry,Don Henley,7,4,9
5,Gloria,Laura Branigan,3,2,25
6,Steppin' Out,Joe Jackson,6,6,19
7,Sexual Healing,Marvin Gaye,8,7,9
8,Down Under,Men At Work,12,8,8
9,Rock This Town,Stray Cats,9,9,15
10,Truly,Lionel Richie,5,1,12
11,It's Raining Again,Supertramp Featuring Roger Hodgson,11,11,9
12,Heartbreaker,Dionne Warwick,14,12,12
13,Shadows Of The Night,Pat Benatar,13,13,11
14,Africa,Toto,16,14,9
15,Rock The Casbah,The Clash,17,15,13
16,You And I,Eddie Rabbitt With Crystal Gayle,18,16,12
17,"Baby, Come To Me",Patti Austin With James Ingram,20,17,15
18,The Other Guy,Little River Band,21,18,6
19,The Look Of Love (Part One),ABC,19,19,16
20,You Can't Hurry Love,Phil Collins,22,20,8
21,Up Where We Belong,Joe Cocker And Jennifer Warnes,15,1,19
22,Heart To Heart,Kenny Loggins,26,22,5
23,Missing You,Dan Fogelberg,23,23,12
24,Hand To Hold On To,John Cougar,25,24,8
25,Goody Two Shoes,Adam Ant,27,25,7
26,I Do,The J. Geils Band,31,26,6
27,Love In Store,Fleetwood Mac,33,27,5
28,You Got Lucky,Tom Petty And The Heartbreakers,30,28,7
29,On The Wings Of Love,Jeffrey Osborne,29,29,14
30,Shame On The Moon,Bob Seger & The Silver Bullet Band,40,30,2
31,"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,36,31,9
32,Everybody Wants You,Billy Squier,32,32,13
33,A Penny For Your Thoughts,Tavares,34,33,15
34,What About Me,Moving Pictures,35,34,15
35,Shock The Monkey,Peter Gabriel,37,35,10
36,Heart Of The Night,Juice Newton,38,36,5
37,Allentown,Billy Joel,39,37,5
38,Does It Make You Remember,Kim Carnes,43,38,8
39,Your Love Is Driving Me Crazy,Sammy Hagar,54,39,3
40,Two Less Lonely People In The World,Air Supply,42,40,7
41,Muscles,Diana Ross,10,10,13
42,Space Age Love Song,A Flock Of Seagulls,45,42,7
43,Stray Cat Strut,Stray Cats,-1,43,1
44,I Gotta Try,Michael McDonald,48,44,7
45,Memory,Barry Manilow,50,45,6
46,Heart Attack,Olivia Newton-John,24,3,17
47,Bad Boy,Ray Parker Jr.,51,47,4
48,Right Before Your Eyes,America,53,48,5
49,All Those Lies,Glenn Frey,60,49,3
50,Put It In A Magazine, Sonny Charles,56,50,7
51,Do You Really Want To Hurt Me,Culture Club,62,51,4
52,Twilight Zone,Golden Earring,59,52,5
53,I Knew You When,Linda Ronstadt,66,53,3
54,I Know There's Something Going On,Frida,58,54,8
55,Bad Boy/Having A Party,Luther Vandross,55,55,9
56,On The Loose,Saga,64,56,4
57,Psychobabble,The Alan Parsons Project,61,57,5
58,Be My Lady,Jefferson Starship,28,28,12
59,Pass The Dutchie,Musical Youth,68,59,3
60,The Woman In Me,Donna Summer,78,60,2
61,"(you're So Square) Baby, I Don't Care",Joni Mitchell,47,47,6
62,Whatcha Gonna Do,Chilliwack,41,41,10
63,Back On The Chain Gang,Pretenders,76,63,3
64,After I Cry Tonight,Lanier & Co.,70,64,4
65,1999,Prince,44,44,9
66,Nowhere To Run,Santana,67,66,5
67,Papa Was A Rollin' Stone,Wolf,74,67,3
68,Give It Up,The Steve Miller Band,75,68,3
69,Cross My Heart,Lee Ritenour,69,69,4
70,Used To Be,Charlene & Stevie Wonder,46,46,9
71,The Elvis Medley,Elvis Presley,71,71,5
72,Painted Picture,Commodores,72,72,4
73,Young Love,Janet Jackson,79,73,2
74,The Clapping Song,Pia Zadora,84,74,3
75,Funny How Time Slips Away,The Spinners,80,75,3
76,All Touch,Rough Trade,81,76,2
77,Hungry Like The Wolf,Duran Duran,-1,77,1
78,Are You Getting Enough Happiness,Hot Chocolate,85,78,2
79,Shoot For The Moon,Poco,89,79,2
80,Eminence Front,The Who,-1,80,1
81,Forever,Little Steven,-1,81,1
82,"Beg, Borrow Or Steal",Hughes/Thrall,90,82,2
83,I.g.y. (what A Beautiful World),Donald Fagen,65,26,12
84,Southern Cross,"Crosby, Stills & Nash",49,18,15
85,Goodbye To You,Scandal Featuring Patty Smyth,87,65,7
86,Theme From Dynasty,Bill Conti,52,52,8
87,Heartlight,Neil Diamond,57,5,16
88,Are You Serious,Tyrone Davis,-1,88,1
89,Take The Time,Michael Stanley Band,-1,89,1
90,What If (I Said I Love You),Unipop,-1,90,1
91,Love Me Tomorrow,Chicago,63,22,14
92,Destination Unknown,Missing Persons,92,42,13
93,Pressure,Billy Joel,73,20,14
94,Nobody,Sylvia (r&b),77,15,18
95,Who Can It Be Now?,Men At Work,95,1,25
96,Forever Mine,The Motels,82,60,7
97,Don't Stop Trying,Rodway,83,83,3
98,I'm So Excited,The Pointer Sisters,86,30,15
99,You Don't Want Me Anymore,Steel Breeze,88,16,18
100,American Heartbeat,Survivor,93,17,14
