pos,title,artist,last_pos,peak_pos,streak
1,I Don't Wanna Cry,Mariah Carey,8,1,8
2,Touch Me (All Night Long),Cathy Dennis,2,2,13
3,More Than Words,Extreme,9,3,10
4,I Like The Way (The Kissing Game),Hi-Five,1,1,14
5,Rhythm Of My Heart,Rod Stewart,5,5,11
6,I Touch Myself,Divinyls,4,4,12
7,Here We Go,C+C Music Factory/F. Williams,3,3,13
8,"I Wanna Sex You Up (From ""New Jack City"")",Color Me Badd,10,8,8
9,Love Is A Wonderful Thing,Michael Bolton,12,9,6
10,Silent Lucidity,Queensryche,11,10,10
11,Losing My Religion,R.E.M.,13,11,8
12,Baby Baby,Amy Grant,7,1,14
13,Rush Rush,Paula Abdul,23,13,3
14,You Don't Have To Go Home Tonight,The Triplets,14,14,11
15,Joyride,Roxette,6,1,13
16,Miracle,Whitney Houston,17,16,7
17,Unbelievable,EMF,25,17,7
18,Written All Over Your Face,The Rude Boys,18,18,12
19,What Comes Naturally,Sheena Easton,20,19,9
20,Don't Treat Me Bad,Firehouse,22,20,12
21,Strike It Up,Black Box,24,21,8
22,Save Some Love,Keedy,16,15,11
23,Power Of Love/Love Power,Luther Vandross,26,23,5
24,Couple Days Off,Huey Lewis & The News,30,24,5
25,My Heart Is Failing Me,Riff,27,25,10
26,More Than Ever,Nelson,15,14,12
27,Voices That Care,Voices That Care,19,11,11
28,Playground,Another Bad Creation,38,28,5
29,Mama Said Knock You Out,LL Cool J,33,29,7
30,Cry For Help,Rick Astley,21,7,15
31,She Talks To Angels,The Black Crowes,31,30,11
32,Here I Am (Come And Take Me),UB40,39,32,10
33,Do You Want Me,Salt-N-Pepa,35,33,10
34,It's A Shame (My Sister),Monie Love Featuring True Image,29,26,11
35,People Are Still Having Sex,LaTour,36,35,8
36,Love At First Sight,Styx,40,36,8
37,"Right Here, Right Now",Jesus Jones,44,37,7
38,Walking In Memphis,Marc Cohn,42,38,9
39,We Want The Funk,Gerardo,46,39,4
40,You're In Love,Wilson Phillips,28,1,16
41,(If There Was) Any Other Way,Celine Dion,43,41,8
42,How Can I Ease The Pain,Lisa Fischer,45,42,7
43,How Much Is Enough,The Fixx,37,35,9
44,I've Been Thinking About You,Londonbeat,32,1,16
45,Hold You Tight,Tara Kemp,34,3,19
46,Never Gonna Let You Down,Surface,50,46,5
47,Place In This World,Michael W. Smith,56,47,4
48,Whatever You Want,Tony Toni Tone,48,48,7
49,I'll Never Let You Go,Steelheart,52,49,11
50,Gypsy Woman (She's Homeless),Crystal Waters,57,50,4
51,Iesha,Another Bad Creation,41,9,20
52,A Better Love,Londonbeat,65,52,3
53,Dream Lover,The Rebel Pebbles,61,53,6
54,I Don't Want To Lose Your Love,B Angie B,59,54,5
55,Come Again,Damn Yankees,55,55,6
56,Does Anybody Really Fall In Love Anymore?,Kane Roberts,63,56,5
57,Round And Round,Tevin Campbell,53,12,25
58,Going Through The Motions,Aftershock,64,58,9
59,Piece Of My Heart,Tara Kemp,73,59,3
60,"Just The Way It Is, Baby",The Rembrandts,47,14,16
61,"Part Of Me, Part Of You",Glenn Frey,72,61,3
62,Bitter Tears,INXS,49,46,8
63,Life Goes On,Poison,76,63,4
64,Signs,Tesla,54,8,21
65,Sadeness Part 1,Enigma,51,5,16
66,Feel The Groove,Cartouche,71,66,7
67,Seal Our Fate,Gloria Estefan,58,53,6
68,Lily Was Here,David A. Stewart Introducing Candy Dulfer,91,68,2
69,One More Try,Timmy T.,60,1,23
70,Over And Over,Timmy T.,81,70,3
71,See The Lights,Simple Minds,82,71,2
72,Mercy Mercy Me (The Ecology)/I Want You,Robert Palmer,66,16,15
73,"New Jack Hustler (Nino's Theme) (From ""New Jack City"")",Ice-T,67,67,5
74,Kisses In The Night,Brandon,80,74,3
75,Rico Suave,Gerardo,62,7,17
76,This Time Make It Funky,Tracie Spencer,89,76,2
77,Let's Chill,Guy,69,41,14
78,"Nights Like This (From ""The Five Heartbeats"")",After 7,-1,78,1
79,Together Forever,Lisette Melendez,68,35,17
80,Coming Out Of The Dark,Gloria Estefan,75,1,18
81,Something In My Heart,Michel'le,70,31,20
82,Temptation,Corina,94,82,2
83,Someday,Mariah Carey,74,1,19
84,Can I Call You My Girl,PC Quest,85,84,4
85,Crazy,Daisy Dee,77,73,9
86,Exclusivity,Damian Dame,97,86,2
87,You Can't Play With My Yo-Yo,Yo-Yo Featuring Ice Cube,-1,87,1
88,Kissing You,Keith Washington,-1,88,1
89,"I'm Dreamin' (From ""New Jack City"")",Christopher Williams,90,89,3
90,Where The Streets Have No Name,Pet Shop Boys,-1,90,1
91,I'll Be There,The Escape Club,-1,91,1
92,Ooh La La,David Hallyday,-1,92,1
93,This House,Tracie Spencer,79,3,23
94,Someone,The Rembrandts,-1,94,1
95,Treat 'Em Right,Chubb Rock,95,95,2
96,Uncle Tom's Cabin,Warrant,78,78,6
97,Heartbreak Station,Cinderella,84,44,11
98,Another Like My Lover,Jasmine Guy,83,66,10
99,Backyard,Pebbles (With Salt-N-Pepa),88,73,7
100,All The Man That I Need,Whitney Houston,92,1,23
