pos,title,artist,last_pos,peak_pos,streak
1,ANNIE's SONG,John Denver,2,1,9
2,Don't Let The Sun Go Down On Me,Elton John,4,2,6
3,Rock And Roll Heaven,The Righteous Brothers,3,3,10
4,Rock Your Baby,George McCrae,1,1,9
5,Rikki Don't Lose That Number,Steely Dan,7,5,12
6,Feel Like Makin' Love,Roberta Flack,16,6,6
7,The Air That I Breathe,The Hollies,9,7,15
8,Rock The Boat,The Hues Corporation,6,1,10
9,Please Come To Boston,Dave Loggins,19,9,9
10,Call On Me,Chicago,23,10,6
11,Sideshow,Blue Magic,11,11,11
12,On And On,Gladys Knight And The Pips,5,5,10
13,Radar Love,Golden Earring,15,13,12
14,The Night Chicago Died,Paper Lace,32,14,7
15,Waterloo,ABBA,18,15,9
16,One Hell Of A Woman,Mac Davis,14,11,18
17,Finally Got Myself Together (I'm A Changed Man),The Impressions,17,17,13
18,Wildwood Weed,Jim Stafford,35,18,4
19,Keep On Smilin',Wet Willie ,28,19,10
20,Takin' Care Of Business,Bachman-Turner Overdrive,20,20,11
21,If You Talk In Your Sleep,Elvis Presley,21,21,8
22,Machine Gun,Commodores,22,22,7
23,Tell Me Something Good,Rufus Featuring Chaka Khan,25,23,7
24,This Heart,Gene Redding,24,24,13
25,Sure As I'm Sittin' Here,Three Dog Night,31,25,5
26,Fish Ain't Bitin',Lamont Dozier,29,26,7
27,If You Love Me (let Me Know),Olivia Newton-John,10,5,16
28,Shinin' On,Grand Funk,34,28,3
29,You Won't See Me,Anne Murray,8,8,15
30,Rock Me Gently,Andy Kim,36,30,6
31,You And Me Against The World,Helen Reddy,37,31,7
32,I'm Leaving It (All) Up To You,Donny & Marie Osmond,50,32,4
33,Hollywood Swinging,Kool & The Gang,38,6,15
34,(You're) Having My Baby,Paul Anka with Odia Coates,42,34,4
35,Come Monday,Jimmy Buffett,30,30,11
36,Hang On In There Baby,Johnny Bristol,39,36,5
37,Workin' At The Car Wash Blues,Jim Croce,40,32,8
38,Rub It In,"Billy ""Crash"" Craddock",49,38,5
39,"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,13,1,15
40,Band On The Run,Paul McCartney And Wings,26,1,15
41,My Thang,James Brown,43,41,6
42,I Shot The Sheriff,Eric Clapton,62,42,3
43,Wild Thing,Fancy,44,43,7
44,Kung Fu,Curtis Mayfield,45,44,6
45,Sundown,Gordon Lightfoot,12,1,16
46,Put Out The Light,Joe Cocker,48,46,6
47,Ballero,War,33,33,8
48,Be Thankful For What You Got,William DeVaughn,27,4,13
49,Dancing Machine,Jackson 5,47,2,20
50,Nothing From Nothing,Billy Preston,60,50,3
51,Then Came You,Dionne Warwicke & Spinners,-1,51,1
52,You Make Me Feel Brand New,The Stylistics,52,2,19
53,Midnight At The Oasis,Maria Muldaur,46,6,23
54,Jive Turkey (Part 1),Ohio Players,54,47,7
55,Happiness Is Just Around The Bend,The Main Ingredient,65,55,5
56,River's Risin',Edgar Winter,72,56,2
57,Haven't Got Time For The Pain,Carly Simon,53,14,12
58,The Streak,Ray Stevens,41,1,16
59,Room Full Of Roses,Mickey Gilley,55,50,8
60,Old Home Filler-up An' Keep On-a-truckin' Cafe,C.W. McCall,69,60,5
61,Clap For The Wolfman,The Guess Who,71,61,2
62,I'm Coming Home,The Spinners,51,18,11
63,It's Better To Have (and Don't Need),Don Covay,67,63,3
64,Don't Knock My Love,Diana Ross & Marvin Gaye,76,64,3
65,Already Gone,Eagles,57,32,13
66,Time For Livin',Sly & The Family Stone,77,66,4
67,Between Her Goodbye And My Hello,Gladys Knight And The Pips,75,67,5
68,If You Wanna Get To Heaven,Ozark Mountain Daredevils,59,25,15
69,Train Of Thought,Cher,58,27,10
70,"You're Welcome, Stop On By",Bobby Womack,70,70,4
71,Kalimba Story,"Earth, Wind & Fire",78,71,3
72,Don't Change Horses (In The Middle Of A Stream),Tower Of Power,82,72,2
73,Dance Master Pt. 1,Willie Henderson,73,73,4
74,Beach Baby,First Class,74,74,2
75,Rings,Lobo,79,75,2
76,My Girl Bill,Jim Stafford,64,12,15
77,Let's Put It All Together,The Stylistics,-1,77,1
78,You Can't Be A Beacon (if Your Light Don't Shine),Donna Fargo,94,78,5
79,Secretary,Betty Wright,80,79,3
80,Save The Last Dance For Me,The DeFranco Family featuring Tony DeFranco,56,18,13
81,Sugar Baby Love,The Rubettes,81,81,2
82,For The Love Of Money,The O'Jays,66,9,16
83,There Will Never Be Any Peace (Until God Is Seated At The Conference Table),The Chi-lites,63,63,7
84,La Grange,ZZ Top,61,41,18
85,Walk On,Neil Young,91,85,3
86,Rings,Reuben Howell,86,86,2
87,Free Man In Paris,Joni Mitchell,-1,87,1
88,That's Not How It Goes,Bloodstone,-1,88,1
89,Who Do You Think You Are,Bo Donaldson And The Heywoods,-1,89,1
90,Moonlight Special,Ray Stevens,-1,90,1
91,Ma! (He's Making Eyes At Me),Lena Zavaroni,100,91,3
92,You've Got My Soul On Fire,The Temptations,88,74,6
93,Sweet Home Alabama,Lynyrd Skynyrd,-1,93,1
94,Get Out Of Denver,Bob Seger,-1,94,1
95,Eyes Of Silver,The Doobie Brothers,-1,95,1
96,It Could Have Been Me,Sami Jo,99,96,3
97,Live It Up Part 1,The Isley Brothers,-1,97,1
98,Love Is The Message,MFSB Featuring The Three Degrees,96,85,4
99,Good Things Don't Last Forever,"Ecstasy, Passion & Pain",97,93,4
100,Makin' The Best Of A Bad Situation,Dick Feller,-1,100,1
