pos,title,artist,last_pos,peak_pos,streak
1,The Sign,Ace Of Base,1,1,14
2,Bump N' Grind,R. Kelly,2,2,9
3,Without You/Never Forget You,Mariah Carey,3,3,10
4,The Power Of Love,Celine Dion,4,1,19
5,Whatta Man,Salt-N-Pepa Featuring En Vogue,5,3,11
6,So Much In Love,All-4-One,6,5,14
7,Now And Forever,Richard Marx,7,7,11
8,Mmm Mmm Mmm Mmm,Crash Test Dummies,12,8,10
9,Gin And Juice,Snoop Doggy Dogg,8,8,10
10,Cantaloop (Flip Fantasia),US3,9,9,19
11,The Most Beautiful Girl In The World,Prince,13,11,5
12,Because Of Love,Janet Jackson,11,10,10
13,Breathe Again,Toni Braxton,10,3,25
14,"Streets Of Philadelphia (From ""Philadelphia"")",Bruce Springsteen,15,14,7
15,Indian Outlaw,Tim McGraw,19,15,5
16,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,21,16,6
17,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,14,14,15
18,Rock And Roll Dreams Come Through,Meat Loaf,16,13,10
19,Groove Thang,Zhane,17,17,12
20,Stay,Eternal,22,19,12
21,I'm Ready,Tevin Campbell,29,21,4
22,Hero,Mariah Carey,20,1,24
23,Because The Night,"10,000 Maniacs",23,11,22
24,Return To Innocence,Enigma,38,24,5
25,All For Love,Bryan Adams/Rod Stewart/Sting,18,1,19
26,All That She Wants,Ace Of Base,27,2,29
27,Please Forgive Me,Bryan Adams,25,7,24
28,Everyday,Phil Collins,26,24,10
29,Understanding,Xscape,24,8,15
30,Found Out About You,Gin Blossoms,31,25,20
31,Amazing,Aerosmith,30,24,18
32,I'm In The Mood,CeCe Peniston,32,32,14
33,Dunkie Butt (Please Please Please),12 Gauge,37,33,13
34,Cry For You,Jodeci,28,15,19
35,"I'll Remember (From ""With Honors"")",Madonna,-1,35,1
36,Born To Roll,Masta Ace Incorporated,63,36,4
37,And Our Feelings,Babyface,46,37,5
38,You Know How We Do It,Ice Cube,47,38,8
39,Feenin',Jodeci,58,39,4
40,Dreams,Gabrielle,40,26,26
41,U Send Me Swingin',Mint Condition,33,33,11
42,Love Sneakin' Up On You,Bonnie Raitt,53,42,4
43,Mother,Danzig,43,43,8
44,"Hey D.J. (From ""Mi Vida Loca"")",Lighter Shade Of Brown,45,44,7
45,Said I Loved You...But I Lied,Michael Bolton,39,6,22
46,Can We Talk,Tevin Campbell,36,9,25
47,Whoomp! (There It Is),Tag Team,41,2,45
48,Linger,The Cranberries,34,8,24
49,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,42,18,22
50,Player's Ball,OutKast,51,50,6
51,Loser,Beck,54,37,10
52,Somethin' To Ride To (Fonky Expedition),The Conscious Daughters,62,52,3
53,I'm Outstanding,Shaquille O'Neal,49,47,6
54,Just Another Day,Queen Latifah,59,54,4
55,Having A Party,Rod Stewart,55,36,14
56,How Do You Like It?,Keith Sweat,78,56,2
57,Choose,Color Me Badd,50,23,12
58,Completely,Michael Bolton,73,58,3
59,I Swear,John Michael Montgomery,60,42,8
60,It's All Good, M.C. Hammer,57,46,8
61,(Lay Your Head On My) Pillow,Tony Toni Tone,52,31,12
62,Will You Be There (In The Morning),Heart,61,39,15
63,"You Don't Love Me (No, No, No)",Dawn Penn,64,63,6
64,Getto Jam,Domino,56,7,19
65,Electric Relaxation (Relax Yourself Girl),A Tribe Called Quest,68,65,3
66,Pumps And A Bump,M.C. Hammer,75,66,2
67,I Want You,Juliet Roberts,76,67,3
68,Come To My Window,Melissa Etheridge,74,68,6
69,U.N.I.T.Y.,Queen Latifah,65,23,19
70,"The More You Ignore Me, The Closer I Get",Morrissey,72,70,3
71,Zunga Zeng,K7,70,61,10
72,Cannonball,The Breeders,66,44,18
73,Laid,James,71,64,9
74,Mass Appeal,Gang Starr,67,67,5
75,Dream On Dreamer,The Brand New Heavies,79,75,3
76,Since I Don't Have You,Guns N' Roses,69,69,5
77,Got Me Waiting,Heavy D & The Boyz,89,77,2
78,What Might Have Been,Little Texas,77,74,20
79,Dreams,The Cranberries,-1,79,1
80,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,87,80,4
81,God,Tori Amos,85,79,7
82,Sweet Lullaby,Deep Forest,82,78,6
83,Comin' On Strong,Sudden Change,94,83,4
84,Always On My Mind,SWV,81,54,13
85,I'll Be Loving You,Collage,80,56,19
86,You Mean The World To Me,Toni Braxton ,-1,86,1
87,"Lullabye (Goodnight, My Angel)",Billy Joel,90,87,2
88,Funk Dat/Why Is It?,Sagat,84,63,14
89,No Doubt About It,Neal McCoy,-1,89,1
90,I Like To Move It,Reel 2 Real Featuring The Mad Stuntman,95,89,4
91,My Love,Little Texas,96,86,6
92,"A Deeper Love (From ""Sister Act 2"")",Aretha Franklin,83,63,8
93,Life (Everybody Needs Somebody To Love),Haddaway,86,41,15
94,You,Candlebox,91,91,3
95,I've Been Thinking About You,Jocelyn Enriquez,-1,95,1
96,On And On,Shyheim,98,95,4
97,Miss You In A Heartbeat,Def Leppard,93,39,17
98,Neon Moonlight,Rosco Martinez,-1,98,1
99,Don't Go Breaking My Heart,Elton John & RuPaul,92,92,2
100,Ain't Seen Love Like That,Mr. Big,88,83,6
