pos,title,artist,last_pos,peak_pos,streak
1,Da Ya Think I'm Sexy?,Rod Stewart,1,1,9
2,Y.M.C.A.,Village People,2,2,18
3,A Little More Love,Olivia Newton-John,4,3,13
4,Fire,The Pointer Sisters,5,4,15
5,I Will Survive,Gloria Gaynor,7,5,10
6,Every 1's A Winner,Hot Chocolate,6,6,15
7,Le Freak,Chic ,3,1,17
8,Lotta Love,Nicolette Larson,10,8,13
9,Somewhere In The Night,Barry Manilow,11,9,10
10,I Was Made For Dancin',Leif Garrett,12,10,15
11,September,"Earth, Wind & Fire",8,8,14
12,Got To Be Real,Cheryl Lynn,14,12,12
13,Shake It,Ian Matthews,15,13,14
14,Soul Man,Blues Brothers,16,14,11
15,Heaven Knows,Donna Summer With Brooklyn Dreams,17,15,6
16,No Tell Lover,Chicago,18,16,9
17,"Blue Morning, Blue Day",Foreigner,20,17,9
18,The Gambler,Kenny Rogers,19,18,16
19,Tragedy,Bee Gees,29,19,2
20,Don't Cry Out Loud,Melissa Manchester,22,20,14
21,Shake Your Groove Thing,Peaches & Herb,24,21,10
22,Dancin' Shoes,Nigel Olsson,25,22,10
23,Too Much Heaven,Bee Gees,9,1,14
24,Every Time I Think Of You,The Babys,30,24,7
25,Baby I'm Burnin',Dolly Parton,27,25,11
26,Lady,Little River Band,31,26,7
27,What A Fool Believes,The Doobie Brothers,32,27,5
28,What You Won't Do For Love,Bobby Caldwell,33,28,9
29,Take Me To The River,Talking Heads,26,26,16
30,I Just Fall In Love Again,Anne Murray,37,30,4
31,Crazy Love,Poco,38,31,5
32,My Life,Billy Joel,23,3,16
33,Sultans Of Swing,Dire Straits,47,33,2
34,Haven't Stopped Dancing Yet,Gonzalez,40,34,7
35,New York Groove,Ace Frehley,13,13,19
36,Stormy,Santana,42,36,7
37,You Can Do It,Dobie Gray,39,37,9
38,Song On The Radio,Al Stewart,45,38,4
39,Forever In Blue Jeans,Neil Diamond,46,39,4
40,You Make Me Feel (Mighty Real),Sylvester,44,40,6
41,Sing For The Day,Styx,41,41,7
42,Stumblin' In,Suzi Quatro & Chris Norman,49,42,4
43,Don't Hold Back,Chanson,21,21,15
44,Knock On Wood,Amii Stewart,51,44,4
45,Maybe I'm A Fool,Eddie Money,54,45,4
46,I Go To Rio,Pablo Cruise,52,46,6
47,Every Which Way But Loose,Eddie Rabbitt,53,47,5
48,You Stepped Into My Life,Melba Moore,50,48,5
49,I Don't Know If It's Right,"Evelyn ""Champagne"" King",55,49,7
50,"Goodbye, I Love You",Firefall,57,50,5
51,Home And Dry,Gerry Rafferty,28,28,12
52,Hold The Line,Toto,34,5,20
53,Get Down,Gene Chandler,56,53,7
54,Music Box Dancer,Frank Mills,64,54,4
55,Chase,Giorgio Moroder,62,55,5
56,Superman,Herbie Mann,65,56,6
57,Livin' It Up (Friday Night),Bell & James,66,57,4
58,Big Shot,Billy Joel,67,58,2
59,He's The Greatest Dancer,Sister Sledge,69,59,2
60,Ooh Baby Baby,Linda Ronstadt,35,7,15
61,Dog + Butterfly,Heart,71,61,3
62,All The Time In The World,Dr. Hook,72,62,3
63,"Baby, I Need Your Lovin'",Eric Carmen,63,63,4
64,Bustin' Loose,Chuck Brown & The Soul Searchers,74,64,3
65,Take Me Home,Cher,75,65,2
66,Survivor,Cindy Bullens,76,66,3
67,Oh Honey,Delegation,77,67,3
68,Our Love Is Insane,Desmond Child And Rouge,70,68,5
69,Dancing In The City,Marshall Hain,43,43,11
70,Just One Look,Linda Ronstadt,80,70,2
71,Run Home Girl,Sad Cafe,73,71,6
72,Four Strong Winds,Neil Young,82,72,3
73,"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder",59,59,5
74,Contact,Edwin Starr,84,74,2
75,Precious Love,Bob Welch,87,75,2
76,I'll Supply The Love,Toto,86,76,2
77,Fancy Dancer,Frankie Valli,78,77,4
78,I Want Your Love,Chic,88,78,2
79,Now That We Found Love,Third World,89,79,2
80,Love Struck,Stonebolt,90,80,2
81,Sinner Man,Sarah Dash,-1,81,1
82,Shake Your Body (Down To The Ground),The Jacksons,-1,82,1
83,Bad Brakes,Cat Stevens,83,83,4
84,Heart Of Glass,Blondie,-1,84,1
85,Keep On Dancin',Gary's Gang,-1,85,1
86,Wheels Of Life,Gino Vannelli,-1,86,1
87,Don't Stop Me Now,Queen,-1,87,1
88,The Man With The Child In His Eyes,Kate Bush,-1,88,1
89,Souvenirs,Voyage,-1,89,1
90,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,-1,90,1
91,Shoot Me (With Your Love),Tasha Thomas,91,91,4
92,Love Don't Live Here Anymore,Rose Royce,68,32,11
93,Free Me From My Freedom/Tie Me To A Tree (Handcuff Me), Bonnie Pointer,58,58,14
94,Lonely Wind,Kansas,60,60,5
95,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,36,1,17
96,We've Got Tonight,Bob Seger & The Silver Bullet Band,93,13,17
97,For You And I,10cc,85,85,3
98,Shattered,The Rolling Stones,48,31,10
99,Take That To The Bank,Shalamar,79,79,6
100,Theme From Superman (Main Title),The London Symphony Orchestra/John Williams,81,81,4
