pos,title,artist,last_pos,peak_pos,streak
1,Boom Boom Pow,The Black Eyed Peas,39,1,4
2,Poker Face,Lady Gaga,1,1,16
3,Right Round,Flo Rida,2,1,10
4,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,3,3,15
5,Blame It,Jamie Foxx Featuring T-Pain,5,5,12
6,Dead And Gone,T.I. Featuring Justin Timberlake,4,2,18
7,Day 'N' Nite,Kid Cudi,11,7,12
8,Gives You Hell,The All-American Rejects,6,4,21
9,You Found Me,The Fray,14,7,20
10,The Climb,Miley Cyrus,8,6,5
11,Just Dance,Lady Gaga Featuring Colby O'Donis,9,1,35
12,My Life Would Suck Without You,Kelly Clarkson,7,1,12
13,Love Sex Magic,Ciara Featuring Justin Timberlake,10,10,4
14,Love Story,Taylor Swift,15,4,30
15,I Love College,Asher Roth,12,12,8
16,Turnin Me On,Keri Hilson Featuring Lil Wayne,17,15,16
17,Mad,Ne-Yo,13,11,18
18,Halo,Beyonce,23,18,11
19,Heartless,Kanye West,16,2,22
20,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,21,19,18
21,If U Seek Amy,Britney Spears,24,21,8
22,Sober,P!nk,19,15,19
23,I'm Yours,Jason Mraz,22,6,51
24,Circus,Britney Spears,18,3,18
25,Jai Ho! (You Are My Destiny),A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,43,15,7
26,How Do You Sleep?,Jesse McCartney Featuring Ludacris,27,26,9
27,Second Chance,Shinedown,33,27,19
28,Rockin' That Thang,The-Dream,26,22,15
29,Don't Trust Me,3OH!3,34,29,17
30,Let It Rock,Kevin Rudolf Featuring Lil Wayne,29,5,32
31,Sugar,Flo Rida Featuring Wynter,20,20,3
32,I Know You Want Me (Calle Ocho),Pitbull,37,32,6
33,I Told You So,Carrie Underwood Featuring Randy Travis,25,9,8
34,Here Comes Goodbye,Rascal Flatts,36,11,6
35,Single Ladies (Put A Ring On It),Beyonce,31,1,25
36,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",28,1,12
37,Hot N Cold,Katy Perry,35,3,36
38,I Hate This Part,The Pussycat Dolls,30,11,19
39,White Horse,Taylor Swift,32,13,21
40,She's Country,Jason Aldean,41,40,12
41,"1, 2, 3, 4",Plain White T's,42,41,11
42,Turn My Swag On,Soulja Boy Tell'em,52,42,5
43,Viva La Vida,Coldplay,40,1,48
44,It's America,Rodney Atkins,56,44,7
45,All The Above,Maino Featuring T-Pain,54,39,6
46,Don't Forget,Demi Lovato,48,46,4
47,It Won't Be Like This For Long,Darius Rucker,44,36,14
48,Live Your Life,T.I. Featuring Rihanna,45,1,28
49,Ain't I, Yung L.A. Featuring Young Dro & T.I.,51,47,10
50,Gotta Be Somebody,Nickelback,47,10,27
51,Then,Brad Paisley,49,35,3
52,Lucky,Jason Mraz & Colbie Caillat,53,48,13
53,Diva,Beyonce,50,19,16
54,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,65,54,2
55,You Can Get It All,Bow Wow Featuring Johnta Austin,69,55,5
56,That's Not My Name,The Ting Tings,68,56,13
57,Don't Think I Can't Love You,Jake Owen,61,57,10
58,It Happens,Sugarland,70,58,5
59,Stanky Legg,GS Boyz,58,49,9
60,River Of Love,George Strait,63,59,17
61,Candle (Sick And Tired),The White Tie Affair,60,60,5
62,Hoedown Throwdown,Miley Cyrus,46,46,4
63,Come Back To Me,David Cook,-1,63,1
64,Use Somebody,Kings Of Leon,67,64,10
65,I'm On A Boat,The Lonely Island Featuring T-Pain,66,65,8
66,Careless Whisper,Seether,71,66,5
67,Thinking Of You,Katy Perry,55,29,12
68,Whatever It Is,Zac Brown Band,79,68,4
69,Crazier,Taylor Swift,72,69,2
70,Magnificent,Rick Ross Featuring John Legend,75,70,5
71,Next To You,Mike Jones,76,71,5
72,Untouched,The Veronicas,64,17,19
73,Nothin' To Die For,Tim McGraw,73,68,8
74,Move (If You 'W'anna),Mims,74,61,11
75,Be On You,Flo Rida Featuring Ne-Yo,-1,75,1
76,I Run To You,Lady Antebellum,97,76,3
77,Boyfriend #2,Pleasure P,90,77,3
78,Shuttin' Detroit Down,John Rich,80,75,6
79,God Love Her,Toby Keith,78,36,20
80,The Fear,Lily Allen,99,80,6
81,One In Every Crowd,Montgomery Gentry,94,81,4
82,Ride,Martina McBride,84,82,6
83,Never Ever,Ciara Featuring Young Jeezy,85,72,7
84,She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous,83,54,17
85,Things That Matter,Rascal Flatts,-1,85,1
86,You Complete Me,Keyshia Cole,82,62,9
87,If This Isn't Love,Jennifer Hudson,91,84,6
88,Lifeline,Papa Roach,81,81,2
89,Kiss A Girl,Keith Urban,88,51,4
90,Sideways,Dierks Bentley,-1,90,1
91,Prom Queen,Lil Wayne Featuring Shanell AKA SNL,86,15,10
92,Hot Revolver,Lil Wayne,38,33,3
93,Just Like Me,Jamie Foxx Featuring T.I.,92,49,17
94,Always The Love Songs,Eli Young Band,100,94,3
95,Jump,Flo Rida Featuring Nelly Furtado,-1,95,1
96,sobeautiful,Musiq Soulchild,-1,92,3
97,You'll Always Find Your Way Back Home,Hannah Montana,87,87,2
98,Down The Road,Kenny Chesney With Mac McAnally,95,47,18
99,Kids,MGMT,93,91,5
100,My Love,The-Dream Featuring Mariah Carey,-1,82,3
