pos,title,artist,last_pos,peak_pos,streak
1,Black Or White,Michael Jackson,1,1,6
2,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,2,2,15
3,All 4 Love,Color Me Badd,3,3,8
4,Set Adrift On Memory Bliss,P.M. Dawn,4,1,11
5,When A Man Loves A Woman,Michael Bolton,5,1,12
6,Can't Let Go,Mariah Carey,6,6,7
7,Blowing Kisses In The Wind,Paula Abdul,7,6,11
8,Finally,CeCe Peniston,8,8,14
9,2 Legit 2 Quit,M.C. Hammer,9,9,8
10,Wildside,Marky Mark & The Funky Bunch,10,10,8
11,That's What Love Is For,Amy Grant,11,7,14
12,Keep Coming Back,Richard Marx,12,12,9
13,No Son Of Mine,Genesis,13,13,9
14,Cream,Prince And The N.P.G.,14,1,14
15,O.P.P.,Naughty By Nature,15,6,17
16,Let's Talk About Sex,Salt-N-Pepa,16,13,19
17,Smells Like Teen Spirit!,Nirvana,17,17,4
18,Don't Cry,Guns N' Roses,18,10,15
19,Don't Let The Sun Go Down On Me,George Michael/Elton John,19,19,4
20,Addams Groove,M.C. Hammer,20,20,4
21,Can't Stop This Thing We Started,Bryan Adams,21,2,16
22,Live For Loving You,Gloria Estefan,22,22,12
23,Set The Night To Music,Roberta Flack With Maxi Priest,23,6,15
24,Broken Arrow,Rod Stewart,24,24,11
25,I Love Your Smile,Shanice,25,25,6
26,Mysterious Ways,U2,26,26,6
27,Do Anything,Natural Selection,27,2,21
28,Forever My Lady,Jodeci,28,25,10
29,Romantic,Karyn White,29,1,20
30,Diamonds And Pearls, Prince And The N.P.G.,30,30,4
31,Change,Lisa Stansfield,31,31,9
32,Tell Me What You Want Me To Do,Tevin Campbell,32,32,8
33,Street Of Dreams,Nia Peeples,33,12,12
34,Spending My Time,Roxette,34,34,10
35,The Way I Feel About You,Karyn White,35,35,5
36,Love Me All Up,Stacy Earl,36,36,7
37,Emotions,Mariah Carey,37,1,18
38,Angel Baby,Angelica,38,30,11
39,Mind Playing Tricks On Me,Geto Boys,39,30,13
40,Save Up All Your Tears,Cher,40,40,11
41,Keep It Comin',Keith Sweat,41,41,5
42,Tender Kisses,Tracie Spencer,42,42,11
43,Running Back To You,Vanessa Williams,43,18,21
44,Home Sweet Home,Motley Crue,44,44,8
45,I've Got A Lot To Learn About Love,The Storm,45,45,10
46,I Wonder Why,Curtis Stigers,46,9,17
47,Enter Sandman,Metallica,47,16,19
48,Top Of The World,Van Halen,48,27,12
49,Housecall,Shabba Ranks (Featuring Maxi Priest),49,37,10
50,Is It Good To You,Heavy D & The Boyz,50,50,6
51,Too Blind To See It,Kym Sims,51,51,7
52,Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,52,20,12
53,The Unforgiven,Metallica,53,53,4
54,Shot Of Poison,Lita Ford,54,45,9
55,In My Dreams,The Party,55,55,7
56,I Can't Make You Love Me,Bonnie Raitt,56,56,6
57,Send Me An Angel,Scorpions,57,57,8
58,Can't Truss It,Public Enemy,58,50,11
59,Hearts Don't Think (They Feel),Natural Selection,59,59,4
60,All She Wrote,Firehouse,60,60,7
61,I Wanna Be Your Girl,Icy Blu,61,61,9
62,Ain't Gonna Hurt Nobody,Kid 'N Play,62,61,7
63,On A Sunday Afternoon,Lighter Shade Of Brown,63,63,5
64,Kiss You Back,Digital Underground,64,61,7
65,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,65,50,8
66,Groovy Train,The Farm,66,41,14
67,I'm Too Sexy,Right Said Fred,67,67,2
68,A Day In My Life (Without You),Lisette Melendez,68,49,14
69,Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,69,67,16
70,The Comfort Zone,Vanessa Williams,70,70,4
71,I Want You,Jody Watley,71,71,5
72,Pop That Coochie,The 2 Live Crew,72,58,9
73,No More Tears,Ozzy Osbourne,73,73,5
74,Whispers,Corina,74,51,14
75,Love Crazy,Atlantic Starr,75,75,6
76,In Paradise,Laissez Faire,76,76,4
77,Within My Heart,Voyce,77,77,5
78,Uhh Ahh,Boyz II Men,78,78,3
79,Get A Leg Up,John Mellencamp,79,14,13
80,All Through The Night,Tone-Loc,80,80,3
81,Conviction Of The Heart,Kenny Loggins,81,65,10
82,To Be With You,Mr. Big,82,82,2
83,Rush,Big Audio,83,32,15
84,Real Real Real,Jesus Jones,84,4,19
85,I'll Get By,Eddie Money,85,85,2
86,Every Road Leads Back To You,Bette Midler,86,86,2
87,There Will Never Be Another Tonight,Bryan Adams,87,87,2
88,Insatiable,Prince And The N.P.G.,88,88,3
89,Move Any Mountain,The Shamen,89,89,3
90,Right Down To It,Damian Dame,90,90,3
91,The Fly,U2,91,61,8
92,What Time Is Love?,The KLF,92,57,10
93,Give It Away,Red Hot Chili Peppers,93,93,2
94,Something Got Me Started,Simply Red,94,23,14
95,Live And Let Die,Guns N' Roses,95,95,2
96,Everybody Move,Cathy Dennis,96,90,3
97,Groovin',UB40,97,90,6
98,Just Another Girlfriend,Hi-Five,98,88,6
99,Lies,EMF,99,18,14
100,All I Need Is You,Blue Train,100,46,13
