pos,title,artist,last_pos,peak_pos,streak
1,When I Think Of You,Janet Jackson,3,1,10
2,Don't Forget Me (When I'm Gone),Glass Tiger,4,2,14
3,Two Of Hearts,Stacey Q,6,3,14
4,Throwing It All Away,Genesis,7,4,9
5,Typical Male,Tina Turner,9,5,7
6,Stuck With You,Huey Lewis & The News,1,1,11
7,Heartbeat,Don Johnson,12,7,8
8,Friends And Lovers,Carl Anderson & Gloria Loring,2,2,15
9,True Colors,Cyndi Lauper,14,9,7
10,Dreamtime,Daryl Hall,5,5,11
11,All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,13,11,12
12,Heaven In Your Eyes,Loverboy,16,12,11
13,I Didn't Mean To Turn You On,Robert Palmer,19,13,9
14,Missionary Man,Eurythmics,15,14,12
15,A Matter Of Trust,Billy Joel,20,15,10
16,Walk This Way,Run-D.M.C.,8,4,12
17,Love Zone,Billy Ocean,11,10,12
18,Sweet Love,Anita Baker,21,18,9
19,Human,The Human League,29,19,5
20,Dancing On The Ceiling,Lionel Richie,10,2,13
21,"Earth Angel (From ""The Karate Kid Part II"")",New Edition,23,21,8
22,Love Walks In,Van Halen,22,22,10
23,Take Me Home Tonight,Eddie Money,33,23,9
24,Words Get In The Way,Miami Sound Machine,17,5,18
25,Girl Can't Help It,Journey,32,25,7
26,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,18,1,17
27,Amanda,Boston,38,27,3
28,Point Of No Return,Nu Shooz,30,28,15
29,You Give Love A Bad Name,Bon Jovi,41,29,6
30,Word Up,Cameo,39,30,5
31,The Rain,Oran 'Juice' Jones,42,31,5
32,True Blue,Madonna,40,32,2
33,I'll Be Over You,Toto,37,33,7
34,"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel,35,34,7
35,Paranoimia,Art Of Noise With Max Headroom,34,34,9
36,Twist And Shout,The Beatles,26,2,21
37,I Am By Your Side,Corey Hart,47,37,4
38,Emotion In Motion,Ric Ocasek,43,38,6
39,The Next Time I Fall,Peter Cetera With Amy Grant,45,39,4
40,Jumpin' Jack Flash,Aretha Franklin,51,40,3
41,Money$ Too Tight (To Mention),Simply Red,28,28,13
42,Venus,Bananarama,25,1,16
43,Higher Love,Steve Winwood,27,1,18
44,Baby Love,Regina,24,10,17
45,Somebody's Out There,Triumph,49,45,7
46,The Captain Of Her Heart,Double,31,16,16
47,Love Will Conquer All,Lionel Richie,56,47,2
48,25 Or 6 To 4,Chicago,48,4,18
49,The Way It Is,Bruce Hornsby & The Range,60,49,4
50,You Can Call Me Al,Paul Simon,44,44,10
51,Jody,Jermaine Stewart,59,51,4
52,Freedom Overspill,Steve Winwood,66,52,3
53,Another Heartache,Rod Stewart,53,52,7
54,Can't Wait Another Minute,Five Star,58,54,5
55,To Be A Lover,Billy Idol,69,55,2
56,What About Love,'Til Tuesday,65,56,4
57,Everybody Have Fun Tonight,Wang Chung,82,57,2
58,"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald,36,7,18
59,Give Me The Reason,Luther Vandross,57,57,8
60,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,73,60,3
61,"So Far So Good (From ""About Last Night"")",Sheena Easton,46,43,11
62,California Dreamin',The Beach Boys,70,62,4
63,Walk Like An Egyptian,The Bangles,75,63,3
64,Wild Wild Life,Talking Heads,72,64,6
65,Midas Touch,Midnight Star,71,65,4
66,Papa Don't Preach,Madonna,55,1,16
67,Love Comes Quickly,Pet Shop Boys,62,62,7
68,Rumors,Timex Social Club,54,8,18
69,Goin' Crazy!,David Lee Roth,80,69,3
70,Ain't Nothin' Goin' On But The Rent,Gwen Guthrie,52,42,11
71,Stand By Me,Ben E. King,95,4,16
72,Press,Paul McCartney,50,21,11
73,Everytime You Cry,The Outfield,76,73,4
74,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,64,1,19
75,Where Did Your Heart Go?,Wham!,-1,75,1
76,What Does It Take,Honeymoon Suite,61,52,14
77,Love Always,El DeBarge,67,43,10
78,Playing With The Boys,Kenny Loggins,74,60,9
79,Welcome To The Boomtown,David & David,94,79,2
80,Lady Soul,The Temptations,-1,80,1
81,Spirit In The Sky,Doctor And The Medics,79,69,11
82,I Feel The Magic,Belinda Carlisle,83,82,4
83,Runaway,Luis Cardenas,84,83,4
84,Count Your Blessings,Ashford & Simpson,88,84,3
85,"Man Size Love (From ""Running Scared"")",Klymaxx,63,15,15
86,Love Is The Hero,Billy Squier,91,86,2
87,Who Says,Device,92,87,3
88,Don't Get Me Wrong,Pretenders,-1,88,1
89,Private Number,The Jets,87,47,10
90,It's You,Bob Seger,77,52,9
91,Stairway To Heaven,Far Corporation,93,91,2
92,For Tonight,Nancy Martinez,98,92,2
93,C'est La Vie,Robbie Nevil,-1,93,1
94,Fall On Me,R.E.M.,96,94,2
95,The Other Side Of Life,The Moody Blues,86,58,9
96,Velcro Fly,ZZ Top,78,35,12
97,Good Music,Joan Jett & the Blackhearts,-1,97,1
98,We Don't Have To Take Our Clothes Off,Jermaine Stewart,89,5,22
99,Yankee Rose,David Lee Roth,81,16,15
100,Wrap It Up,The Fabulous Thunderbirds,68,50,10
