pos,title,artist,last_pos,peak_pos,streak
1,Candy Shop,50 Cent Featuring Olivia,1,1,8
2,Boulevard Of Broken Dreams,Green Day,2,2,18
3,Disco Inferno,50 Cent,5,3,16
4,Obsession (No Es Amor),Frankie J Featuring Baby Bash,10,4,9
5,Since U Been Gone,Kelly Clarkson,6,5,15
6,Let Me Love You,Mario,3,1,23
7,How We Do,The Game Featuring 50 Cent,4,4,18
8,Caught Up,Usher,9,8,16
9,"1, 2 Step",Ciara Featuring Missy Elliott,7,2,22
10,Rich Girl,Gwen Stefani Featuring Eve,8,7,14
11,Hate It Or Love It,The Game Featuring 50 Cent,14,11,7
12,Mockingbird,Eminem,11,11,13
13,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,12,3,18
14,Some Cut,Trillville Featuring Cutty,19,14,14
15,Breakaway,Kelly Clarkson,17,6,31
16,Goin' Crazy,Natalie,23,16,7
17,It's Like That,Mariah Carey,16,16,9
18,Soldier,Destiny's Child Featuring T.I. & Lil Wayne,13,3,18
19,Mr. Brightside,The Killers,21,17,7
20,Lonely No More,Rob Thomas,26,20,6
21,Truth Is,Fantasia,25,21,10
22,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,22,1,26
23,Bring Em Out,T.I.,18,9,18
24,Ordinary People,John Legend,28,24,12
25,Sugar (Gimme Some),"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",30,25,10
26,Get Right,Jennifer Lopez,15,12,10
27,O,Omarion,27,27,10
28,Beautiful Soul,Jesse McCartney,24,16,16
29,Lonely,Akon,47,29,5
30,She Will Be Loved,Maroon 5,29,5,36
31,Karma,Alicia Keys,38,29,18
32,U Don't Know Me,T.I.,31,31,10
33,1 Thing,Amerie,46,33,7
34,Number One Spot,Ludacris,43,34,4
35,I Don't Want To Be,Gavin DeGraw,34,10,23
36,Daughters,John Mayer,33,19,21
37,Over And Over,Nelly Featuring Tim McGraw,32,3,24
38,Look What You've Done,Jet,40,38,9
39,Bless The Broken Road,Rascal Flatts,35,29,15
40,Let Me Go,3 Doors Down,44,38,8
41,Numb/Encore,Jay-Z/Linkin Park,36,20,18
42,Okay,Nivea Featuring Lil Jon & YoungBloodZ,41,41,14
43,Baby Girl,Sugarland,48,43,16
44,Nothin' To Lose,Josh Gracin,39,39,10
45,Sunday Morning,Maroon 5,37,31,12
46,Get Back,Ludacris,20,13,19
47,Give A Little Bit,Goo Goo Dolls,45,37,18
48,True,Ryan Cabrera,42,18,16
49,Wait (The Whisper Song),Ying Yang Twins,50,49,5
50,Signs,Snoop Dogg Featuring Charlie Wilson & Justin Timberlake,49,46,6
51,That's What I Love About Sunday,Craig Morgan,52,51,8
52,Slow Down,Bobby Valentino,56,52,4
53,Baby I'm Back,Baby Bash Featuring Akon,57,53,5
54,Collide,Howie Day,54,54,7
55,Anything But Mine,Kenny Chesney,53,53,7
56,Switch,Will Smith,65,56,4
57,Almost,Bowling For Soup,58,57,6
58,Like Toy Soldiers,Eminem,51,34,9
59,Mud On The Tires,Brad Paisley,55,30,17
60,Gone,Montgomery Gentry,62,60,8
61,It's Getting Better All The Time,Brooks & Dunn,63,61,7
62,Somewhere Only We Know,Keane,61,50,7
63,Gasolina,Daddy Yankee,75,32,20
64,Lady,Lenny Kravitz,59,27,16
65,Baby Mama,Fantasia,68,65,7
66,I May Hate Myself In The Morning,Lee Ann Womack,67,66,9
67,"Sitting, Waiting, Wishing",Jack Johnson,66,66,4
68,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,73,68,4
69,Scars,Papa Roach,69,69,7
70,Karma,Lloyd Banks Featuring Avant,64,17,19
71,You're My Better Half,Keith Urban,60,33,17
72,U Already Know,112 Featuring Foxy Brown,80,72,4
73,Still Tippin',Mike Jones Featuring Slim Thug & Paul Wall,74,73,2
74,Hold You Down,Jennifer Lopez Featuring Fat Joe,79,74,2
75,Oh,Ciara Featuring Ludacris,-1,75,1
76,Let Them Be Little,Billy Dean,70,68,9
77,E-Pro,Beck,-1,77,1
78,If Heaven,Andy Griggs,77,77,7
79,My Give A Damn's Busted,Jo Dee Messina,76,76,6
80,How Could You,Mario,93,80,2
81,Honkytonk U,Toby Keith,78,78,5
82,Nobody's Home,Avril Lavigne,72,41,16
83,I'm A Hustla,Cassidy,85,83,2
84,What's A Guy Gotta Do,Joe Nichols,86,84,4
85,God's Will,Martina McBride,87,85,3
86,Trying To Find Atlantis,Jamie O'Neal,88,86,4
87,Just A Lil Bit,50 Cent,-1,87,1
88,Piggy Bank,50 Cent,-1,88,1
89,You And Me,Lifehouse,99,28,6
90,Again,Faith Evans,-1,90,1
91,Homewrecker,Gretchen Wilson,-1,91,1
92,How Do You Get That Lonely,Blaine Larsen,91,91,2
93,I Just Wanna Live,Good Charlotte,82,51,7
94,Why Do You Love Me,Garbage,-1,94,1
95,The Widow,The Mars Volta,97,95,2
96,"Awful, Beautiful Life",Darryl Worley,89,30,20
97,Drugs Or Jesus,Tim McGraw,-1,97,1
98,Only U,Ashanti,71,13,19
99,Songs About Me,Trace Adkins,-1,99,1
100,Be Yourself,Audioslave,-1,100,1
