pos,title,artist,last_pos,peak_pos,streak
1,One More Try,George Michael,1,1,8
2,Shattered Dreams,Johnny Hates Jazz,2,2,12
3,Naughty Girls (Need Love Too),Samantha Fox,4,3,15
4,Everything Your Heart Desires,Daryl Hall John Oates,7,4,8
5,Together Forever,Rick Astley,8,5,8
6,Piano In The Dark,Brenda Russell Featuring Joe Esposito,10,6,16
7,Foolish Beat,Debbie Gibson,15,7,7
8,I Don't Want To Live Without You,Foreigner,5,5,12
9,Make It Real,The Jets,13,9,8
10,Anything For You,Gloria Estefan & Miami Sound Machine,3,1,13
11,Circle In The Sand,Belinda Carlisle,14,11,8
12,Dirty Diana,Michael Jackson,17,12,5
13,Wait,White Lion,9,8,15
14,The Valley Road,Bruce Hornsby & The Range,18,14,6
15,Alphabet St.,Prince,19,15,6
16,We All Sleep Alone,Cher,20,16,9
17,Always On My Mind,Pet Shop Boys,6,4,11
18,I Still Believe,Brenda K. Starr,23,18,10
19,The Flame,Cheap Trick,29,19,9
20,Kiss Me Deadly,Lita Ford,26,20,10
21,Two Occasions,The Deele,11,10,15
22,Nite And Day,Al B. Sure!,28,22,9
23,Nothin' But A Good Time,Poison,30,23,7
24,Strange But True,Times Two,21,21,13
25,Dreaming,Orchestral Manoeuvres In The Dark,16,16,13
26,Mercedes Boy,Pebbles,34,26,5
27,Pour Some Sugar On Me,Def Leppard,32,27,7
28,Electric Blue,Icehouse,12,7,17
29,Beds Are Burning,Midnight Oil,36,29,10
30,New Sensation,INXS,38,30,4
31,Under The Milky Way,The Church,37,31,9
32,Wishing Well,Terence Trent D'Arby,24,1,21
33,My Girl,Suave,22,20,13
34,Angel,Aerosmith,27,3,19
35,"Da'Butt (From The ""School Daze"" Soundtrack)",E.U.,35,35,8
36,When We Kiss,Bardeux,39,36,8
37,Pink Cadillac,Natalie Cole,25,5,14
38,Lost In You,Rod Stewart,45,38,5
39,I'm Still Searching,Glass Tiger,31,31,9
40,Tall Cool One,Robert Plant,46,40,8
41,Hold On To The Nights,Richard Marx,52,41,3
42,Supersonic,J.J. Fad,43,42,7
43,Hands To Heaven,Breathe,50,43,8
44,Rush Hour,Jane Wiedlin,51,44,5
45,Heart Of Mine,Boz Scaggs,49,45,6
46,Should I Say Yes?,Nu Shooz,47,46,8
47,Promise Me, The Cover Girls,41,40,11
48,Paradise,Sade,55,48,4
49,Where Do Broken Hearts Go,Whitney Houston,33,1,15
50,Make Me Lose Control,Eric Carmen,54,50,3
51,Black And Blue,Van Halen,58,51,3
52,Parents Just Don't Understand,D.J. Jazzy Jeff & The Fresh Prince,59,52,3
53,I Should Be So Lucky,Kylie Minogue,62,53,5
54,Just Got Paid,Johnny Kemp,60,54,4
55,Nightime,Pretty Poison,40,36,10
56,Trouble,Nia Peeples,65,56,4
57,Sign Your Name,Terence Trent D'Arby,72,57,2
58,The Colour Of Love,Billy Ocean,76,58,2
59,Forgive Me For Dreaming,Elisa Fiorillo,67,59,5
60,Most Of All,Jody Watley,64,60,6
61,Love Changes (Everything),Climie Fisher,70,61,4
62,"Wild, Wild West",Kool Moe Dee,63,62,6
63,Rooty Toot Toot,John Mellencamp,69,63,4
64,Tomorrow People,Ziggy Marley And The Melody Makers,66,64,4
65,Route 66/Behind The Wheel,Depeche Mode,61,61,5
66,"Get Outta My Dreams, Get Into My Car",Billy Ocean,48,1,17
67,Take It While It's Hot,Sweet Sensation ,57,57,9
68,Like The Weather,"10,000 Maniacs",75,68,5
69,One Good Reason,Paul Carrack,42,28,12
70,Prove Your Love,Taylor Dayne,44,7,16
71,I Don't Wanna Live Without Your Love,Chicago,-1,71,1
72,Pamela,Toto,56,22,16
73,Darlin' Danielle Don't,Henry Lee Summer,85,73,2
74,Rocket 2 U,The Jets,73,6,20
75,Girlfriend,Pebbles,53,5,19
76,1-2-3,Gloria Estefan & Miami Sound Machine,-1,76,1
77,Blue Monday 1988,New Order,77,68,6
78,You Have Placed A Chill In My Heart,Eurythmics,95,78,2
79,Little Walter,Tony Toni Tone,98,79,2
80,My Love,Julio Iglesias Featuring Stevie Wonder,88,80,3
81,Something Just Ain't Right,Keith Sweat,79,79,4
82,I Wish I Had A Girl,Henry Lee Summer,71,20,17
83,Endless Summer Nights,Richard Marx,68,2,20
84,Wishing I Was Lucky,Wet Wet Wet,92,84,2
85,Dreamin' Of Love,Stevie B,83,80,7
86,Rag Doll,Aerosmith,-1,86,1
87,Wait On Love,Michael Bolton,96,87,2
88,Devil Inside,INXS,74,2,17
89,Rhythm Of Love,Scorpions,-1,89,1
90,Love Struck,Jesse Johnson,89,78,7
91,Do You Love Me,The Contours,-1,3,19
92,Only A Memory,The Smithereens,94,92,3
93,One Step Up,Bruce Springsteen,86,13,15
94,Get It,Stevie Wonder & Michael Jackson,80,80,5
95,Fast Car,Tracy Chapman,-1,95,1
96,Stand Up,David Lee Roth,82,64,8
97,Underneath The Radar,Underworld,81,74,8
98,I Know You're Out There Somewhere,The Moody Blues,-1,98,1
99,Turn Off The Lights,Lonzo And World Class Wreckin Kru,90,84,11
100,Say It Again,Jermaine Stewart,84,27,12
