pos,title,artist,last_pos,peak_pos,streak
1,Set Fire To The Rain,Adele,1,1,22
2,Stronger (What Doesn't Kill You),Kelly Clarkson,8,2,6
3,We Found Love,Rihanna Featuring Calvin Harris,2,1,19
4,Good Feeling,Flo Rida,3,3,18
5,Turn Me On,David Guetta Featuring Nicki Minaj,4,4,9
6,It Will Rain,Bruno Mars,6,3,18
7,Sexy And I Know It,LMFAO,7,1,22
8,Domino,Jessie J,10,8,16
9,The One That Got Away,Katy Perry,5,3,16
10,Rack City,Tyga,11,8,10
11,Ni**as in Paris,Jay Z Kanye West,9,5,25
12,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,12,9,16
13,International Love,Pitbull Featuring Chris Brown,18,13,13
14,Dance (A$$),Big Sean Featuring Nicki Minaj,14,10,17
15,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,13,1,32
16,The Motto,Drake Featuring Lil Wayne,21,16,11
17,Work Out,J. Cole,15,13,22
18,Not Over You,Gavin DeGraw,20,18,25
19,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,24,19,7
20,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,16,1,45
21,Someone Like You,Adele,19,1,30
22,Without You,David Guetta Featuring Usher,17,4,22
23,Love You Like A Love Song,Selena Gomez & The Scene,23,23,32
24,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,22,4,33
25,I Don't Want This Night To End,Luke Bryan,26,22,18
26,Take Care,Drake Featuring Rihanna,30,9,11
27,Red Solo Cup,Toby Keith,27,15,14
28,You Da One,Rihanna,25,14,12
29,I Like It Like That,Hot Chelle Rae Featuring New Boyz,29,28,17
30,Make Me Proud,Drake Featuring Nicki Minaj,31,9,16
31,Somebody That I Used To Know,Gotye Featuring Kimbra,50,31,4
32,Paradise,Coldplay,35,15,20
33,Blackout,Breathe Carolina,32,32,13
34,You,Chris Young,37,34,15
35,Mr. Know It All,Kelly Clarkson,34,10,21
36,Headlines,Drake,33,13,25
37,Just A Kiss,Lady Antebellum,38,7,39
38,Tonight Is The Night,Outasight,45,38,10
39,You Make Me Feel...,Cobra Starship Featuring Sabi,36,7,29
40,Glad You Came,The Wanted,64,40,3
41,All Your Life,The Band Perry,47,37,21
42,Strip,Chris Brown Featuring Kevin K-MAC McCall,51,42,7
43,Rolling In The Deep,Adele,41,1,56
44,Lotus Flower Bomb,Wale Featuring Miguel,46,38,14
45,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",39,1,44
46,Ours,Taylor Swift,44,13,12
47,Brighter Than The Sun,Colbie Caillat,48,47,24
48,Drink In My Hand,Eric Church,43,40,19
49,Pumped Up Kicks,Foster The People,42,3,40
50,Alone With You,Jake Owen,53,50,8
51,A Thousand Years,Christina Perri,54,43,15
52,Can't Get Enough,J. Cole Featuring Trey Songz,57,52,9
53,Heartbeat,The Fray,60,43,15
54,You Gonna Fly,Keith Urban,63,54,7
55,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,40,10,18
56,Keep Me In Mind,Zac Brown Band,55,35,18
57,Faded,Tyga Featuring Lil Wayne,52,52,2
58,Strange Clouds,B.o.B Featuring Lil Wayne,59,7,18
59,Stupid Hoe,Nicki Minaj,-1,59,2
60,A Woman Like You,Lee Brice,66,60,6
61,T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,73,36,7
62,Levels,Avicii,69,62,11
63,We Are Young,fun. Featuring Janelle Monae,89,53,6
64,Let It Rain,David Nail Featuring Sarah Buxton,58,51,20
65,Drive By,Train,83,60,3
66,Home,Dierks Bentley,75,66,12
67,Reality,Kenny Chesney,74,67,12
68,I'm Gonna Love You Through It,Martina McBride,71,61,17
69,Love On Top,Beyonce,81,20,11
70,I Do,Young Jeezy Featuring Jay-Z & Andre 3000,76,61,6
71,Lonely Boy,The Black Keys,67,64,12
72,Tattoos On This Town,Jason Aldean,61,38,19
73,You The Boss,Rick Ross Featuring Nicki Minaj,68,62,15
74,Gotta Have It,Jay Z Kanye West,79,74,4
75,Better Than I Used To Be,Tim McGraw,-1,75,2
76,Dancin' Away With My Heart,Lady Antebellum,96,50,3
77,Talk That Talk,Rihanna Featuring Jay-Z,94,31,5
78,I Won't Give Up,Jason Mraz,72,8,4
79,The Trouble With Girls,Scotty McCreery,78,55,12
80,Lights,Ellie Goulding,84,80,6
81,Drink On It,Blake Shelton,-1,81,1
82,Bait A Hook,Justin Moore,80,63,9
83,Party,Beyonce Featuring Andre 3000,77,50,17
84,Storm Warning,Hunter Hayes,85,78,11
85,Shake It Out,Florence + The Machine,82,73,14
86,No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,100,86,2
87,Over You,Miranda Lambert,-1,87,2
88,Don't Stop (Color On The Walls),Foster The People,97,88,3
89,Round Of Applause,Waka Flocka Flame Featuring Drake,92,86,6
90,Where I Come From,Montgomery Gentry,95,90,4
91,Countdown,Beyonce,90,71,15
92,Sorry For Party Rocking,LMFAO,-1,92,1
93,Marry The Night,Lady Gaga,65,29,12
94,Love's Gonna Make It Alright,George Strait,99,94,2
95,Kyoto,Skrillex Featuring Sirah,87,74,4
96,Camouflage,Brad Paisley,93,87,9
97,Mr. Wrong,Mary J. Blige Featuring Drake,98,97,2
98,Princess Of China,Coldplay Featuring Rihanna,-1,20,3
99,Do It Like You,Diggy Featuring Jeremih,-1,99,1
100,Wild Ones,Flo Rida Featuring Sia,-1,57,4
