pos,title,artist,last_pos,peak_pos,streak
1,How Am I Supposed To Live Without You,Michael Bolton,1,1,15
2,Opposites Attract,Paula Abdul (Duet With The Wild Pair),8,2,8
3,Downtown Train,Rod Stewart,3,3,11
4,Two To Make It Right,Seduction,5,4,13
5,Janie's Got A Gun,Aerosmith,11,5,11
6,I Remember You,Skid Row,9,6,12
7,Free Fallin',Tom Petty,7,7,14
8,Pump Up The Jam,Technotronic Featuring Felly,2,2,17
9,Just Between You And Me,Lou Gramm,6,6,15
10,Everything,Jody Watley,4,4,17
11,What Kind Of Man Would I Be?,Chicago,15,11,10
12,Peace In Our Time,Eddie Money,13,12,10
13,Dangerous,Roxette,20,13,8
14,Tender Lover,Babyface,16,14,12
15,Tell Me Why,Expose,19,15,9
16,All Or Nothing,Milli Vanilli,22,16,5
17,Escapade,Janet Jackson,30,17,3
18,We Can't Go Wrong,The Cover Girls,26,18,9
19,Here We Are,Gloria Estefan,23,19,8
20,Love Song,Tesla,12,10,19
21,Another Day In Paradise,Phil Collins,10,1,14
22,Price Of Love,Bad English,28,22,7
23,Roam,The B-52s,34,23,7
24,Was It Nothing At All,Michael Damian,25,24,15
25,When The Night Comes,Joe Cocker,14,11,15
26,No More Lies,Michel'le,32,26,12
27,Kickstart My Heart,Motley Crue,27,27,11
28,I Go To Extremes,Billy Joel,36,28,4
29,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,37,29,8
30,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,18,18,12
31,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),21,2,19
32,Too Late To Say Goodbye,Richard Marx,40,32,3
33,Rhythm Nation,Janet Jackson,17,2,13
34,Back To Life,Soul II Soul,29,4,20
35,Sometimes She Cries,Warrant,43,35,5
36,Woman In Chains,Tears For Fears,39,36,10
37,Swing The Mood,Jive Bunny & The Mastermixers,24,11,15
38,No Myth,Michael Penn,50,38,5
39,Black Velvet,Alannah Myles,54,39,5
40,Love Will Lead You Back,Taylor Dayne,55,40,2
41,Just A Friend,Biz Markie,59,41,3
42,Here And Now,Luther Vandross,48,42,7
43,With Every Beat Of My Heart,Taylor Dayne,31,5,16
44,If You Leave Me Now,Jaya,47,44,17
45,Sacrifice,Elton John,66,45,4
46,Personal Jesus,Depeche Mode,51,46,9
47,Just Like Jesse James,Cher,33,8,16
48,The Deeper The Love,Whitesnake,60,48,3
49,Principal's Office,Young M.C.,41,33,11
50,We Didn't Start The Fire,Billy Joel,38,1,17
51,Blame It On The Rain,Milli Vanilli,42,1,18
52,Bust A Move,Young M.C.,45,7,28
53,I Want You,Shana,44,40,18
54,Anything I Want,Kevin Paige,65,54,3
55,A Girl Like You,The Smithereens,64,55,9
56,Keep It Together,Madonna,-1,56,1
57,Electric Boogie,Marcia Griffiths,52,51,9
58,This One's For The Children,New Kids On The Block,35,7,13
59,Summer Rain,Belinda Carlisle,71,59,3
60,Love Shack,The B-52s,49,3,23
61,I Will Survive,SaFire,53,53,8
62,Get Up! (Before The Night Is Over),Technotronic,86,62,2
63,Me So Horny,The 2 Live Crew,57,26,22
64,House Of Fire, Alice Cooper,76,64,3
65,Going Home,Kenny G,56,56,5
66,Dirty Deeds,Joan Jett,80,66,2
67,"Whole Wide World (From ""True Love"")",A'me Lorain,72,67,3
68,Nothin' To Hide,Poco,46,39,10
69,Love Me For Life,Stevie B,-1,69,1
70,Never 2 Much Of U,Dino,61,61,8
71,I Wish It Would Rain Down,Phil Collins,-1,71,1
72,Forever,KISS,-1,72,1
73,Real Love,Skyy,83,73,3
74,All Nite,Entouch Featuring Keith Sweat,74,74,4
75,Don't Make Me Over,Sybil,63,20,20
76,Wait For You,Bonham,62,55,11
77,Don't Close Your Eyes,KIX,58,11,22
78,All Around The World,Lisa Stansfield,-1,78,1
79,When I See You Smile,Bad English,67,1,21
80,Over And Over,Pajama Party,77,59,13
81,Walk On By,Sybil,82,81,2
82,Living In Sin,Bon Jovi,68,9,18
83,Don't Take It Personal,Jermaine Jackson,73,64,10
84,The Angel Song, Great White,79,30,19
85,If U Were Mine,The U-Krew,87,85,2
86,Fly High Michelle,Enuff Z'Nuff,91,86,2
87,"Timeless Love (From ""Shocker"")",Saraya,85,85,4
88,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),69,52,11
89,Let Love Rule,Lenny Kravitz,89,89,2
90,There's A Party Going On,Yvonne,90,90,2
91,That's What I Like,Jive Bunny & The Mastermixers,-1,91,1
92,(It's Just) The Way That You Love Me,Paula Abdul,78,3,25
93,1-2-3,The Chimes,-1,93,1
94,You're The Only Woman,The Brat Pack,-1,94,1
95,The Last Worthless Evening,Don Henley,84,21,18
96,Figure Of Eight,Paul McCartney,95,92,4
97,Steamy Windows,Tina Turner,75,39,11
98,Fool For Your Loving,Whitesnake,88,37,22
99,Rock And A Hard Place,The Rolling Stones,81,23,14
100,Oh Father,Madonna,70,20,13
