pos,title,artist,last_pos,peak_pos,streak
1,SexyBack,Justin Timberlake,1,1,14
2,Money Maker,Ludacris Featuring Pharrell,2,2,9
3,Lips Of An Angel,Hinder,3,3,13
4,Smack That,Akon Featuring Eminem,7,4,3
5,How To Save A Life,The Fray,4,3,26
6,Chasing Cars,Snow Patrol,5,5,21
7,Chain Hang Low,Jibbs,8,7,10
8,Too Little Too Late,JoJo,14,3,8
9,White & Nerdy,"""Weird Al"" Yankovic",28,9,2
10,Far Away,Nickelback,9,8,12
11,London Bridge,Fergie,6,1,12
12,Call Me When You're Sober,Evanescence,12,10,8
13,My Love,Justin Timberlake Featuring T.I.,16,13,5
14,When You Were Young,The Killers,32,14,9
15,Pullin' Me Back,Chingy Featuring Tyrese,10,9,17
16,Show Stopper,Danity Kane,17,8,8
17,Say Goodbye,Chris Brown,15,15,9
18,Buttons,The Pussycat Dolls Featuring Snoop Dogg,11,3,22
19,Maneater,Nelly Furtado,30,19,4
20,Ring The Alarm,Beyonce,18,11,5
21,Get Up,Ciara Featuring Chamillionaire,25,7,11
22,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,19,17,15
23,Crazy,Gnarls Barkley,20,2,23
24,Sexy Love,Ne-Yo,13,7,18
25,Over My Head (Cable Car),The Fray,24,8,35
26,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,21,3,20
27,Waiting On The World To Change,John Mayer,22,20,13
28,Come To Me,Diddy Featuring Nicole Scherzinger,29,25,6
29,I Write Sins Not Tragedies,Panic! At The Disco,26,7,32
30,Promiscuous,Nelly Furtado Featuring Timbaland,23,1,23
31,U And Dat,E-40 Featuring T-Pain & Kandi Girl,27,13,22
32,Shoulder Lean,Young Dro Featuring T.I.,31,10,19
33,Before He Cheats,Carrie Underwood,38,33,6
34,What Hurts The Most,Rascal Flatts,35,6,36
35,Give It Away,George Strait,79,35,10
36,I Loved Her First,Heartland,37,36,9
37,S.E.X.,Lyfe Jennings,40,37,12
38,Ain't No Other Man,Christina Aguilera,33,6,18
39,Hate Me,Blue October,36,31,26
40,Gallery,Mario Vazquez ,43,40,12
41,Move Along,The All-American Rejects,39,15,37
42,Me & U,Cassie,34,3,26
43,Would You Go With Me,Josh Turner,44,43,15
44,Hips Don't Lie,Shakira Featuring Wyclef Jean,42,1,30
45,Chicken Noodle Soup.,Webstar & Young B Featuring The Voice Of Harlem,51,45,5
46,It's Goin' Down,Yung Joc,45,3,28
47,Walk It Out,Unk,59,47,5
48,Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz,57,48,10
49,That Girl,Frankie J Featuring Mannie Fresh & Chamillionaire,46,43,9
50,You Save Me,Kenny Chesney,52,50,6
51,Want To,Sugarland,48,41,3
52,My Wish,Rascal Flatts,56,52,5
53,Call On Me,Janet & Nelly,41,25,16
54,Once In A Lifetime,Keith Urban,55,53,6
55,Fergalicious,Fergie,78,55,3
56,Stuntin' Like My Daddy,Birdman & Lil Wayne,65,56,6
57,My Little Girl,Tim McGraw,77,57,4
58,Every Mile A Memory,Dierks Bentley,61,58,9
59,Tell Me Baby,Red Hot Chili Peppers,53,50,8
60,About Us,Brooke Hogan Featuring Paul Wall,63,33,10
61,Push It,Rick Ross,73,61,6
62,I Call It Love,Lionel Richie,68,62,12
63,The Riddle,Five For Fighting,58,40,12
64,Right Where You Want Me,Jesse McCartney,62,33,5
65,Money In The Bank,Lil Scrappy Featuring Young Buck,74,65,4
66,Leave The Pieces,The Wreckers,54,34,20
67,Need A Boss,Shareefa Featuring Ludacris,83,67,11
68,Tim McGraw,Taylor Swift,72,68,5
69,Life Is A Highway,Rascal Flatts,64,7,19
70,Remember The Name,Fort Minor Featuring Styles Of Beyond,71,66,4
71,Put Your Records On,Corinne Bailey Rae,76,64,15
72,Suddenly I See,KT Tunstall,60,60,13
73,Take Me As I Am,Mary J. Blige,84,73,3
74,Here It Goes Again,OK Go,66,38,6
75,Hurt,Christina Aguilera,100,75,2
76,It's Okay (One Blood),The Game Featuring Junior Reid,81,76,8
77,Brand New Girlfriend,Steve Holy,67,40,17
78,Welcome To The Black Parade,My Chemical Romance,86,71,4
79,I Wanna Love You,Akon Featuring Snoop Dogg,95,79,2
80,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,-1,80,1
81,Through Glass,Stone Sour,87,71,10
82,Canadian Idiot,"""Weird Al"" Yankovic",-1,82,1
83,Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill,70,66,12
84,It Ends Tonight,The All-American Rejects,97,84,2
85,Like Red On A Rose,Alan Jackson,80,80,3
86,The Kill (Bury Me),Thirty Seconds To Mars,85,65,12
87,We Fly High,Jim Jones,-1,87,1
88,Boston,Augustana,-1,88,1
89,The Diary Of Jane,Breaking Benjamin,89,50,11
90,Show Me What You Got,JAY-Z,-1,90,1
91,Come Back To Me,Vanessa Hudgens,88,79,4
92,Rockstar,Nickelback,94,92,2
93,Unappreciated,Cherish,98,93,2
94,I Can't Hate You Anymore,Nick Lachey,99,87,5
95,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,-1,95,1
96,She's Everything,Brad Paisley,-1,96,1
97,Face Down,The Red Jumpsuit Apparatus,96,76,12
98,Chemicals React,Aly & AJ,69,50,4
99,Deja Vu,Beyonce Featuring Jay Z,82,4,17
100,So Excited,Janet Featuring Khia,90,90,2
