pos,title,artist,last_pos,peak_pos,streak
1,The Power Of Love,Huey Lewis & The News,1,1,10
2,St. Elmo's Fire (Man In Motion),John Parr,4,2,11
3,Freeway Of Love,Aretha Franklin,5,3,11
4,We Don't Need Another Hero (Thunderdome),Tina Turner,6,4,9
5,Summer Of '69,Bryan Adams,7,5,10
6,Shout,Tears For Fears,2,1,12
7,Never Surrender,Corey Hart,3,3,13
8,Cherish,Kool & The Gang,12,8,9
9,You're Only Human (Second Wind),Billy Joel,14,9,8
10,Money For Nothing,Dire Straits,17,10,8
11,Don't Lose My Number,Phil Collins,13,11,7
12,Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,15,12,9
13,Pop Life,Prince And The Revolution,18,13,6
14,Freedom,Wham!,19,14,6
15,What About Love?,Heart,10,10,14
16,Dare Me,The Pointer Sisters,20,16,8
17,Smokin' In The Boys Room,Motley Crue,21,17,8
18,If You Love Somebody Set Them Free,Sting,8,3,13
19,Everytime You Go Away,Paul Young,9,1,17
20,Life In One Day,Howard Jones,23,20,9
21,Who's Holding Donna Now,Debarge,11,6,14
22,You Spin Me Round (Like A Record),Dead Or Alive,16,11,14
23,Dress You Up,Madonna,31,23,3
24,Mystery Lady,Billy Ocean,25,24,9
25,Shame,The Motels,29,25,7
26,Oh Sheila,Ready For The World,33,26,5
27,There Must Be An Angel,Eurythmics,32,27,5
28,Take On Me,a-ha,38,28,8
29,Cry,Godley & Creme,35,29,7
30,Lonely Ol' Night,John Mellencamp,40,30,2
31,Saving All My Love For You,Whitney Houston,39,31,3
32,Glory Days,Bruce Springsteen,22,5,14
33,Rock Me Tonight,Freddie Jackson,24,18,15
34,State Of the Heart,Rick Springfield,26,22,13
35,When Your Heart Is Weak,Cock Robin,36,35,12
36,Live Every Moment,REO Speedwagon,34,34,8
37,Every Step Of The Way,John Waite,44,37,4
38,I Wonder If I Take You Home,Lisa Lisa And Clult Jam With Full Force,37,34,13
39,C-I-T-Y,John Cafferty & The Beaver Brown Band,46,39,4
40,No Lookin' Back,Michael McDonald,41,40,6
41,Do You Want Crying,Katrina And The Waves,42,41,6
42,Fortress Around Your Heart,Sting,51,42,2
43,Spanish Eddie,Laura Branigan,45,43,6
44,I Got You Babe,UB40,48,44,6
45,Get It On (Bang A Gong),The Power Station,28,9,13
46,People Are People,Depeche Mode,27,13,15
47,Dancing In The Street,David Bowie & Mick Jagger,-1,47,1
48,Lovin' Every Minute Of It,Loverboy,59,48,2
49,Hangin' On A String,Loose Ends,43,43,7
50,You Give Good Love,Whitney Houston,30,3,17
51,And We Danced,Hooters,56,51,4
52,Four In The Morning (I Can't Take Anymore),Night Ranger,66,52,2
53,The Way You Do The Things You Do/My Girl,Daryl Hall John Oates,-1,53,1
54,First Night,Survivor,63,54,3
55,Wild And Crazy Love,Mary Jane Girls,49,42,7
56,Be Near Me,ABC,76,56,2
57,Love And Pride,King,57,57,7
58,Down On Love,Foreigner,64,58,3
59,Lay It Down,Ratt,50,40,9
60,Sunset Grill,Don Henley,-1,60,1
61,You Look Marvelous,Billy Crystal,58,58,6
62,Tonight It's You,Cheap Trick,65,62,6
63,Sentimental Street,Night Ranger,47,8,15
64,Jesse,Julian Lennon,54,54,5
65,Summertime Girls,Y&T,55,55,8
66,Looking Over My Shoulder,'Til Tuesday,78,66,2
67,Raspberry Beret,Prince And The Revolution,52,2,16
68,Dancin' In The Key Of Life,Steve Arrington,72,68,3
69,Love Theme From St. Elmo's Fire (Instrumental),David Foster,92,69,2
70,I'll Be Around,What Is This,74,70,3
71,A View To A Kill,Duran Duran,53,1,16
72,All Of Me For All Of You,9.9,85,72,2
73,Voices Carry,'Til Tuesday,62,8,21
74,Wise Up,Amy Grant,81,74,3
75,Some People,Belouis Some,67,67,5
76,You Wear It Well,El DeBarge With DeBarge,-1,76,1
77,Rebels,Tom Petty And The Heartbreakers,80,77,3
78,Stir It Up,Patti LaBelle,60,41,12
79,Forever,Kenny Loggins,75,40,15
80,Not Enough Love In The World,Don Henley,71,34,15
81,In And Out Of Love,Bon Jovi,69,69,5
82,Power Of Love (You Are My Lady),Air Supply,68,68,4
83,The Search Is Over,Survivor,73,4,20
84,Running Back,Urgent,79,79,4
85,19,Paul Hardcastle,61,15,14
86,So In Love,Orchestral Manoeuvres In The Dark,-1,86,1
87,Information,Eric Martin,90,87,2
88,Stand By Me,Maurice White,-1,88,1
89,I Want My Girl,Jesse Johnson's Revue,88,76,7
90,Test Of Time,The Romantics,-1,90,1
91,Only For Love,Limahl,70,51,7
92,Sussudio,Phil Collins,77,1,17
93,Weird Science,Oingo Boingo,-1,93,1
94,Through the Fire,Chaka Khan,91,60,19
95,Just As I Am,Air Supply,82,19,15
96,Find A Way,Amy Grant,84,29,16
97,It's Getting Late,The Beach Boys,89,82,5
98,Would I Lie To You?,Eurythmics,83,5,19
99,Your Love Is King,Sade,86,54,11
100,Call Me,Go West,98,54,14
