pos,title,artist,last_pos,peak_pos,streak
1,Someone Like You,Adele,1,1,15
2,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2,1,17
3,Pumped Up Kicks,Foster The People,3,3,25
4,Sexy And I Know It,LMFAO,4,4,7
5,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,5,4,18
6,We Found Love,Rihanna Featuring Calvin Harris,7,6,4
7,Without You, David Guetta Featuring Usher,8,7,7
8,You Make Me Feel...,Cobra Starship Featuring Sabi,9,7,14
9,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,6,1,30
10,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,-1,10,1
11,You And I,Lady Gaga,10,6,11
12,In The Dark,Dev,11,11,11
13,Super Bass,Nicki Minaj,14,3,25
14,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",13,1,29
15,Headlines,Drake,17,13,10
16,Lighters,Bad Meets Evil Featuring Bruno Mars,12,4,18
17,It Girl,Jason Derulo,18,17,10
18,Good Life,OneRepublic,20,8,29
19,She Will,Lil Wayne Featuring Drake,22,3,9
20,How To Love,Lil Wayne,16,5,21
21,Mr. Saxobeat,Alexandra Stan,26,21,14
22,God Gave Me You,Blake Shelton,24,22,14
23,Rolling In The Deep,Adele,21,1,41
24,Mr. Know It All,Kelly Clarkson,27,18,6
25,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,30,25,3
26,Cheers (Drink To That),Rihanna,15,7,12
27,Ni**as in Paris,Jay Z Kanye West,32,27,10
28,Just A Kiss,Lady Antebellum,31,7,24
29,Take A Back Road,Rodney Atkins,23,23,20
30,Last Friday Night (T.G.I.F.),Katy Perry,25,1,21
31,Tonight Tonight,Hot Chelle Rae,28,7,27
32,Nothing,The Script,34,32,10
33,Crazy Girl,Eli Young Band,36,33,31
34,Fly,Nicki Minaj Featuring Rihanna,39,34,8
35,If I Die Young,The Band Perry,33,14,47
36,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,35,32,13
37,I Wanna Go,Britney Spears,29,7,19
38,Paradise,Coldplay,68,16,5
39,Better With The Lights Off,New Boyz Featuring Chris Brown,38,38,16
40,Strange Clouds,B.o.B Featuring Lil Wayne,19,7,3
41,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",37,10,22
42,Good Feeling,Flo Rida,77,42,3
43,Heartbeat,The Fray,-1,43,1
44,The Edge Of Glory,Lady Gaga,40,3,23
45,Love You Like A Love Song,Selena Gomez & The Scene,52,35,17
46,Work Out,J. Cole,48,46,7
47,It Will Rain,Bruno Mars,64,28,3
48,Easy,Rascal Flatts Featuring Natasha Bedingfield,50,48,12
49,Here For A Good Time,George Strait,46,46,16
50,Sparks Fly,Taylor Swift,54,17,12
51,Not Over You,Gavin DeGraw,57,50,10
52,We Owned The Night,Lady Antebellum,47,47,9
53,Tattoos On This Town,Jason Aldean,60,53,4
54,I Don't Want This Night To End,Luke Bryan,73,54,3
55,Baggage Claim,Miranda Lambert,58,55,10
56,Long Hot Summer,Keith Urban,45,45,14
57,Made In America,Toby Keith,43,40,19
58,Keep Your Head Up,Andy Grammer,61,53,20
59,Country Must Be Country Wide,Brantley Gilbert,63,59,16
60,Take Over Control,Afrojack Featuring Eva Simons,44,41,18
61,Marvins Room,Drake,59,21,13
62,Otis,Jay Z Kanye West Featuring Otis Redding,56,12,13
63,Remind Me,Brad Paisley Duet With Carrie Underwood,55,17,19
64,That Way,Wale Featuring Jeremih & Rick Ross,71,64,7
65,Brighter Than The Sun,Colbie Caillat,69,65,9
66,Keep Me In Mind,Zac Brown Band,83,66,3
67,Best Thing I Never Had,Beyonce,65,16,20
68,Drink In My Hand,Eric Church,78,68,4
69,Dance (A$$),Big Sean Featuring Nicki Minaj,93,69,2
70,When We Stand Together,Nickelback,75,48,3
71,I'm Gonna Love You Through It,Martina McBride,-1,71,2
72,All Your Life,The Band Perry,80,72,6
73,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,72,38,13
74,Mrs. Right,Mindless Behavior Featuring Diggy,79,73,7
75,I Like It Like That,Hot Chelle Rae Featuring New Boyz,51,51,2
76,Body 2 Body,Ace Hood Featuring Chris Brown,88,76,5
77,Skyscraper,Demi Lovato,74,10,14
78,Wet The Bed,Chris Brown Featuring Ludacris,81,77,6
79,Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,82,79,3
80,One More Drinkin' Song,Jerrod Niemann,86,77,12
81,Just Fishin',Trace Adkins,67,61,20
82,I Got You,Thompson Square,89,82,9
83,Crawling Back To You,Daughtry,41,41,2
84,Let It Rain,David Nail Featuring Sarah Buxton,90,84,5
85,Countdown,Beyonce,-1,85,1
86,Calling All The Monsters,China Anne McClain,-1,86,2
87,Party,Beyonce Featuring Andre 3000,95,87,2
88,Got 2 Luv U,Sean Paul Featuring Alexis Jordan,85,84,5
89,Still Got It,Tyga Featuring Drake,-1,89,1
90,Sail,AWOLNATION,87,82,9
91,Good Good Night,Roscoe Dash,-1,91,1
92,Criminal,Britney Spears,-1,92,1
93,Quickie,Miguel,84,62,13
94,The One That Got Away,Katy Perry,-1,94,1
95,Rain Over Me,Pitbull Featuring Marc Anthony,94,30,16
96,Domino,Jessie J,-1,96,1
97,Make Me Proud,Drake Featuring Nicki Minaj,-1,97,1
98,Papi,Jennifer Lopez,96,96,3
99,Lost In Paradise,Evanescence,-1,99,1
100,Faster,Matt Nathanson,92,74,12
