pos,title,artist,last_pos,peak_pos,streak
1,I Want To Hold Your Hand,The Beatles,3,1,3
2,You Don't Own Me,Lesley Gore,13,2,6
3,Out Of Limits,The Marketts,6,3,9
4,Surfin' Bird,The Trashmen,4,4,9
5,Hey Little Cobra,The Rip Chords,7,5,8
6,Louie Louie,The Kingsmen,2,2,13
7,There! I've Said It Again,Bobby Vinton,1,1,10
8,"Um, Um, Um, Um, Um, Um",Major Lance,9,8,5
9,Anyone Who Had A Heart,Dionne Warwick,16,9,9
10,For You,Rick Nelson,14,10,6
11,Popsicles And Icicles,The Murmaids,5,3,11
12,Forget Him,Bobby Rydell,8,4,13
13,Drag City,Jan & Dean,10,10,9
14,Whispering, Nino Tempo & April Stevens,11,11,7
15,Talking About My Baby,The Impressions,25,15,3
16,As Usual,Brenda Lee,12,12,8
17,What Kind Of Fool (Do You Think I Am),The Tams,33,17,8
18,Daisy Petal Pickin',Jimmy Gilmer And The Fireballs,18,18,8
19,Somewhere,The Tymes,21,19,9
20,Hooka Tooka,Chubby Checker,27,20,9
21,She Loves You,The Beatles,69,21,2
22,A Fool Never Learns,Andy Williams,30,22,4
23,Java,Al (He's the King) Hirt,36,23,5
24,"Baby, I Love You",The Ronettes,26,24,7
25,The Nitty Gritty,Shirley Ellis,17,8,12
26,Since I Fell For You,Lenny Welch,19,4,15
27,When The Lovelight Starts Shining Through His Eyes,The Supremes,24,23,10
28,It's All In The Game,Cliff Richard,37,28,9
29,Midnight Mary,Joey Powers,23,10,13
30,Dominique,The Singing Nun (Soeur Sourire),15,1,13
31,Quicksand,Martha & The Vandellas,22,8,11
32,Wives And Lovers,Jack Jones,28,14,14
33,Girls Grow Up Faster Than Boys,The Cookies,34,33,10
34,Talk Back Trembling Lips,Johnny Tillotson,29,7,13
35,Letter From Sherry,Dale Ward,56,35,6
36,Charade,Henry Mancini And His Orchestra,40,36,9
37,I Can't Stop Talking About You,Steve & Eydie,39,37,7
38,California Sun,The Rivieras,70,38,2
39,That Lucky Old Sun,Ray Charles,20,20,9
40,The Shelter Of Your Arms,Sammy Davis Jr.,50,40,9
41,You'll Never Walk Alone,Patti LaBelle And The Blue Belles,48,41,5
42,Comin' In The Back Door,The Baja Marimba Band,45,42,7
43,Stop And Think It Over,Dale & Grace,66,43,2
44,"Southtown, U.S.A.",The Dixiebelles,61,44,3
45,Need To Belong,Jerry Butler,35,31,11
46,Harlem Shuffle,Bob And Earl,49,46,7
47,Can I Get A Witness,Marvin Gaye,32,22,16
48,What's Easy For Two Is So Hard For One,Mary Wells,38,38,11
49,"My One And Only, Jimmy Boy",The Girlfriends,52,49,6
50,Dumb Head,Ginny Arnell,54,50,11
51,Come On,Tommy Roe,64,51,3
52,The Little Boy,Tony Bennett,55,52,7
53,In The Summer Of His Years, Connie Francis,46,46,6
54,Oh Baby Don't You Weep (Part 1),James Brown And The Famous Flames,73,54,2
55,See The Funny Little Clown,Bobby Goldsboro,65,55,4
56,I Wish You Love,Gloria Lynne,68,56,4
57,Tonight You're Gonna Fall In Love With Me,The Shirelles,60,57,4
58,Watch Your Step,Brooks O'Dell,59,58,8
59,You're No Good,Betty Everett,51,51,10
60,That Girl Belongs To Yesterday,Gene Pitney,71,60,3
61,Going Going Gone,Brook Benton,82,61,2
62,Pain In My Heart,Otis Redding,62,62,9
63,He Says The Same Things To Me,Skeeter Davis,76,63,2
64,Vaya Con Dios,The Drifters,-1,64,1
65,Who Cares,Fats Domino,63,63,5
66,Abigail Beecher,Freddy Cannon,-1,66,1
67,As Long As I Know He's Mine,The Marvelettes,58,47,13
68,Please Please Me,The Beatles,-1,68,1
69,Pink Dominos,The Crescents Featuring Chiyo,75,69,6
70,I'll Remember (In The Still Of The Night),Santo & Johnny,80,70,3
71,Navy Blue,Diane Renay,90,71,2
72,Gonna Send You Back To Georgia (A City Slick),Timmy Shaw,83,72,2
73,I Only Want To Be With You,Dusty Springfield,77,73,2
74,Puppy Love,Barbara Lewis,81,74,4
75,Dawn (Go Away),The 4 Seasons,-1,75,1
76,Wow Wow Wee (He's The Boy For Me),The Angels,88,76,3
77,Good News,Sam Cooke,93,77,2
78,Who Do You Love,The Sapphires,97,78,4
79,I Love You More And More Every Day,Al Martino,-1,79,1
80,If Somebody Told You,Anna King,72,67,5
81,Stay With Me,Frank Sinatra,87,81,3
82,(It's No) Sin,The Duprees featuring Joey Vann,94,82,2
83,Little Boxes,Pete Seeger,86,83,4
84,442 Glenwood Avenue,The Pixies Three,91,84,3
85,Can Your Monkey Do The Dog,Rufus Thomas,-1,85,1
86,Stranger In Your Arms,Bobby Vee,92,86,2
87,(I'm Watching) Every Little Move You Make,Little Peggy March,-1,87,1
88,Shimmy Shimmy,The Orlons,-1,88,1
89,Baby What You Want Me To Do,Etta James,-1,89,1
90,Penetration,The Pyramids,-1,90,1
91,So Far Away,Hank Jacobs,-1,91,2
92,Comin' On,Bill Black's Combo,-1,92,1
93,Deep In The Heart Of Harlem,Clyde McPhatter,-1,90,4
94,Ask Me,Inez Foxx,98,94,2
95,Long Gone Lonesome Blues,Hank Williams Jr.,-1,95,1
96,Here Comes The Boy,Tracey Dey,-1,93,3
97,Where Did I Go Wrong,Dee Dee Sharp,-1,97,1
98,Little Boy,The Crystals,-1,98,1
99,Bye Bye Barbara,Johnny Mathis,-1,99,1
100,Here's A Heart,The Diplomats,-1,100,1
