pos,title,artist,last_pos,peak_pos,streak
1,Dark Horse,Katy Perry Featuring Juicy J,2,1,19
2,Timber,Pitbull Featuring Ke$ha,1,1,16
3,Counting Stars,OneRepublic,3,2,32
4,Say Something,A Great Big World & Christina Aguilera,4,4,12
5,The Monster,Eminem Featuring Rihanna,5,1,13
6,Talk Dirty,Jason Derulo Featuring 2 Chainz,15,6,6
7,Let Her Go,Passenger,6,6,26
8,Team,Lorde,8,8,18
9,Royals,Lorde,7,1,30
10,Pompeii,Bastille,10,10,24
11,Happy,Pharrell Williams,25,11,4
12,Story Of My Life,One Direction,9,6,13
13,Drunk In Love,Beyonce Featuring Jay Z,12,12,6
14,Burn,Ellie Goulding,14,13,21
15,Demons,Imagine Dragons,13,6,40
16,The Man,Aloe Blacc,17,16,5
17,Wake Me Up!,Avicii,11,4,31
18,Roar,Katy Perry,16,1,25
19,Show Me,Kid Ink Featuring Chris Brown,24,19,12
20,Wrecking Ball,Miley Cyrus,18,1,23
21,Let It Go,Idina Menzel,26,21,9
22,Stay The Night,Zedd Featuring Hayley Williams,22,18,19
23,Sweater Weather,The Neighbourhood,21,14,33
24,"Hold On, We're Going Home",Drake Featuring Majid Jordan,20,4,25
25,Do What U Want,Lady Gaga Featuring R. Kelly,19,13,14
26,Brave,Sara Bareilles,31,26,33
27,All Of Me,John Legend,49,27,16
28,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,23,15,19
29,My Hitta,YG Featuring Jeezy & Rich Homie Quan,27,19,17
30,Adore You,Miley Cyrus,30,22,7
31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,33,1,41
32,Love Me Again,John Newman,35,32,10
33,Radioactive,Imagine Dragons,41,3,74
34,Best Day Of My Life,American Authors,32,32,11
35,Drink A Beer,Luke Bryan,34,33,12
36,Hey Brother,Avicii,37,36,8
37,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",29,11,19
38,Whatever She's Got,David Nail,39,38,17
39,Safe And Sound,Capital Cities,36,8,39
40,Chillin' It,Cole Swindell,38,38,15
41,Turn Down For What,DJ Snake & Lil Jon,42,37,5
42,Sail,AWOLNATION,47,17,73
43,When She Says Baby,Jason Aldean,52,43,9
44,All Me,Drake Featuring 2 Chainz & Big Sean,44,20,18
45,Stay,Florida Georgia Line,40,28,15
46,XO,Beyonce,45,45,6
47,Friday Night,Eric Paslay,59,47,15
48,It Won't Stop,Sevyn Streeter Featuring Chris Brown,50,30,17
49,Unconditionally,Katy Perry,43,14,14
50,Animals,Martin Garrix,53,50,19
51,Let It Go,Demi Lovato,57,38,9
52,Paranoid,Ty Dolla $ign Featuring B.o.B,65,52,6
53,Rap God,Eminem,51,7,15
54,Young Girls,Bruno Mars,68,54,4
55,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",61,55,5
56,Compass,Lady Antebellum,62,56,12
57,For The First Time In Forever,Kristen Bell & Idina Menzel,64,57,5
58,Rewind,Rascal Flatts,83,58,2
59,Bottoms Up,Brantley Gilbert,67,58,6
60,Mmm Yeah,Austin Mahone Featuring Pitbull,-1,60,1
61,Can't Remember To Forget You,Shakira Featuring Rihanna,28,28,2
62,Sweet Annie,Zac Brown Band,54,47,15
63,Up All Night,Jon Pardi,56,56,11
64,Neon Lights,Demi Lovato,70,64,5
65,Up Down (Do This All Day),T-Pain Featuring B.o.B,66,65,10
66,Doin' What She Likes,Blake Shelton,84,66,2
67,Give Me Back My Hometown,Eric Church,55,55,3
68,The Language,Drake,69,51,14
69,Love Don't Die,The Fray,72,69,4
70,Don't Let Me Be Lonely,The Band Perry,60,59,15
71,I Hold On,Dierks Bentley,77,71,6
72,Waiting For Superman,Daughtry,74,66,11
73,Partition,Beyonce,86,73,3
74,Drink To That All Night,Jerrod Niemann,78,74,4
75,See You Tonight,Scotty McCreery,75,75,9
76,Do I Wanna Know?,Arctic Monkeys,79,76,8
77,Helluva Life,Frankie Ballard,76,70,8
78,19 You + Me,Dan + Shay,81,78,4
79,Get Me Some Of That,Thomas Rhett,90,79,3
80,Ride,SoMo,89,80,3
81,Man Of The Year,ScHoolboy Q,-1,81,1
82,The Heart Of Dixie,Danielle Bradbery,87,58,8
83,Goodnight Kiss,Randy Houser,91,83,3
84,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,82,82,2
85,El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,-1,85,1
86,Take Me Home,Cash Cash Featuring Bebe Rexha,94,86,2
87,Thinking About You,Calvin Harris Featuring Ayah Marar,93,87,2
88,Invisible,Hunter Hayes,-1,88,1
89,Everything I Shouldn't Be Thinking About,Thompson Square,95,89,2
90,She Knows,J. Cole Featuring Amber Coffman & The Cults,92,90,3
91,Na Na,Trey Songz,-1,91,1
92,Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,-1,92,7
93,Worst Behavior,Drake,98,89,7
94,We Were Us,Keith Urban And Miranda Lambert,88,26,20
95,Carolina,Parmalee,80,36,19
96,Chocolate,The 1975,-1,96,1
97,Radio,Darius Rucker,71,65,15
98,Oceans (Where Feet May Fail),Hillsong UNITED,99,98,2
99,Marry Me,Jason Derulo,85,26,17
100,They Don't Know,Rico Love,-1,100,1
