pos,title,artist,last_pos,peak_pos,streak
1,One Sweet Day,Mariah Carey & Boyz II Men,1,1,14
2,"Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,2,2,6
3,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,5,3,10
4,Nobody Knows,The Tony Rich Project,4,4,12
5,Missing,Everything But The Girl,3,2,30
6,Be My Lover,La Bouche,6,6,17
7,Jesus To A Child,George Michael,7,7,2
8,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,8,1,15
9,One Of Us,Joan Osborne,9,4,13
10,Follow You Down/Til I Hear It From You,Gin Blossoms,11,10,4
11,Hey Lover,LL Cool J,10,3,16
12,Wonderwall,Oasis,13,12,6
13,Name,Goo Goo Dolls,14,5,21
14,Before You Walk Out Of My Life/Like This And Like That,Monica,12,7,20
15,Anything,3T,17,15,22
16,1979,The Smashing Pumpkins,16,16,4
17,Tonite's Tha Night,Kris Kross,15,12,13
18,Time,Hootie & The Blowfish,19,14,17
19,Breakfast At Tiffany's,Deep Blue Something,18,5,29
20,The World I Know,Collective Soul,20,20,16
21,Wonder, Natalie Merchant,21,21,13
22,Down Low (Nobody Has To Know),R. Kelly Featuring Ronald Isley,-1,22,1
23,Hook,Blues Traveler,25,23,22
24,I Want To Come Over,Melissa Etheridge,27,24,3
25,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,31,1,29
26,No One Else,Total,22,22,12
27,You'll See,Madonna,23,6,13
28,Glycerine,Bush,28,28,6
29,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")",Joe,39,29,4
30,Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,35,30,4
31,Tell Me,Groove Theory,26,5,28
32,Soon As I Get Home,Faith Evans,24,21,13
33,Don't Cry,Seal,33,33,3
34,Fu-Gee-La,Fugees,34,34,10
35,Set U Free,Planet Soul,32,26,20
36,Diggin' On You,TLC,30,5,16
37,Fantasy,Mariah Carey,29,1,23
38,As I Lay Me Down,Sophie B. Hawkins,36,6,40
39,Cumbersome,Seven Mary Three,40,39,7
40,Who Do U Love,Deborah Cox,51,40,5
41,Feels So Good (Show Me Your Love),Lina Santiago,42,41,6
42,"Natural One (From ""Kids"")",Folk Implosion,38,29,13
43,Roll To Me,Del Amitri,44,10,35
44,Carnival,Natalie Merchant,41,10,31
45,"Visions Of A Sunset (From ""Mr. Holland's Opus"")",Shawn Stockman,45,45,8
46,Only Wanna Be With You,Hootie & The Blowfish,43,6,31
47,We Got It,Immature (Featuring Smooth),37,37,13
48,Back For Good,Take That,47,7,30
49,Let's Play House,Tha Dogg Pound Featuring Michel'le,46,45,9
50,Where Do U Want Me To Put It,Solo,52,50,9
51,Just A Girl,No Doubt,53,51,12
52,Blessed,Elton John,55,34,18
53,I Got Id/Long Road,Pearl Jam,56,7,11
54,Bullet With Butterfly Wings,The Smashing Pumpkins,54,22,17
55,Lucky Love,Ace Of Base,66,55,2
56,Dreaming Of You,Selena,57,22,19
57,Love U 4 Life,Jodeci,58,31,18
58,Only Love (The Ballad Of Sleeping Beauty),Sophie B. Hawkins,-1,58,1
59,Ridin' Low,L.A.D.,59,47,16
60,Everyday & Everynight,Yvette Michele,60,60,5
61,I Will Survive,Chantay Savage,73,61,3
62,Stayin' Alive,N-Trance,62,62,7
63,Beautiful Life,Ace Of Base,63,15,17
64,Keep Tryin',Groove Theory,69,64,4
65,"Can't Be Wasting My Time (From ""Don't Be A Menace..."")",Mona Lisa Featuring Lost Boyz,65,65,3
66,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah,61,56,19
67,Lady,D'Angelo,-1,67,1
68,You Remind Me Of Something,R. Kelly,64,4,16
69,Caught A Lite Sneeze,Tori Amos,70,60,7
70,Promises Broken,Soul Asylum,67,63,3
71,Too Hot,Coolio,68,24,13
72,Where Ever You Are,Terry Ellis,71,52,18
73,Ain't No Playa,Rappin' 4-Tay,-1,73,1
74,"Insensitive (From ""Bed Of Roses"")",Jann Arden,87,74,4
75,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell,75,75,12
76,"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,76,76,3
77,Sexual Healing,Max-A-Million,77,60,18
78,It Matters To Me,Faith Hill,74,74,11
79,I Will Remember You (Live), Sarah McLachlan,80,65,17
80,All Cried Out,Denine With Collage's Adam Marano,79,72,7
81,Energy,Devone,82,70,7
82,Not A Dry Eye In The House,Meat Loaf,85,82,3
83,5 O'Clock,Nonchalant,-1,83,1
84,Leflaur Leflah Eshkushka,Heltah Skeltah And O.G.C. As The Fab 5,91,75,5
85,La Familia,Frost,-1,85,1
86,Just Tah Let U Know,Eazy-E,84,45,11
87,Let Your Soul Be Your Pilot,Sting,-1,87,1
88,Take A Look,J'Son,94,88,2
89,We've Got It Goin' On,Backstreet Boys,89,69,19
90,Get Together,Big Mountain,81,44,12
91,Celebration/Take Your Chance,Fun Factory,92,88,8
92,Everybody Be Somebody,Ruffneck Featuring Yavahn,88,82,6
93,Free As A Bird,The Beatles,98,6,10
94,Cruisin',D'Angelo,83,53,18
95,Hooked On You,Silk,93,54,18
96,I'd Lie For You (And That's The Truth),Meat Loaf,100,13,20
97,When Love & Hate Collide,Def Leppard,90,58,14
98,Throw Your Hands Up,L.V.,86,63,16
99,East 1999,Bone Thugs-N-Harmony,97,62,13
100,Microphone Master,Das EFX (Featuring Mobb Deep),95,86,3
