pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Work,Rihanna Featuring Drake,1,1,6,32lmL4vQAAotg6MrJnhlQZ
2,Love Yourself,Justin Bieber,2,1,16,50kpGaPAhYJ3sGmk6vplg0
3,Stressed Out,twenty one pilots,3,2,24,3CRDbSIZ4r5MsZ0YwxuEkn
4,My House,Flo Rida,5,4,17,6Knv6wdA0luoMUuuoYi2i1
5,Sorry,Justin Bieber,4,1,19,09CtPGIpYB4BrO8qb1RGsF
6,Pillowtalk,Zayn,6,1,5,0PDUDa38GO8lMxLCRc4lL1
7,"Me, Myself & I",G-Eazy x Bebe Rexha,7,7,18,40YcuQysJ0KlGQTeGUosTC
8,Piece By Piece,Kelly Clarkson,-1,8,1,2NELtMgQ8HSdrGrYQPLnC3
9,7 Years,Lukas Graham,12,9,7,5kqIPrATaCc2LqxVWzQGbk
10,Cake By The Ocean,DNCE,9,9,20,76hfruVvmfQbw0eYn1nmeC
11,Hello,Adele,8,1,19,4sPmO7WMQUAf45kwMOtONw
12,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,-1,12,1,4tCtwWceOPWzenK2HAIJSb
13,Roses,The Chainsmokers Featuring Rozes,10,6,20,3vv9phIu6Y1vX3jcqaGz5Z
14,I Took A Pill In Ibiza,Mike Posner,15,14,7,1MtUq6Wp1eQ8PC6BbPCj8P
15,Hands To Myself,Selena Gomez,11,7,13,1LoriJC05IrHIDwj3q0KC1
16,One Call Away,Charlie Puth,14,12,14,7soJgKhQTO8hLP2JPRkL5O
17,Stitches,Shawn Mendes,16,4,41,5jsw9uXEGuKyJzs0boZ1bT
18,Down In The DM,Yo Gotti Featuring Nicki Minaj,13,13,14,1LxKKYsJNPeBdOwdudsJzv
19,Don't,Bryson Tiller,17,13,23,3pXF1nA74528Edde4of9CC
20,Back To Sleep,Chris Brown,36,20,12,6dlpABcXrQKRU9G00i6Zba
21,The Hills,The Weeknd,22,1,41,7fBv7CLKzipRk6EC6TWHOB
22,Jumpman,Drake & Future,24,12,24,27GmP9AWRs744SzKcpJsTZ
23,When We Were Young,Adele,18,14,15,7IWkJwX9C0J7tHurTD7ViL
24,Hotline Bling,Drake,21,2,31,0wwPcA6wtMf6HUMpIRdeP7
25,2 Phones,Kevin Gates,29,25,9,0wdKiSBUT7aZkXUIdJWcwC
26,Same Old Love,Selena Gomez,20,5,25,1BZG99C7Co1r6QUC3zaS59
27,Oui,Jeremih,28,27,9,0PJIbOdMs3bd5AT8liULMQ
28,In The Night,The Weeknd,19,12,17,25KybV9BOUlvcnv7nN3Pyo
