pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Shape Of You,Ed Sheeran,-1,1,1,7qiZfU4dY1lWllzX7mPBI3
2,Bad And Boujee,Migos Featuring Lil Uzi Vert,1,1,9,4Km5HrUvYTaSUfiSGPJeQR
3,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2,1,18,6fujklziTHa8uoM5OQSfIo
4,Starboy,The Weeknd Featuring Daft Punk,4,1,17,7MXVkk9YMctZqd1Srtv4MB
5,Closer,The Chainsmokers Featuring Halsey,3,1,24,7BKLCZ1jbUBVqRi2FVlTVw
6,Castle On The Hill,Ed Sheeran,-1,6,1,6PCUP3dWmTjcTtXY02oFdT
7,24K Magic,Bruno Mars,5,4,14,6b8Be6ljOzmkOmFslEb23P
8,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,7,7,14,3PGdPUMdUg7a3Tgr5gkfKK
9,Side To Side,Ariana Grande Featuring Nicki Minaj,6,4,20,1pKeFVVUOPjFsOABub0OaV
10,Bad Things,Machine Gun Kelly x Camila Cabello,10,9,11,1KzGj3xvi9IiY05kBlkm2G
11,Fake Love,Drake,9,9,12,343YBumqHu19cGoGARUTsd
12,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,14,6,5,2y5aJvzXhHPA94U5GFAcXe
13,Scars To Your Beautiful,Alessia Cara,12,12,20,0prNGof3XqfTvNDxHonvdK
14,Let Me Love You,DJ Snake Featuring Justin Bieber,8,4,23,0lYBSQXN6rCTvUZvg9S0lU
15,Caroline,Amine,16,11,19,5hTpBe8h35rJ67eAWHQsJx
16,Bounce Back,Big Sean,18,16,10,0SGkqnVQo9KPytSri1H6cF
17,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,11,5,16,1lItf5ZXJc1by9SbPeljFd
18,Heathens,twenty one pilots,13,2,30,6i0V12jOa3mr6uu4WYhUBr
19,Love On The Brain,Rihanna,21,19,13,2aksifNn5ph8igDOkPBA02
20,Broccoli,D.R.A.M. Featuring Lil Yachty,15,5,31,0qy5D3OJre7SPJNMOL9I71
21,Starving,Hailee Steinfeld & Grey Featuring Zedd,17,12,24,4Ce37cRWvM1vIGGynKcs22
22,I Feel It Coming,The Weeknd Featuring Daft Punk,25,22,8,3dhjNA0jGA8vHBQ1VdD6vV
23,Mercy,Shawn Mendes,19,17,17,0AS63m1wHv9n4VVRizK6Hc
24,All Time Low,Jon Bellion,22,16,14,0SuLAslEMFZAXf0SwY7syi
25,Can't Stop The Feeling!,Justin Timberlake,20,1,36,1WkMMavIMc4JZ8cfMmxHkI
26,Treat You Better,Shawn Mendes,23,6,32,3QGsuHI8jO1Rx4JWLUh9jd
27,Cheap Thrills,Sia Featuring Sean Paul,26,1,48,3S4px9f4lceWdKf0gWciFu
28,This Town,Niall Horan,27,20,16,5dTJMpqiELczVuHJP3OAEu
29,Blue Ain't Your Color,Keith Urban,30,24,18,6wycnu8FWXsj68ig7BEot9
30,Love Me Now,John Legend,31,23,12,6hdkw1wzhIRYPlYDUtCY5m
31,Say You Won't Let Go,James Arthur,37,31,12,5uCax9HTNlzGybIStD3vDh
32,Don't Let Me Down,The Chainsmokers Featuring Daya,29,3,48,1i1fxkWeaMmKEB4T7zqbzK
33,Water Under The Bridge,Adele,38,33,10,4vb4mFvYsr2h6enhjJsq9Y
34,In The Name Of Love,Martin Garrix & Bebe Rexha,28,24,22,23L5CiUhw2jV1OIMwthR3S
35,The Greatest,Sia Featuring Kendrick Lamar,32,18,19,7xHWNBFm6ObGEQPaUxHuKO
36,X,21 Savage & Metro Boomin Featuring Future,36,36,18,6fwdbPMwP1zVStm8FybmkO
