pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Work,Rihanna Featuring Drake,1,1,10,32lmL4vQAAotg6MrJnhlQZ
2,7 Years,Lukas Graham,2,2,11,5kqIPrATaCc2LqxVWzQGbk
3,No,Meghan Trainor,6,3,4,0l0CvurVUrr2w3Jj1hOVFc
4,Pillowtalk,Zayn,8,1,9,0PDUDa38GO8lMxLCRc4lL1
5,Love Yourself,Justin Bieber,3,1,20,50kpGaPAhYJ3sGmk6vplg0
6,My House,Flo Rida,4,4,21,6Knv6wdA0luoMUuuoYi2i1
7,Stressed Out,twenty one pilots,5,2,28,3CRDbSIZ4r5MsZ0YwxuEkn
8,"Me, Myself & I",G-Eazy x Bebe Rexha ,7,7,22,40YcuQysJ0KlGQTeGUosTC
9,I Took A Pill In Ibiza,Mike Posner,10,9,11,1MtUq6Wp1eQ8PC6BbPCj8P
10,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,12,10,5,4tCtwWceOPWzenK2HAIJSb
11,Cake By The Ocean,DNCE,9,9,24,76hfruVvmfQbw0eYn1nmeC
12,Dangerous Woman,Ariana Grande,13,10,3,7l94dyN2hX9c6wWcZQuOGJ
13,Sorry,Justin Bieber,11,1,23,09CtPGIpYB4BrO8qb1RGsF
14,Panda,Desiigner,21,14,6,275a9yzwGB6ncAW4SxY7q3
15,Never Forget You,Zara Larsson & MNEK,17,15,7,6hmhG1b4LEyNuashVvuIAo
16,One Call Away,Charlie Puth,14,12,18,7soJgKhQTO8hLP2JPRkL5O
17,Hands To Myself,Selena Gomez ,15,7,17,1LoriJC05IrHIDwj3q0KC1
18,2 Phones,Kevin Gates,18,18,13,0wdKiSBUT7aZkXUIdJWcwC
19,Hello,Adele,19,1,23,4sPmO7WMQUAf45kwMOtONw
20,Roses,The Chainsmokers Featuring Rozes,16,6,24,3vv9phIu6Y1vX3jcqaGz5Z
21,Oui,Jeremih,24,21,13,0PJIbOdMs3bd5AT8liULMQ
22,Middle,DJ Snake Featuring Bipolar Sunshine,20,20,11,0g5EKLgdKvNlln7TNqBByK
