pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Bad And Boujee,Migos Featuring Lil Uzi Vert,2,1,10,4Km5HrUvYTaSUfiSGPJeQR
2,Shape Of You,Ed Sheeran,1,1,2,7qiZfU4dY1lWllzX7mPBI3
3,Black Beatles,Rae Sremmurd Featuring Gucci Mane,3,1,19,6fujklziTHa8uoM5OQSfIo
4,Closer,The Chainsmokers Featuring Halsey,5,1,25,7BKLCZ1jbUBVqRi2FVlTVw
5,Starboy,The Weeknd Featuring Daft Punk,4,1,18,7MXVkk9YMctZqd1Srtv4MB
6,Bad Things,Machine Gun Kelly x Camila Cabello,10,6,12,1KzGj3xvi9IiY05kBlkm2G
7,Paris,The Chainsmokers,-1,7,1,15vzANxN8G9wWfwAJLLMCg
8,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,12,6,6,2y5aJvzXhHPA94U5GFAcXe
9,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,8,7,15,3PGdPUMdUg7a3Tgr5gkfKK
10,24K Magic,Bruno Mars,7,4,15,6b8Be6ljOzmkOmFslEb23P
11,Fake Love,Drake,11,9,13,343YBumqHu19cGoGARUTsd
12,Side To Side,Ariana Grande Featuring Nicki Minaj,9,4,21,1pKeFVVUOPjFsOABub0OaV
13,Scars To Your Beautiful,Alessia Cara,13,12,21,0prNGof3XqfTvNDxHonvdK
14,Caroline,Amine,15,11,20,5hTpBe8h35rJ67eAWHQsJx
15,Bounce Back,Big Sean,16,15,11,0SGkqnVQo9KPytSri1H6cF
16,Let Me Love You,DJ Snake Featuring Justin Bieber,14,4,24,0lYBSQXN6rCTvUZvg9S0lU
17,Love On The Brain,Rihanna,19,17,14,2aksifNn5ph8igDOkPBA02
18,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,17,5,17,1lItf5ZXJc1by9SbPeljFd
19,I Feel It Coming,The Weeknd Featuring Daft Punk,22,19,9,3dhjNA0jGA8vHBQ1VdD6vV
20,Heathens,twenty one pilots,18,2,31,6i0V12jOa3mr6uu4WYhUBr
