pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Work,Rihanna Featuring Drake,1,1,12,32lmL4vQAAotg6MrJnhlQZ
2,Panda,Desiigner,5,2,8,275a9yzwGB6ncAW4SxY7q3
3,7 Years,Lukas Graham,2,2,13,5kqIPrATaCc2LqxVWzQGbk
4,No,Meghan Trainor,3,3,6,0l0CvurVUrr2w3Jj1hOVFc
5,Pillowtalk,Zayn,4,1,11,0PDUDa38GO8lMxLCRc4lL1
6,I Took A Pill In Ibiza,Mike Posner,8,6,13,1MtUq6Wp1eQ8PC6BbPCj8P
7,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,9,7,7,4tCtwWceOPWzenK2HAIJSb
8,Love Yourself,Justin Bieber,6,1,22,50kpGaPAhYJ3sGmk6vplg0
9,Cake By The Ocean,DNCE,12,9,26,76hfruVvmfQbw0eYn1nmeC
10,"Me, Myself & I",G-Eazy x Bebe Rexha,10,7,24,40YcuQysJ0KlGQTeGUosTC
11,Stressed Out,twenty one pilots,11,2,30,3CRDbSIZ4r5MsZ0YwxuEkn
12,My House,Flo Rida,7,4,23,6Knv6wdA0luoMUuuoYi2i1
13,One Dance,Drake Featuring WizKid & Kyla,21,13,2,1zi7xx7UVEFkmKfv06H8x0
14,Dangerous Woman,Ariana Grande,13,10,5,7l94dyN2hX9c6wWcZQuOGJ
15,Never Forget You,Zara Larsson & MNEK,15,15,9,6hmhG1b4LEyNuashVvuIAo
16,Sorry,Justin Bieber,14,1,25,09CtPGIpYB4BrO8qb1RGsF
17,Don't Let Me Down,The Chainsmokers Featuring Daya,22,17,9,1i1fxkWeaMmKEB4T7zqbzK
18,2 Phones,Kevin Gates,17,17,15,0wdKiSBUT7aZkXUIdJWcwC
19,Pop Style,Drake Featuring The Throne,16,16,2,5mPSyjLatqB00IkPqRlbTE
20,Oui,Jeremih,19,19,15,0PJIbOdMs3bd5AT8liULMQ
21,Low Life,Future Featuring The Weeknd,29,21,10,7EiZI6JVHllARrX9PUvAdX
22,Middle,DJ Snake Featuring Bipolar Sunshine,24,20,13,0g5EKLgdKvNlln7TNqBByK
23,One Call Away,Charlie Puth,20,12,20,7soJgKhQTO8hLP2JPRkL5O
24,Hands To Myself,Selena Gomez,18,7,19,1LoriJC05IrHIDwj3q0KC1
25,Jumpman,Drake & Future,23,12,30,27GmP9AWRs744SzKcpJsTZ
26,Stitches,Shawn Mendes,27,4,47,5jsw9uXEGuKyJzs0boZ1bT
27,Hello,Adele,25,1,25,4sPmO7WMQUAf45kwMOtONw
28,Roses,The Chainsmokers Featuring Rozes,26,6,26,3vv9phIu6Y1vX3jcqaGz5Z
29,Close,Nick Jonas Featuring Tove Lo,33,27,3,3lSDIJ2abCrOdDJ6pshUap
30,Don't,Bryson Tiller,28,13,29,3pXF1nA74528Edde4of9CC
31,Exchange,Bryson Tiller,31,26,25,43PuMrRfbyyuz4QpZ3oAwN
32,Down In The DM,Yo Gotti Featuring Nicki Minaj,32,13,20,1LxKKYsJNPeBdOwdudsJzv
33,Needed Me,Rihanna,47,33,11,1Tt4sE4pXi57mTD1GCzsqm
34,Let It Go,James Bay,38,30,17,13HVjjWUZFaWilh2QUJKsP
35,Somewhere On A Beach,Dierks Bentley,39,35,11,5CG9Ps5ynNjpKJHmwc95pa
36,Humble And Kind,Tim McGraw,30,30,10,3Rkk851fZjIsglV2jbBPDd
37,Back To Sleep,Chris Brown,44,20,18,6dlpABcXrQKRU9G00i6Zba
38,You Should Be Here,Cole Swindell,35,31,18,63thx7OANplv4I4BQsanHk
39,The Hills,The Weeknd,42,1,47,7fBv7CLKzipRk6EC6TWHOB
40,Think Of You,Chris Young Duet With Cassadee Pope,41,40,9,6W9W8dSswA8KNegvl3W97V
41,Lost Boy,Ruth B,51,41,8,4h0zU3O9R5xzuTmNO7dNDU
42,The Sound Of Silence,Disturbed,49,42,8,1Cj2vqUwlJVG27gJrun92y
43,Youth,Troye Sivan,46,23,11,1cOyWWUr3oXJIxY0AjJEx9
44,Cut It,O.T. Genasis Featuring Young Dolph,56,44,8,376KnY4TrgBITxjlnbnmIy
45,Die A Happy Man,Thomas Rhett,36,21,30,5kNe7PE09d6Kvw5pAsx23n
46,New Romantics,Taylor Swift,62,46,7,6rZVy6FIG7lSJQMFXHo12z
47,Cheap Thrills,Sia Featuring Sean Paul,55,39,9,3S4px9f4lceWdKf0gWciFu
48,Came Here To Forget,Blake Shelton,40,40,6,1N7qGCKRRnvjoy8MGyHgpS
49,Famous,Kanye West,34,34,2,19a3JfW8BQwqHWUMbcqSx8
50,Snapback,Old Dominion,52,50,12,7I5fYc4qKJddht8Ozhqqdx
51,Summer Sixteen, Drake,45,6,11,17Q87zeXgsAi9iQQbMu9v0
52,I Like The Sound Of That,Rascal Flatts,59,52,12,5S5rw0WLVCAux5B5bWCehK
53,Company,Justin Bieber,57,53,10,61uyGDPJ06MkxJtHgPmuyO
54,Father Stretch My Hands Pt. 1,Kanye West,37,37,2,4KW1lqgSr8TKrvBII0Brf8
55,Confession,Florida Georgia Line,53,53,16,6IFPfV8PNSYOmufzQ95hmm
56,Wild Things,Alessia Cara,60,56,8,2ZyuwVvV6Z3XJaXIFbspeE
57,Promise,Kid Ink Featuring Fetty Wap,64,57,9,5IZc3KIVFhjzJ0L2kiXzUl
58,My Church,Maren Morris,58,50,12,1LM5zQv5pBKPyO7rm7Uz6U
59,Team,Iggy Azalea,65,42,4,2bocAPQcUTLUXx8lAOTiK3
