pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Shape Of You,Ed Sheeran,1,1,7,7qiZfU4dY1lWllzX7mPBI3
2,Bad And Boujee,Migos Featuring Lil Uzi Vert,3,1,15,4Km5HrUvYTaSUfiSGPJeQR
3,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2,2,11,2y5aJvzXhHPA94U5GFAcXe
4,That's What I Like,Bruno Mars,7,4,6,0KKkJNfGyhkQ5aFogxQAPU
5,Closer,The Chainsmokers Featuring Halsey,5,1,30,7BKLCZ1jbUBVqRi2FVlTVw
6,Paris,The Chainsmokers,11,6,6,15vzANxN8G9wWfwAJLLMCg
7,Love On The Brain,Rihanna,8,7,19,2aksifNn5ph8igDOkPBA02
8,Chained To The Rhythm,Katy Perry Featuring Skip Marley,4,4,2,5tP2TrJDgXXxAHZwcOknOI
9,Bounce Back,Big Sean,10,6,16,0SGkqnVQo9KPytSri1H6cF
10,Bad Things,Machine Gun Kelly x Camila Cabello,6,4,17,1KzGj3xvi9IiY05kBlkm2G
11,I Feel It Coming,The Weeknd Featuring Daft Punk,9,9,14,3dhjNA0jGA8vHBQ1VdD6vV
12,It Ain't Me,Kygo x Selena Gomez,93,12,2,12GEpg2XOPyqk03JZEZnJs
13,Fake Love,Drake,12,8,18,343YBumqHu19cGoGARUTsd
14,Scars To Your Beautiful,Alessia Cara,15,8,26,0prNGof3XqfTvNDxHonvdK
15,24K Magic,Bruno Mars,13,4,20,6b8Be6ljOzmkOmFslEb23P
16,Black Beatles,Rae Sremmurd Featuring Gucci Mane,16,1,24,6fujklziTHa8uoM5OQSfIo
17,Starboy,The Weeknd Featuring Daft Punk,14,1,23,7MXVkk9YMctZqd1Srtv4MB
18,Mercy,Shawn Mendes,19,17,23,0AS63m1wHv9n4VVRizK6Hc
19,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,17,6,20,3PGdPUMdUg7a3Tgr5gkfKK
20,iSpy,KYLE Featuring Lil Yachty,20,20,9,2EEeOnHehOozLq4aS0n6SL
21,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,22,21,12,5knuzwU65gJK7IF5yJsuaW
22,Body Like A Back Road,Sam Hunt,27,21,4,7mldq42yDuxiUNn08nvzHO
23,Cold,Maroon 5 Featuring Future,42,23,2,50QWA5PR501dIe2KkJkHRR
24,Caroline,Amine,21,11,25,5hTpBe8h35rJ67eAWHQsJx
25,Down,Marian Hill,30,25,6,5eCkuGPZNl4mISFNPgr3Dd
26,All Time Low,Jon Bellion,26,16,20,0SuLAslEMFZAXf0SwY7syi
27,Tunnel Vision,Kodak Black,-1,27,1,4Q3N4Ct4zCuIHuZ65E3BD4
