pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,One Dance,Drake Featuring WizKid & Kyla,1,1,9,1zi7xx7UVEFkmKfv06H8x0
2,Panda,Desiigner,2,1,15,275a9yzwGB6ncAW4SxY7q3
3,Can't Stop The Feeling!,Justin Timberlake,3,1,4,1WkMMavIMc4JZ8cfMmxHkI
4,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4,4,14,4tCtwWceOPWzenK2HAIJSb
5,Don't Let Me Down,The Chainsmokers Featuring Daya,5,5,16,1i1fxkWeaMmKEB4T7zqbzK
6,7 Years,Lukas Graham,6,2,20,5kqIPrATaCc2LqxVWzQGbk
7,I Took A Pill In Ibiza,Mike Posner,7,4,20,1MtUq6Wp1eQ8PC6BbPCj8P
8,Needed Me,Rihanna,9,8,18,1Tt4sE4pXi57mTD1GCzsqm
9,This Is What You Came For,Calvin Harris Featuring Rihanna,11,9,5,0azC730Exh71aQlOt9Zj3y
10,Just Like Fire,P!nk,16,10,7,7K5dzhGda2vRTaAWYI3hrb
11,Dangerous Woman,Ariana Grande,8,8,12,7l94dyN2hX9c6wWcZQuOGJ
12,Work,Rihanna Featuring Drake,10,1,19,32lmL4vQAAotg6MrJnhlQZ
13,Don't Mind,Kent Jones,25,13,5,27PmvZoffODNFW2p7ehZTQ
14,Never Forget You,Zara Larsson & MNEK,13,13,16,6hmhG1b4LEyNuashVvuIAo
15,Pillowtalk,Zayn,12,1,18,0PDUDa38GO8lMxLCRc4lL1
16,Love Yourself,Justin Bieber,17,1,29,50kpGaPAhYJ3sGmk6vplg0
17,Cake By The Ocean,DNCE,14,9,33,76hfruVvmfQbw0eYn1nmeC
18,Stressed Out,twenty one pilots,18,2,37,3CRDbSIZ4r5MsZ0YwxuEkn
19,Cheap Thrills,Sia Featuring Sean Paul,24,19,16,3S4px9f4lceWdKf0gWciFu
20,My House,Flo Rida,19,4,30,6Knv6wdA0luoMUuuoYi2i1
21,H.O.L.Y.,Florida Georgia Line,23,20,5,0BCy325UZyR9z0t0uxwn2N
22,Ride,twenty one pilots,30,22,12,2Z8WuEywRWYTKe1NybPQEW
23,Low Life,Future Featuring The Weeknd,22,18,17,7EiZI6JVHllARrX9PUvAdX
24,"Me, Myself & I",G-Eazy x Bebe Rexha,20,7,31,40YcuQysJ0KlGQTeGUosTC
25,Controlla,Drake,21,21,5,4CpKEkdGbOJV51cSvx7SoG
26,Close,Nick Jonas Featuring Tove Lo,15,15,10,3lSDIJ2abCrOdDJ6pshUap
27,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",38,27,10,61QSuw5VlC0LTS8WMO356g
28,Lost Boy,Ruth B,29,28,15,4h0zU3O9R5xzuTmNO7dNDU
29,Let It Go,James Bay,27,27,24,13HVjjWUZFaWilh2QUJKsP
30,Too Good,Drake Featuring Rihanna,34,30,5,3BtuIIrQlkujKPuWF2B85z
31,Sorry,Justin Bieber,33,1,32,09CtPGIpYB4BrO8qb1RGsF
32,Send My Love (To Your New Lover),Adele,26,26,3,4BHzQ9C00ceJxfG16AlNWb
33,Oui,Jeremih,31,19,22,0PJIbOdMs3bd5AT8liULMQ
34,2 Phones,Kevin Gates,32,17,22,0wdKiSBUT7aZkXUIdJWcwC
35,Pop Style,Drake Featuring The Throne,28,16,9,5mPSyjLatqB00IkPqRlbTE
36,Cut It,O.T. Genasis Featuring Young Dolph,37,36,15,376KnY4TrgBITxjlnbnmIy
37,Me Too,Meghan Trainor,41,37,3,3KwwE4sgCzMaKWq6QBebmX
38,Somewhere On A Beach,Dierks Bentley,48,35,18,5CG9Ps5ynNjpKJHmwc95pa
39,Exchange,Bryson Tiller,42,26,32,43PuMrRfbyyuz4QpZ3oAwN
40,Sorry,Beyonce,39,11,6,4k8Kq3yLE7I7umYfN08YCU
41,T-Shirt,Thomas Rhett,47,41,14,1zWZvrk13cL8Sl3VLeG57F
42,Came Here To Forget,Blake Shelton,36,36,13,1N7qGCKRRnvjoy8MGyHgpS
43,No,Meghan Trainor,35,3,13,0l0CvurVUrr2w3Jj1hOVFc
44,Middle,DJ Snake Featuring Bipolar Sunshine,43,20,20,0g5EKLgdKvNlln7TNqBByK
45,Humble And Kind,Tim McGraw,44,30,17,3Rkk851fZjIsglV2jbBPDd
46,Never Be Like You,Flume Featuring Kai,54,46,9,5WI2ltQIdwgzf1SNE76JyR
47,My Boo,Ghost Town DJ's,40,27,36,2OawRn0NvWkStuemgdae4i
48,Into You,Ariana Grande,51,48,3,2meEiZKWkiN28gITzFwQo5
49,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan ,52,49,10,0dbzWSYpMcRtwjI1S7Pkql
50,Wild Things,Alessia Cara,50,50,15,2ZyuwVvV6Z3XJaXIFbspeE
51,Wicked,Future,58,51,7,6BbINUfGabVyiNFJpQXn3x
52,Really Really,Kevin Gates,-1,52,22,10I3CmmwT0BkOVhduDy53o
53,The Sound Of Silence,Disturbed,49,42,15,1Cj2vqUwlJVG27gJrun92y
54,Hype,Drake,45,33,5,5NFYuqu8V6QXc6mzcLImd6
55,Snapback,Old Dominion,53,50,19,7I5fYc4qKJddht8Ozhqqdx
56,Uber Everywhere,MadeinTYO,61,56,9,7zBPzAjKAqQpcv8F8GCq5s
57,My Church,Maren Morris,60,50,19,1LM5zQv5pBKPyO7rm7Uz6U
58,Wake Up,Fetty Wap,99,58,3,6BOtDFg6GJm0rPUDuNmx57
59,I Hate U I Love U,gnash Featuring Olivia O'Brien,59,59,7,7vRriwrloYVaoAe3a9wJHe
60,Childs Play,Drake,57,49,5,3NxAG2ni1lLa8RKL6a0INc
61,Still Here,Drake,55,40,5,4YJmZfvlheSziXem8HBWrj
62,Body,Dreezy Featuring Jeremih,62,62,11,20s34XSPIiYMGSFDRSs24t
63,Church Bells,Carrie Underwood,67,63,4,67citk3uzWs5qbaIVKTeg8
64,Lights Come On,Jason Aldean,77,43,8,4llYMkhHa1w7UAdDFRQcEZ
65,Wasted Time,Keith Urban,70,64,6,13wYXGimJ5fANFu0y2pqG1
66,Record Year,Eric Church,74,66,7,5fSPbm5lcwtqwXkeQQswW8
67,Grammys,Drake Featuring Future,56,38,5,5e574bhjycX1eH2l4Auage
68,Head Over Boots,Jon Pardi,71,68,14,4ly1QBXEwYoDmje9rmEgC4
69,Messin' Around,Pitbull Featuring Enrique Iglesias,66,66,5,2moTY9zKAZkRsODU4TUXY6
70,Unsteady,X Ambassadors,86,70,3,7lGKEWMXVWWTt3X71Bv44I
