pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,1,12,6fujklziTHa8uoM5OQSfIo
2,Starboy,The Weeknd Featuring Daft Punk,3,2,11,7MXVkk9YMctZqd1Srtv4MB
3,Closer,The Chainsmokers Featuring Halsey,2,1,18,7BKLCZ1jbUBVqRi2FVlTVw
4,Side To Side,Ariana Grande Featuring Nicki Minaj,6,4,14,1pKeFVVUOPjFsOABub0OaV
5,24K Magic,Bruno Mars,4,4,8,6b8Be6ljOzmkOmFslEb23P
6,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,5,10,1lItf5ZXJc1by9SbPeljFd
7,Let Me Love You,DJ Snake Featuring Justin Bieber,8,4,17,0lYBSQXN6rCTvUZvg9S0lU
8,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,8,8,3PGdPUMdUg7a3Tgr5gkfKK
9,Heathens,twenty one pilots,7,2,24,6i0V12jOa3mr6uu4WYhUBr
10,Broccoli,D.R.A.M. Featuring Lil Yachty,9,5,25,0qy5D3OJre7SPJNMOL9I71
11,Fake Love,Drake,11,10,6,343YBumqHu19cGoGARUTsd
12,Starving,Hailee Steinfeld & Grey Featuring Zedd,13,12,18,4Ce37cRWvM1vIGGynKcs22
13,I Hate U I Love U,gnash Featuring Olivia O'Brien,14,10,33,7vRriwrloYVaoAe3a9wJHe
14,Caroline,Amine,12,12,13,5hTpBe8h35rJ67eAWHQsJx
15,Scars To Your Beautiful,Alessia Cara,15,15,14,0prNGof3XqfTvNDxHonvdK
16,Party Monster,The Weeknd,39,16,2,4F7A0DXBrmUAkp32uenhZt
17,Bad Things,Machine Gun Kelly x Camila Cabello,28,17,5,1KzGj3xvi9IiY05kBlkm2G
18,The Greatest,Sia Featuring Kendrick Lamar,18,18,13,7xHWNBFm6ObGEQPaUxHuKO
19,Cold Water,Major Lazer Featuring Justin Bieber & MO,16,2,19,7zsXy7vlHdItvUSH8EwQss
20,Treat You Better,Shawn Mendes,17,6,26,3QGsuHI8jO1Rx4JWLUh9jd
21,Unsteady,X Ambassadors,20,20,29,
22,I Feel It Coming,The Weeknd Featuring Daft Punk,48,22,2,3dhjNA0jGA8vHBQ1VdD6vV
23,All I Want For Christmas Is You,Mariah Carey,-1,11,15,0bYg9bo50gSsH3LtXe2SQn
24,Cheap Thrills,Sia Featuring Sean Paul,21,1,42,3S4px9f4lceWdKf0gWciFu
25,Can't Stop The Feeling!,Justin Timberlake,19,1,30,1WkMMavIMc4JZ8cfMmxHkI
26,OOOUUU,Young M.A,22,19,14,0D21XvHcVsIvJM6FcGY2BT
27,Sidewalks,The Weeknd Featuring Kendrick Lamar,-1,27,1,4h90qkbnW1Qq6pBhoPvwko
28,In The Name Of Love,Martin Garrix & Bebe Rexha,24,24,16,23L5CiUhw2jV1OIMwthR3S
29,Don't Let Me Down,The Chainsmokers Featuring Daya,23,3,42,1i1fxkWeaMmKEB4T7zqbzK
30,Love On The Brain,Rihanna,34,30,7,2aksifNn5ph8igDOkPBA02
31,Reminder,The Weeknd,-1,31,1,37F0uwRSrdzkBiuj0D5UHI
32,Blue Ain't Your Color,Keith Urban,25,24,12,6wycnu8FWXsj68ig7BEot9
33,This Is What You Came For,Calvin Harris Featuring Rihanna,26,3,31,0azC730Exh71aQlOt9Zj3y
34,Six Feet Under,The Weeknd,-1,34,1,4mU5iXHeLgbR94siF7p1sY
35,All Time Low,Jon Bellion,32,32,8,0SuLAslEMFZAXf0SwY7syi
36,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,30,29,18,5uDASfU19gDxSjW8cnCaBp
37,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27,27,17,4VJ7mnW4wjjIgPBM6KWvPu
38,Ride,twenty one pilots,31,5,38,2Z8WuEywRWYTKe1NybPQEW
39,May We All,Florida Georgia Line Featuring Tim McGraw,33,30,14,498ZVInMGDkmmNVpSWqHiZ
40,This Town,Niall Horan,29,25,10,5dTJMpqiELczVuHJP3OAEu
41,X,21 Savage & Metro Boomin Featuring Future,36,36,12,6fwdbPMwP1zVStm8FybmkO
42,Needed Me,Rihanna,38,7,44,1Tt4sE4pXi57mTD1GCzsqm
43,Die For You,The Weeknd,-1,43,1,2Ch7LmS7r2Gy2kc64wv3Bz
44,Rockin',The Weeknd,-1,44,1,36YCdzT57us0LhDmCYtrNE
45,One Dance,Drake Featuring WizKid & Kyla,37,1,35,1zi7xx7UVEFkmKfv06H8x0
