pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,One Dance,Drake Featuring WizKid & Kyla,1,1,11,1zi7xx7UVEFkmKfv06H8x0
2,Can't Stop The Feeling!,Justin Timberlake,3,1,6,1WkMMavIMc4JZ8cfMmxHkI
3,Panda,Desiigner,2,1,17,275a9yzwGB6ncAW4SxY7q3
4,Don't Let Me Down,The Chainsmokers Featuring Daya,4,4,18,1i1fxkWeaMmKEB4T7zqbzK
5,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,5,4,16,4tCtwWceOPWzenK2HAIJSb
6,This Is What You Came For,Calvin Harris Featuring Rihanna,7,6,7,0azC730Exh71aQlOt9Zj3y
7,Needed Me,Rihanna,9,7,20,1Tt4sE4pXi57mTD1GCzsqm
8,Cheap Thrills,Sia Featuring Sean Paul,13,8,18,3S4px9f4lceWdKf0gWciFu
9,I Took A Pill In Ibiza,Mike Posner,8,4,22,1MtUq6Wp1eQ8PC6BbPCj8P
10,Don't Mind,Kent Jones,11,10,7,27PmvZoffODNFW2p7ehZTQ
11,7 Years,Lukas Graham,6,2,22,5kqIPrATaCc2LqxVWzQGbk
12,Just Like Fire,P!nk,10,10,9,7K5dzhGda2vRTaAWYI3hrb
13,Ride,twenty one pilots,15,13,14,2Z8WuEywRWYTKe1NybPQEW
14,Close,Nick Jonas Featuring Tove Lo,27,14,12,3lSDIJ2abCrOdDJ6pshUap
15,Dangerous Woman,Ariana Grande,14,8,14,7l94dyN2hX9c6wWcZQuOGJ
16,Work,Rihanna Featuring Drake,12,1,21,32lmL4vQAAotg6MrJnhlQZ
17,H.O.L.Y.,Florida Georgia Line,17,17,7,0BCy325UZyR9z0t0uxwn2N
18,Me Too,Meghan Trainor,31,18,5,3KwwE4sgCzMaKWq6QBebmX
19,Love Yourself,Justin Bieber,19,1,31,50kpGaPAhYJ3sGmk6vplg0
20,Send My Love (To Your New Lover),Adele,28,20,5,4BHzQ9C00ceJxfG16AlNWb
21,Stressed Out,twenty one pilots,21,2,39,3CRDbSIZ4r5MsZ0YwxuEkn
22,Never Forget You,Zara Larsson & MNEK,16,13,18,6hmhG1b4LEyNuashVvuIAo
23,Controlla,Drake,24,21,7,4CpKEkdGbOJV51cSvx7SoG
24,Lost Boy,Ruth B,25,24,17,4h0zU3O9R5xzuTmNO7dNDU
25,Cake By The Ocean,DNCE,22,9,35,76hfruVvmfQbw0eYn1nmeC
26,Pillowtalk,Zayn,20,1,20,0PDUDa38GO8lMxLCRc4lL1
27,Let It Go,James Bay,32,27,26,13HVjjWUZFaWilh2QUJKsP
28,My House,Flo Rida,23,4,32,6Knv6wdA0luoMUuuoYi2i1
29,Too Good,Drake Featuring Rihanna,33,29,7,3BtuIIrQlkujKPuWF2B85z
30,Low Life,Future Featuring The Weeknd,26,18,19,7EiZI6JVHllARrX9PUvAdX
31,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",29,27,12,61QSuw5VlC0LTS8WMO356g
32,"Me, Myself & I",G-Eazy x Bebe Rexha,30,7,33,40YcuQysJ0KlGQTeGUosTC
33,Sorry,Justin Bieber,36,1,34,09CtPGIpYB4BrO8qb1RGsF
34,Oui,Jeremih,35,19,24,0PJIbOdMs3bd5AT8liULMQ
35,Cut It,O.T. Genasis Featuring Young Dolph,37,35,17,376KnY4TrgBITxjlnbnmIy
36,Never Be Like You,Flume Featuring Kai,46,36,11,5WI2ltQIdwgzf1SNE76JyR
37,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,43,37,12,0dbzWSYpMcRtwjI1S7Pkql
38,Sorry,Beyonce,41,11,8,4k8Kq3yLE7I7umYfN08YCU
39,Unsteady,X Ambassadors,48,39,5,7lGKEWMXVWWTt3X71Bv44I
40,For Free,DJ Khaled Featuring Drake,18,18,2,4JDZl9nKIAhAhDjw753u4X
