title,artist,query,spotify_id
Ain't Wastin' Time No More,The Allman Brothers Band,artist:allman track:ain't wastin' time no more,1hHzmUP61nqVSyVHruv3jZ
Speak Softly Love,Al Martino,artist:al track:speak softly love,6c5Psgve5SamicWoWr686A
Don't Want To Say Goodbye,Raspberries,artist:raspberries track:don't want to say goodbye,5A3nftO7SgKA91W5OdC7Ze
Me And Jesus,Tom T. Hall,artist:tom track:me and jesus,6v2O8HU1hVSq4NAkgGMukN
Jump Into The Fire,Nilsson,artist:nilsson track:jump into the fire,05Yv5shaMJ0SZ0HTKmrEYl
Help Me Make It Through The Night,Gladys Knight And The Pips,artist:gladys track:help me make it through the night,3jjH5MlhNfSFDnMQCYqSBJ
Every Day Of My Life,Bobby Vinton,artist:bobby track:every day of my life,
Pool Of Bad Luck,Joe Simon,artist:joe track:pool of bad luck,6YuN3pZEW4FIEdkDhDq9Ix
Puppy Love,Donny Osmond,artist:donny track:puppy love,7HU518KQpBrj32QJiXnKGN
Be My Lover,Alice Cooper,artist:alice track:be my lover,7K5DQXU32pXtzwUgHsrZYy
Let's Stay Together,Isaac Hayes,artist:isaac track:let's stay together,3zcJPWS0xX678tCtbhupER
Am I Losing You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,artist:partridge track:am i losing you,2Jkad6HpWCC7lZvg1h8pfW
Amerikan Music,Steve Alaimo,artist:steve track:amerikan music,5GWRO1zZH7xiA1uzWdw2ex
"Beg, Steal Or Borrow",The New Seekers,"artist:new track:beg, steal or borrow",3goNGcLC3U3QCiq50RvRLO
Vahevala,Kenny Loggins With Jim Messina,artist:kenny track:vahevala,
Ain't That Peculiar,Fanny,artist:fanny track:ain't that peculiar,4RAS6QT974bl5blsapzVGq
Too Beautiful To Last,Engelbert Humperdinck,artist:engelbert track:too beautiful to last,2OBPMYsmHWfJabt1uGTwza
Iko Iko,Dr. John,artist:dr. track:iko iko,1vhlVbHnbKJPD7pqCC0cE7
Love's Street And Fool's Road,Solomon Burke,artist:solomon track:love's street and fool's road,
Heart Of Gold,Neil Young,artist:neil track:heart of gold,5IRWgQiN0c2i4U97iE3OoY
Roundabout,Yes,artist:yes track:roundabout,0YveezON7jpiaHA8fnUHxN
Taurus,Dennis Coffey & The Detroit Guitar Band,artist:dennis track:taurus,6mz74lhzaQfsj2rlTmJkQM
Do Your Thing,Isaac Hayes,artist:isaac track:do your thing,53PDh1XdX2WnawKF592jbp
Chantilly Lace,Jerry Lee Lewis,artist:jerry track:chantilly lace,63KLP5dmcQmby6KJQ6ueMd
What'd I Say,Rare Earth,artist:rare track:what'd i say,5jiJJkJui1ii05kZz5g0ML
I Just Wanna Be Your Friend,Lighthouse,artist:lighthouse track:i just wanna be your friend,1UyO0eOvJEsGD0F4kouBgD
Where There's A Will There's A Way,Delaney & Bonnie,artist:delaney track:where there's a will there's a way,24x3C7lOq2XSw4FNefAOnI
Mother And Child Reunion,Paul Simon,artist:paul track:mother and child reunion,5vZ1BKMSLgrxxPYGMR904n
Give Ireland Back To The Irish,Wings,artist:wings track:give ireland back to the irish,
The Day I Found Myself,The Honey Cone,artist:honey track:the day i found myself,6wxcQ66ZN80n6Dgn2i6FEB
Crazy Mama,J.J. Cale,artist:j.j. track:crazy mama,7FgjfoVQ6Wn1Nm53N5Upn8
Rock And Roll,Led Zeppelin,artist:led track:rock and roll,4PRGxHpCpF2yoOHYKQIEwD
Josie,Kris Kristofferson,artist:kris track:josie,07rkOVz8p74BtEs1WWPLP8
Money Runner,Quincy Jones,artist:quincy track:money runner,14B9F2Y9FGqsXMmigsYaxo
Cotton Jenny,Anne Murray,artist:anne track:cotton jenny,3khJf8I6m2e4syn6ifMTN9
Taos New Mexico,R. Dean Taylor,artist:r. track:taos new mexico,6Qoa1kEcbOAxw4vQYDPijk
Simple Song Of Freedom,Buckwheat,artist:buckwheat track:simple song of freedom,
Eve,Jim Capaldi,artist:jim track:eve,059vVBd1vOuf1koXXk0EKz
Mendelssohn's 4th (Second Movement),Apollo 100,artist:apollo track:mendelssohn's 4th ,
Jungle Fever,The Chakachas,artist:chakachas track:jungle fever,2QEhVc7hg5Z5yI8UPOSRk8
The Lion Sleeps Tonight,Robert John,artist:robert track:the lion sleeps tonight,79fwgYi0nxAn2Zda7sHlmC
Rock And Roll Lullaby,B.J. Thomas,artist:b.j. track:rock and roll lullaby,3rL6q5btS2lCH9AFNCuqum
The Way Of Love,Cher,artist:cher track:the way of love,1q1oeOO8LQJH0qWI549cqN
Take A Look Around,The Temptations,artist:temptations track:take a look around,1OZmfNiPMptO5BHcHiula5
Without You,Nilsson,artist:nilsson track:without you,7vqubB6rY1NpGVGpHYobbQ
Everything I Own,Bread,artist:bread track:everything i own,3cflKYvbpuih1EKvgREcEg
Down By The Lazy River,The Osmonds,artist:osmonds track:down by the lazy river,3Vb4zEfLhZokSOYBSZIWpk
Son Of My Father,Giorgio,artist:giorgio track:son of my father,
Your Precious Love,Linda Jones,artist:linda track:your precious love,6SxQhlIwOekCU7V9Mxs7t6
Nutrocker,"Emerson, Lake & Palmer","artist:emerson, track:nutrocker",7mNgrg18sLcUiUYgqfQDgH
School Teacher,Kenny Rogers & The First Edition,artist:kenny track:school teacher,
You Were Made For Me,Luther Ingram,artist:luther track:you were made for me,2qqmicI40l0EpKVzciqv3O
Sugaree,Jerry Garcia,artist:jerry track:sugaree,6Sgb8bxj8LqqW5QKGjzDWg
King Heroin,James Brown,artist:james track:king heroin,4biCH0sfLeuq0lewLe7sh4
Glory Bound,The Grass Roots,artist:grass track:glory bound,2C4UsHwQDWAk2oesd4HakO
Tiny Dancer,Elton John,artist:elton track:tiny dancer,2TVxnKdb3tqe1nhQWwwZCO
Heartbroken Bopper,The Guess Who,artist:guess track:heartbroken bopper,3N5T6bSKxd0rsjMnF7Hg5U
Afro-Strut,The Nite-Liters,artist:nite-liters track:afro-strut,7kT9WA3luyywe5cW2VEExS
Could It Be Forever,David Cassidy,artist:david track:could it be forever,1DZN6RZKbKdiewj3o1WLbL
Now Run And Tell That,Denise LaSalle,artist:denise track:now run and tell that,2ExN8kNG896WKyHwViQkwK
Louisianna,Mike Kennedy,artist:mike track:louisianna,
Waking Up Alone,Paul Williams,artist:paul track:waking up alone,21ndcN4sDXexokLMqbjqJm
Jambalaya (On The Bayou),Nitty Gritty Dirt Band,artist:nitty track:jambalaya ,14zVtZkZKHh5bDxUlivVRr
Cheer,Potliquor,artist:potliquor track:cheer,3UHSbjTOdqvqdLV0asr7HC
Rockin' With The King,Canned Heat,artist:canned track:rockin' with the king,0480upMLw8JIb9IBBUouYK
All His Children,Charley Pride with Henry Mancini,artist:charley track:all his children,2J8HDV2indtyQeO402aCAB
Don't Ever Take Away My Freedom,Peter Yarrow,artist:peter track:don't ever take away my freedom,36KNwRx1fpLhHthtq4W9ym
Precious And Few,Climax,artist:climax track:precious and few,7uuM0HwvCG20e5ttu6ugmP
Bang A Gong (Get It On),T. Rex,artist:t. track:bang a gong ,6FsQrRpBLgsrFeAeiQqytm
We've Got To Get It On Again,Addrisi Brothers,artist:addrisi track:we've got to get it on again,0ukokzP1LZ9SsYxBSFDxAi
Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,artist:jerry track:ain't understanding mellow,1ljRPpImL8vWrF3kA1H8V0
Runnin' Away,Sly & The Family Stone,artist:sly track:runnin' away,0yMhprf2FVbT9Aew8DPbkm
No One To Depend On,Santana,artist:santana track:no one to depend on,3pPnys7mGV0DQkQoxmovXi
Living Without You,Manfred Mann's Earth Band,artist:manfred track:living without you,74K8agwFZUeVs2bW62QhTF
Hurting Each Other,Carpenters,artist:carpenters track:hurting each other,1COQt0dDaBzeKLbtXsIoAe
Sweet Seasons,Carole King,artist:carole track:sweet seasons,2CQhvHR4xM8uyAKwZYCaJx
Joy,Apollo featuring Tom Parker,artist:apollo track:joy,595cpLYdeN3s7C4CqJbZus
"You Want It, You Got It",Detroit Emeralds ,"artist:detroit track:you want it, you got it",3xl8hYpxVBCCB4KbeVqtIk
American Pie (Parts I & II),Don McLean,artist:don track:american pie ,2QgWuCtBpNIpl5trmKCxRf
Don't Say You Don't Remember,Beverly Bremers,artist:beverly track:don't say you don't remember,2yb8jAFj1cOj3CBI66jN78
Goin' Down (On The Road To L.A.),Terry Black & Laurel Ward,artist:terry track:goin' down ,2YQkc0PlJUNszxkZYJMwHI
Iron Man,Black Sabbath,artist:black track:iron man,3IOQZRcEkplCXg6LofKqE9
Since I Fell For You,Laura Lee,artist:laura track:since i fell for you,5P1EJTNVGmUl111yTnkIi8
Floy Joy,The Supremes,artist:supremes track:floy joy,4pZNhT4b0Kgh8goVuzATQX
Talking Loud And Saying Nothing - Part I,James Brown,artist:james track:talking loud and saying nothing - part i,
