year,avg_streak
2017,9.803532008830022
2016,12.841463414634147
2015,12.895408163265307
2014,14.614958448753463
2013,13.239473684210527
2012,14.019283746556473
2011,11.03941908713693
2010,10.974683544303797
2009,12.247086247086248
2008,13.30170316301703
2007,14.817142857142857
2006,14.243169398907105
2005,15.630813953488373
2004,17.17161716171617
2003,16.905537459283387
2002,17.31
2001,18.135416666666668
2000,16.734177215189874
1999,16.248387096774195
1998,14.67887323943662
1997,16.293577981651374
1996,16.54605263157895
1995,16.283987915407856
1994,15.979228486646884
1993,15.064705882352941
1992,14.849162011173185
1991,13.660526315789474
1990,13.763297872340425
1989,13.337662337662337
1988,13.489473684210527
1987,13.44186046511628
1986,13.09367088607595
1985,13.017326732673267
1984,12.440835266821345
1983,11.804545454545455
1982,12.397196261682243
1981,12.45609756097561
1980,11.846666666666666
1979,11.00207039337474
1978,11.546485260770975
1977,11.312633832976445
1976,10.057471264367816
1975,9.517985611510792
1974,10.447368421052632
1973,10.39009900990099
1972,9.099485420240137
1971,8.428104575163399
1970,8.344936708860759
1969,7.8
1968,7.713864306784661
